BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1090506,1307,1332,15422,12,12,1,11,0.9167,0.8333
1188497,3217,3178,18485,12,12,1,11,0.9167,0.8333
1187083,102048,102050,19131,12,12,1,11,0.9167,0.8333
1079458,35167,35164,20989,12,12,1,11,0.9167,0.8333
1093870,18361,18332,24982,12,12,1,11,0.9167,0.8333
1113899,5189,21785,28518,12,12,1,11,0.9167,0.8333
1116688,14342,25725,30305,12,12,1,11,0.9167,0.8333
1197065,45732,45733,32132,12,12,1,11,0.9167,0.8333
1186812,26106,26118,34182,12,12,1,11,0.9167,0.8333
1266762,2198,136958,36675,12,12,1,11,0.9167,0.8333
1206048,25801,14494,42122,12,12,1,11,0.9167,0.8333
1208466,11848,11840,44659,12,12,1,11,0.9167,0.8333
1167338,258886,258885,28638,17,17,1,15,0.8824,0.8235
1167376,258887,258885,28638,17,17,1,15,0.8824,0.8235
1312089,5917,5922,34987,22,22,2,20,0.9091,0.8182
1280079,5917,5922,34987,22,22,2,20,0.9091,0.8182
1007408,10755,24394,1061,11,11,1,10,0.9091,0.8182
1011409,6657,6551,1503,11,11,1,10,0.9091,0.8182
1022685,370382,370381,6811,11,11,1,10,0.9091,0.8182
1029681,370384,370382,6823,11,11,1,10,0.9091,0.8182
1043767,7810,7832,8249,11,11,1,10,0.9091,0.8182
1032627,345249,345246,9702,11,11,1,10,0.9091,0.8182
1033222,285128,285129,9862,11,11,1,10,0.9091,0.8182
1033282,291199,294077,9884,11,11,1,10,0.9091,0.8182
1058189,377753,377752,12927,11,11,1,10,0.9091,0.8182
1068112,115504,86052,17486,11,11,1,10,0.9091,0.8182
1301788,6754,22426,19644,11,11,1,10,0.9091,0.8182
1077335,284158,284157,20091,11,11,1,10,0.9091,0.8182
1197788,11112,24513,23157,11,11,1,10,0.9091,0.8182
1145065,25814,25784,28323,11,11,1,10,0.9091,0.8182
1112354,25725,25732,29827,11,11,1,10,0.9091,0.8182
1157251,359665,359664,35211,11,11,1,10,0.9091,0.8182
1276470,93728,93727,37031,11,11,1,10,0.9091,0.8182
1221803,12306,12356,49813,11,11,1,10,0.9091,0.8182
1287801,370272,370271,56120,11,11,1,10,0.9091,0.8182
1272270,11297,11318,57277,11,11,1,10,0.9091,0.8182
1300735,22426,6716,63808,11,11,1,10,0.9091,0.8182
1169092,141117,141121,43443,21,21,2,19,0.9048,0.8095
1169095,141117,141121,43443,21,21,2,19,0.9048,0.8095
1005541,280,294,580,10,10,1,9,0.9,0.8
1027664,33262,58203,1576,10,10,1,9,0.9,0.8
1303089,5146,5165,2241,10,10,1,9,0.9,0.8
1010398,49568,49567,3500,10,10,1,9,0.9,0.8
1096991,377693,391404,3912,10,10,1,9,0.9,0.8
1011664,16197,16233,3958,10,10,1,9,0.9,0.8
1113784,14298,14232,4481,10,10,1,9,0.9,0.8
1014182,384035,384036,4594,10,10,1,9,0.9,0.8
1275390,390509,390508,4854,10,10,1,9,0.9,0.8
1222737,104285,9336,4941,10,10,1,9,0.9,0.8
1042104,344491,391375,5032,10,10,1,9,0.9,0.8
1058778,375981,375980,5062,10,10,1,9,0.9,0.8
1096135,375313,375310,5458,10,10,1,9,0.9,0.8
1027157,343563,343435,6756,10,10,1,9,0.9,0.8
1035783,306237,319035,6798,10,10,1,9,0.9,0.8
1023211,8818,23313,6974,10,10,1,9,0.9,0.8
1095085,420288,420286,7481,10,10,1,9,0.9,0.8
1030714,271036,271037,8229,10,10,1,9,0.9,0.8
1034941,263366,263367,8276,10,10,1,9,0.9,0.8
1056582,376047,376048,8476,10,10,1,9,0.9,0.8
1039194,7417,7402,8625,10,10,1,9,0.9,0.8
1038052,148480,148479,10843,10,10,1,9,0.9,0.8
1036995,271038,265621,10872,10,10,1,9,0.9,0.8
1039566,9206,9192,11522,10,10,1,9,0.9,0.8
1040942,34530,23353,11608,10,10,1,9,0.9,0.8
1064940,22551,6965,11766,10,10,1,9,0.9,0.8
1041827,7825,7870,12075,10,10,1,9,0.9,0.8
1042677,22180,6118,12263,10,10,1,9,0.9,0.8
1044203,343808,343807,12611,10,10,1,9,0.9,0.8
1046471,376998,376999,13081,10,10,1,9,0.9,0.8
1053440,345244,345245,13405,10,10,1,9,0.9,0.8
1128856,11940,11955,13774,10,10,1,9,0.9,0.8
1060487,370188,370187,13788,10,10,1,9,0.9,0.8
1082459,26225,15838,15257,10,10,1,9,0.9,0.8
1079334,16151,16123,15779,10,10,1,9,0.9,0.8
1060759,383565,383564,16037,10,10,1,9,0.9,0.8
1061804,343533,343532,16371,10,10,1,9,0.9,0.8
1066886,376834,376833,16972,10,10,1,9,0.9,0.8
1179078,13531,25461,19165,10,10,1,9,0.9,0.8
1077739,19283,19275,20237,10,10,1,9,0.9,0.8
1078349,17336,17342,20625,10,10,1,9,0.9,0.8
1089484,349715,349714,20677,10,10,1,9,0.9,0.8
1083927,16026,16033,21098,10,10,1,9,0.9,0.8
1089476,349714,349713,23225,10,10,1,9,0.9,0.8
1093931,18332,18361,24565,10,10,1,9,0.9,0.8
1187888,378108,378107,25626,10,10,1,9,0.9,0.8
1118945,473035,473036,31339,10,10,1,9,0.9,0.8
1126397,2530,2467,32075,10,10,1,9,0.9,0.8
1207205,1846,1815,32105,10,10,1,9,0.9,0.8
1125158,1418,1433,32564,10,10,1,9,0.9,0.8
1125045,13473,13455,32708,10,10,1,9,0.9,0.8
1304023,22626,7050,35517,10,10,1,9,0.9,0.8
1145057,14487,14481,36640,10,10,1,9,0.9,0.8
1147453,83806,2512,38927,10,10,1,9,0.9,0.8
1159319,102363,102058,40847,10,10,1,9,0.9,0.8
1189188,4310,4297,43261,10,10,1,9,0.9,0.8
1183802,73895,73894,45861,10,10,1,9,0.9,0.8
1275629,23470,9007,53400,10,10,1,9,0.9,0.8
1220819,55014,38414,54044,10,10,1,9,0.9,0.8
1303911,7120,7190,56880,10,10,1,9,0.9,0.8
1277226,79004,93724,59846,10,10,1,9,0.9,0.8
1287768,20348,13891,60702,10,10,1,9,0.9,0.8
1310394,100765,100766,64761,10,10,1,9,0.9,0.8
1311569,9016,8977,64838,10,10,1,9,0.9,0.8
1097193,,391152,25725,6,5,0,4,0.8,0.8
1233000,,506645,26959,6,5,0,4,0.8,0.8
1217025,280970,280969,50490,27,27,1,22,0.8148,0.7778
1009218,350228,350206,279,9,9,1,8,0.8889,0.7778
1001688,327,322,627,9,9,1,8,0.8889,0.7778
1112474,14625,25871,1279,9,9,1,8,0.8889,0.7778
1133034,46684,8437,1512,9,9,1,8,0.8889,0.7778
1004441,9224,23592,1732,9,9,1,8,0.8889,0.7778
1005016,9915,9967,1836,9,9,1,8,0.8889,0.7778
1025076,10149,10140,1977,9,9,1,8,0.8889,0.7778
1005587,11328,11397,2140,9,9,1,8,0.8889,0.7778
1025619,10416,10336,2641,9,9,1,8,0.8889,0.7778
1008288,11349,24576,2995,9,9,1,8,0.8889,0.7778
1010560,88606,88607,3365,9,9,1,8,0.8889,0.7778
1035279,286726,344637,3637,9,9,1,8,0.8889,0.7778
1020546,9204,9212,3772,9,9,1,8,0.8889,0.7778
1011710,375502,375501,3988,9,9,1,8,0.8889,0.7778
1011822,377665,377666,4021,9,9,1,8,0.8889,0.7778
1048290,74203,65251,4471,9,9,1,8,0.8889,0.7778
1095354,384480,384478,4569,9,9,1,8,0.8889,0.7778
1039475,378395,378400,4617,9,9,1,8,0.8889,0.7778
1018948,276807,271677,5650,9,9,1,8,0.8889,0.7778
1018997,22934,22944,5676,9,9,1,8,0.8889,0.7778
1019164,36137,36138,5713,9,9,1,8,0.8889,0.7778
1020775,9027,8974,6182,9,9,1,8,0.8889,0.7778
1029649,370383,370384,6805,9,9,1,8,0.8889,0.7778
1024053,23997,23979,7215,9,9,1,8,0.8889,0.7778
1093664,17809,17835,7248,9,9,1,8,0.8889,0.7778
1029873,278086,278085,8843,9,9,1,8,0.8889,0.7778
1030314,170237,170238,8975,9,9,1,8,0.8889,0.7778
1037994,6431,6381,9500,9,9,1,8,0.8889,0.7778
1032340,343565,343567,9623,9,9,1,8,0.8889,0.7778
1034362,159048,159049,10165,9,9,1,8,0.8889,0.7778
1034515,7779,7777,10211,9,9,1,8,0.8889,0.7778
1034721,292162,292159,10269,9,9,1,8,0.8889,0.7778
1035517,55648,55647,10482,9,9,1,8,0.8889,0.7778
1039174,226242,130540,11396,9,9,1,8,0.8889,0.7778
1039816,23622,23608,11439,9,9,1,8,0.8889,0.7778
1045563,8972,8941,12898,9,9,1,8,0.8889,0.7778
1048004,349595,349596,13414,9,9,1,8,0.8889,0.7778
1067852,118722,123514,13629,9,9,1,8,0.8889,0.7778
1057063,175356,172500,14661,9,9,1,8,0.8889,0.7778
1186871,47004,75492,15433,9,9,1,8,0.8889,0.7778
1070505,5291,5303,17835,9,9,1,8,0.8889,0.7778
1070185,19111,19110,17993,9,9,1,8,0.8889,0.7778
1069930,19143,19107,18186,9,9,1,8,0.8889,0.7778
1079095,5431,5428,18361,9,9,1,8,0.8889,0.7778
1282485,27349,19389,18562,9,9,1,8,0.8889,0.7778
1071231,27374,27382,18615,9,9,1,8,0.8889,0.7778
