BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1003697,455.0,19855.0,808
1001891,268.0,238.0,809
1052861,376540.0,375330.0,813
1001900,375329.0,375330.0,813
1001902,375329.0,375330.0,813
1001903,375329.0,375330.0,813
1011458,376540.0,375330.0,813
1010822,375329.0,375330.0,813
1002389,375329.0,375330.0,813
1002584,375329.0,375330.0,813
1037155,9300.0,23631.0,826
1127600,178568.0,272956.0,838
1070106,199042.0,199043.0,840
1119594,521055.0,521057.0,843
1076217,521054.0,521057.0,843
1119611,521055.0,521057.0,843
1032004,521054.0,521057.0,843
1119098,521051.0,521057.0,843
1266728,521051.0,521057.0,843
1119099,521051.0,521057.0,843
1266727,521051.0,521057.0,843
1145792,521054.0,521057.0,843
1232474,,521057.0,843
1232499,521053.0,521057.0,843
1306788,525836.0,521057.0,843
1182942,521052.0,521057.0,843
1079331,57883.0,57893.0,847
1003644,19702.0,19707.0,852
1003645,19702.0,19707.0,852
1010831,24712.0,24671.0,883
1010824,24712.0,24671.0,883
1010827,24712.0,24671.0,883
1010828,24712.0,24671.0,883
1177958,15673.0,489.0,916
1173931,84123.0,489.0,916
1002092,9403.0,454.0,923
1007798,30692.0,30691.0,948
1002164,432.0,427.0,974
1280975,530.0,529.0,986
1039913,8889.0,8911.0,999
1043504,66530.0,66531.0,1001
1046086,66530.0,66531.0,1001
1045248,66530.0,66531.0,1001
1045249,66530.0,66531.0,1001
1045606,66530.0,66531.0,1001
1027818,8288.0,8252.0,1036
1002282,53724.0,10912.0,1046
1002364,359725.0,375325.0,1058
1135539,359724.0,375325.0,1058
1009235,359724.0,375325.0,1058
1012740,359724.0,375325.0,1058
1052754,359724.0,375325.0,1058
1012879,359725.0,375325.0,1058
1009388,359725.0,375325.0,1058
1052243,359725.0,375325.0,1058
1002297,359724.0,375325.0,1058
1007501,359725.0,375325.0,1058
1012945,359728.0,375325.0,1058
1002341,359724.0,375325.0,1058
1048630,359725.0,375325.0,1058
1095955,359724.0,375325.0,1058
1009470,359725.0,375325.0,1058
1009472,359725.0,375325.0,1058
1095444,391393.0,391390.0,1059
1007408,10755.0,24394.0,1061
1009259,359723.0,359732.0,1095
1009220,350229.0,350233.0,1111
1007325,350229.0,350233.0,1111
1009207,350229.0,350233.0,1111
1009208,350229.0,350233.0,1111
1009209,350229.0,350233.0,1111
1003741,350229.0,350233.0,1111
1099283,370422.0,17063.0,1115
1027179,25279.0,12954.0,1125
1048564,25279.0,12954.0,1125
1006286,13083.0,13150.0,1126
1006288,13019.0,13150.0,1126
1006289,13019.0,13150.0,1126
1005975,13019.0,13150.0,1126
1005976,13019.0,13150.0,1126
1026462,13083.0,13150.0,1126
1026465,13083.0,13150.0,1126
1002451,343741.0,343740.0,1151
1002507,24383.0,10783.0,1176
1002522,56923.0,24178.0,1182
1003622,11542.0,11499.0,1186
1002533,11542.0,11499.0,1186
1002534,11542.0,11499.0,1186
1002536,111980.0,111985.0,1187
1002538,111980.0,111985.0,1187
1002539,111980.0,111985.0,1187
1027825,7365.0,7398.0,1193
1002612,24265.0,10453.0,1200
1007358,10404.0,10453.0,1201
1073407,69412.0,139847.0,1210
1002598,497035.0,535853.0,1220
1096181,497035.0,535853.0,1220
1097321,497035.0,535853.0,1220
1098555,3102.0,3101.0,1244
1002642,3102.0,3101.0,1244
1073869,3102.0,3101.0,1244
1073871,3102.0,3101.0,1244
1048807,12336.0,24877.0,1246
1095240,24963.0,24877.0,1246
1007066,24950.0,24877.0,1246
1024998,12336.0,24877.0,1246
1024798,24950.0,24877.0,1246
1002644,24950.0,24877.0,1246
1134034,24963.0,24877.0,1246
1007086,24928.0,24877.0,1246
1002677,20780.0,20760.0,1272
1002678,17682.0,17646.0,1273
1091201,18161.0,18141.0,1276
1090503,18161.0,18141.0,1276
1136959,25613.0,25601.0,1278
1002683,25593.0,25601.0,1278
1115244,25590.0,25601.0,1278
1115245,25590.0,25601.0,1278
1115246,25590.0,25601.0,1278
1115247,25590.0,25601.0,1278
1111117,25613.0,25601.0,1278
1111119,25613.0,25601.0,1278
1111122,25613.0,25601.0,1278
1112683,25593.0,25601.0,1278
1115276,25596.0,25601.0,1278
1115277,25593.0,25601.0,1278
1115278,25593.0,25601.0,1278
1112474,14625.0,25871.0,1279
1116256,14318.0,14342.0,1280
1154875,17430.0,17442.0,1299
1156918,17430.0,17442.0,1299
1157599,17430.0,17442.0,1299
1080154,15897.0,15893.0,1301
1093324,17670.0,17644.0,1312
1093329,17597.0,17644.0,1312
1022940,303360.0,303363.0,1320
1022941,303360.0,303363.0,1320
1022944,303360.0,303363.0,1320
1022881,303360.0,303363.0,1320
1022884,303360.0,303363.0,1320
1022885,303360.0,303363.0,1320
1011157,303360.0,303363.0,1320
1011158,303360.0,303363.0,1320
1011159,303360.0,303363.0,1320
1027863,8138.0,22997.0,1328
1027865,8138.0,22997.0,1328
1027879,8138.0,22997.0,1328
1027876,8138.0,22997.0,1328
1027881,8138.0,22997.0,1328
1009969,11777.0,11796.0,1340
1005076,11956.0,24827.0,1341
1018702,69414.0,9681.0,1343
1002932,10486.0,10430.0,1344
1005535,136638.0,5583.0,1354
1003542,11956.0,11954.0,1355
1003688,19685.0,19695.0,1387
1003612,19695.0,19685.0,1389
1231809,19702.0,19693.0,1391
1003609,19710.0,19711.0,1397
1003820,19681.0,19682.0,1399
1003615,19685.0,19682.0,1399
1003823,19686.0,19689.0,1420
1003704,19705.0,19703.0,1422
1003707,19705.0,19703.0,1422
1003779,19704.0,19703.0,1422
1003753,19708.0,19706.0,1427
1158382,391284.0,391282.0,1433
1232476,,391282.0,1433
1168892,391280.0,391282.0,1433
1003698,391273.0,391282.0,1433
1232959,391276.0,391282.0,1433
1097180,391276.0,391282.0,1433
1232957,391276.0,391282.0,1433
1101317,391273.0,391282.0,1433
1136888,391280.0,391282.0,1433
1306446,391280.0,391282.0,1433
1282045,391280.0,391282.0,1433
1003786,21920.0,21917.0,1435
1003787,21922.0,21917.0,1435
1003788,21920.0,21917.0,1435
1005486,58205.0,21917.0,1435
1005488,5595.0,21917.0,1435
1005489,5595.0,21917.0,1435
1005499,21915.0,21917.0,1435
1005501,21922.0,21917.0,1435
1261432,21915.0,21917.0,1435
1005518,21915.0,21917.0,1435
