BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1001849,4,6,2,0,0.6
1001850,4,6,2,0,0.6
1001854,1,3,2,0,0.0
1001856,5,6,1,0,0.8
1001859,5,6,1,0,0.8
1001866,1,2,1,0,0.0
1001868,4,11,7,0,0.3
1001869,6,16,10,0,0.3333
1001871,2,3,2,1,0.0
1001872,2,6,4,0,0.2
1001874,1,6,5,0,0.0
1001875,5,6,1,0,0.8
1001876,7,8,1,0,0.8571
1001877,10,6,0,4,0.5556
1001881,4,6,2,0,0.6
1001882,4,6,2,0,0.6
1001884,10,4,0,6,0.3333
1001887,1,7,6,0,0.0
1001888,2,6,4,0,0.2
1001890,2,6,4,0,0.2
1001891,2,5,3,0,0.25
1001892,3,5,2,0,0.5
1001893,3,5,2,0,0.5
1001894,2,5,3,0,0.25
1001897,1,3,2,0,0.0
1001898,8,3,1,6,0.125
1001899,8,3,1,6,0.125
1001900,26,16,3,13,0.4286
1001901,1,7,6,0,0.0
1001902,1,16,15,0,0.0
1001903,26,16,3,13,0.4286
1001904,4,5,1,0,0.75
1001906,109,7,0,102,0.0556
1001907,109,1,0,108,0.0
1001908,10,3,1,8,0.1
1001909,1,10,9,0,0.0
1001913,41,2,1,40,0.0
1001915,109,3,1,107,0.0092
1001916,5,3,0,2,0.5
1001918,1,34,33,0,0.0
1001921,1,7,6,0,0.0
1001923,21,6,0,15,0.25
1001924,7,8,1,0,0.8571
1001927,3,5,2,0,0.5
1001928,4,6,2,0,0.6
1001930,7,9,2,0,0.75
1001931,8,8,1,1,0.75
1001933,11,9,0,2,0.8
1001935,8,1,0,7,0.0
1001937,1,7,6,0,0.0
1001940,9,8,0,1,0.875
1001941,7,11,4,0,0.6
1001942,1,10,9,0,0.0
1001943,43,16,2,29,0.2955
1001944,5,6,1,0,0.8
1001946,1,6,5,0,0.0
1001948,8,7,0,1,0.8571
1001949,8,7,0,1,0.8571
1001950,8,1,0,7,0.0
1001952,5,6,1,0,0.8
1001953,17,12,2,7,0.5
1001954,10,5,0,5,0.4444
1001955,7,6,0,1,0.8333
1001956,41,5,3,39,0.0233
1001958,69,9,1,61,0.1014
1001963,2,3,1,0,0.5
1001966,8,9,1,0,0.875
1001967,2,11,9,0,0.1
1001971,27,10,0,17,0.3462
1001974,14,7,0,7,0.4615
1001975,7,6,0,1,0.8333
1001977,21,2,1,20,0.0
1001984,9,6,0,3,0.625
1001986,1,2,1,0,0.0
1001988,3,1,0,2,0.0
1001989,5,4,2,3,0.1667
1001990,6,7,1,0,0.8333
1001997,1,6,5,0,0.0
1001999,6,7,1,0,0.8333
1002000,2,4,2,0,0.3333
1002002,1,4,3,0,0.0
1002004,1,2,1,0,0.0
1002005,1,4,3,0,0.0
1002016,5,9,4,0,0.5
1002022,16,14,5,7,0.4
1002023,6,7,1,0,0.8333
1002036,9,8,0,1,0.875
1002037,9,1,0,8,0.0
1002038,9,8,0,1,0.875
1002039,9,8,0,1,0.875
1002042,1,2,1,0,0.0
1002043,1,2,1,0,0.0
1002048,2,4,2,0,0.3333
1002050,1,4,3,0,0.0
1002053,4,5,1,0,0.75
1002054,4,5,1,0,0.75
1002055,4,5,1,0,0.75
1002058,1,11,10,0,0.0
1002059,2,11,9,0,0.1
1002061,7,6,0,1,0.8333
1002063,7,1,0,6,0.0
1002067,2,1,0,1,0.0
1002068,2,3,1,0,0.5
1002070,4,11,7,0,0.3
1002073,1,5,4,0,0.0
1002075,2,5,3,0,0.25
1002076,4,5,1,0,0.75
1002077,1,7,6,0,0.0
1002078,2,5,3,0,0.25
1002079,5,6,1,0,0.8
1002084,1,34,33,0,0.0
1002085,7,34,27,0,0.1818
1002086,7,34,27,0,0.1818
1002087,7,34,27,0,0.1818
1002088,4,5,1,0,0.75
1002090,4,5,1,0,0.75
1002096,3,34,31,0,0.0606
1002097,7,34,27,0,0.1818
1002098,1,11,10,0,0.0
1002100,3,6,3,0,0.4
1002101,3,6,3,0,0.4
1002102,4,11,7,0,0.3
1002104,2,4,2,0,0.3333
1002112,7,34,27,0,0.1818
1002113,1,34,33,0,0.0
1002114,1,34,33,0,0.0
1002115,1,34,33,0,0.0
1002121,1,34,33,0,0.0
1002122,1,34,33,0,0.0
1002124,3,5,2,0,0.5
1002126,1,4,3,0,0.0
1002130,1,34,33,0,0.0
1002137,2,11,9,0,0.1
1002138,1,11,10,0,0.0
1002139,1,11,10,0,0.0
1002140,1,4,3,0,0.0
1002142,1,2,1,0,0.0
1002143,1,2,1,0,0.0
1002144,1,3,2,0,0.0
1002146,4,5,1,0,0.75
1002154,1,5,4,0,0.0
1002155,4,5,1,0,0.75
1002161,1,3,2,0,0.0
1002163,1,3,2,0,0.0
1002168,3,34,31,0,0.0606
1002169,1,34,33,0,0.0
1002170,2,34,32,0,0.0303
1002171,3,34,31,0,0.0606
1002172,9,5,0,4,0.5
1002173,9,5,0,4,0.5
1002174,9,5,0,4,0.5
