NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10017,9,9,2
10026,8,8,4
10038,7,7,2
10055,3,3,2
10056,2,2,2
10062,10,10,2
10069,9,9,2
10075,6,6,3
10079,2,2,2
10088,10,10,2
10090,12,12,2
101,2,2,2
10104,2,2,2
10106,7,7,2
1011,13,13,6
10125,6,6,2
10129,14,14,6
10135,7,7,3
10149,10,10,2
10153,8,8,3
10157,9,9,2
10161,9,9,2
10167,7,7,2
10176,2,2,2
10209,14,14,4
10211,9,9,2
10212,7,7,2
10217,8,8,2
10222,14,14,2
10225,17,17,3
10231,2,2,2
10234,9,9,4
10246,9,9,2
10254,11,11,2
10269,9,9,2
10275,8,8,2
10282,7,7,2
10283,7,7,2
10286,10,10,2
10291,2,2,2
10294,8,8,2
10297,10,10,2
10310,6,6,2
10312,9,9,2
10315,15,15,5
10317,9,9,2
10320,10,10,2
10329,2,2,2
10330,14,14,6
10338,9,9,2
10340,16,16,5
1035,10,10,2
10355,2,2,2
10357,2,2,2
1036,8,8,2
10361,4,4,3
10366,2,2,2
10383,8,8,2
10394,8,8,3
10402,3,3,3
10407,7,7,2
10421,8,8,3
10425,3,3,2
10426,2,2,2
10430,9,9,3
10438,2,2,2
10443,8,8,2
10444,7,7,2
10467,8,8,2
10474,10,10,3
10481,10,10,2
10482,9,9,3
10499,8,8,2
10504,6,6,2
10506,4,4,2
10507,2,2,2
10519,24,24,8
10527,9,9,2
10534,7,7,2
1054,8,8,2
10540,9,9,2
10561,9,9,2
1058,26,26,3
1060,7,7,2
10602,8,8,2
10605,7,7,2
10607,8,8,2
10611,13,13,3
10625,7,7,2
10627,7,7,2
10629,8,8,2
10686,7,7,2
10699,8,8,3
10707,11,11,2
10720,8,8,2
10723,3,3,2
10724,2,2,2
10741,7,7,2
10744,2,2,2
10776,8,8,2
10780,17,17,3
10789,11,11,2
10797,7,7,2
10808,10,10,2
10844,3,3,3
10845,10,10,2
10868,8,8,2
10870,8,8,2
10875,7,7,2
10878,13,13,2
10883,8,8,2
10893,2,2,2
10899,7,7,2
10909,7,7,2
10928,11,11,2
1095,6,6,2
10968,7,7,2
10969,6,6,2
10980,10,10,2
10994,8,8,2
1100,7,7,2
11000,3,3,3
11002,15,15,9
11003,2,2,2
11010,3,3,3
11011,3,3,2
11013,9,9,3
11023,9,9,2
11028,9,9,3
11037,6,6,2
1104,8,8,2
11046,10,10,2
11048,7,7,3
11051,8,8,2
11059,7,7,2
1106,13,13,2
11060,4,4,2
11071,8,8,3
1108,7,7,2
11086,10,10,2
11099,7,7,3
1110,7,7,2
11105,8,8,2
1111,13,13,2
11127,8,8,2
11133,2,2,2
1116,11,11,2
11160,7,7,2
11183,9,9,2
11184,8,8,2
11205,10,10,3
11223,8,8,2
11233,7,7,2
1127,8,8,2
11273,6,6,2
11278,8,8,2
1128,9,9,3
11284,10,10,3
11290,8,8,4
11291,8,8,3
11292,10,10,3
11293,7,7,2
11296,8,8,3
11299,8,8,2
1130,9,9,2
11303,2,2,2
11305,7,7,2
11311,7,7,2
11317,10,10,4
11323,10,10,3
1133,13,13,4
11335,8,8,2
11337,8,8,2
11340,7,7,2
11341,9,9,3
11346,8,8,2
11351,8,8,2
11355,12,12,2
11357,6,6,2
11366,2,2,2
11389,6,6,2
11394,7,7,2
11395,9,9,4
11416,8,8,2
11432,10,10,2
11434,8,8,3
11436,8,8,2
11441,12,12,3
11460,9,9,2
11466,11,11,5
11468,8,8,3
11469,8,8,2
11473,8,8,3
11481,8,8,2
11483,3,3,2
11515,7,7,2
11522,10,10,3
11523,7,7,2
11533,6,6,2
11537,9,9,3
11545,7,7,3
11547,13,13,3
1158,8,8,3
11581,7,7,2
11585,3,3,2
11588,11,11,3
11590,12,12,3
11593,7,7,2
11600,7,7,2
11606,11,11,5
11608,10,10,2
11621,7,7,2
11628,2,2,2
11639,7,7,2
11642,7,7,2
11646,2,2,2
11648,7,7,2
11649,10,10,4
11658,2,2,2
11669,11,11,3
1167,8,8,2
11672,10,10,2
11673,2,2,2
11675,9,9,2
11687,9,9,2
11690,8,8,2
11699,6,6,3
11700,2,2,2
11704,10,10,3
11705,18,18,4
11708,7,7,2
11722,8,8,2
11729,8,8,3
11735,12,12,2
11742,8,8,3
11744,7,7,2
11746,13,13,4
11756,7,7,2
11768,9,9,2
11774,7,7,2
11782,9,9,2
11786,8,8,3
11823,2,2,2
11831,11,11,2
11854,8,8,3
11857,9,9,3
11860,15,15,3
11873,8,8,3
11874,7,7,2
11877,9,9,4
11883,9,9,3
1190,7,7,2
11908,4,4,2
11921,10,10,2
11934,10,10,3
11936,8,8,2
11939,9,9,2
11949,8,8,2
11970,7,7,2
11971,6,6,2
12032,8,8,3
12035,4,4,3
12054,9,9,3
12056,7,7,2
12068,14,14,7
12076,9,9,3
12091,7,7,2
12099,14,14,2
1210,8,8,2
12102,9,9,2
12105,2,2,2
12121,9,9,2
12128,3,3,2
12144,7,7,2
1215,7,7,2
12156,7,7,2
12168,9,9,4
1217,9,9,3
1218,7,7,2
12188,7,7,2
12209,7,7,2
12218,9,9,3
12222,10,10,2
12225,8,8,2
12226,7,7,2
1223,8,8,2
12234,10,10,2
12237,7,7,2
12243,2,2,2
12247,2,2,2
12260,7,7,2
12270,11,11,2
12271,12,12,2
12273,9,9,3
12276,7,7,2
12283,8,8,3
12307,9,9,3
12308,2,2,2
12314,6,6,2
12315,8,8,2
12322,11,11,2
12326,8,8,2
12330,9,9,3
12337,8,8,2
12339,7,7,4
1234,8,8,2
12345,2,2,2
12347,9,9,2
12356,9,9,2
12371,10,10,2
12383,4,4,2
12391,8,8,2
12395,7,7,2
12405,7,7,2
12408,10,10,2
1242,10,10,2
12425,7,7,2
12427,9,9,2
12432,6,6,2
12434,9,9,2
12437,10,10,2
12438,9,9,3
12446,7,7,2
12457,8,8,2
12460,7,7,2
12461,10,10,3
1248,9,9,2
12484,13,13,2
12488,9,9,2
12491,9,9,3
12523,12,12,5
12526,11,11,3
12530,10,10,3
12540,3,3,3
12598,6,6,2
12634,9,9,2
12637,7,7,2
12652,8,8,2
12653,18,18,3
12654,18,18,5
12657,10,10,3
12672,9,9,2
12679,3,3,2
1273,8,8,2
