BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1001144,8,4,0,4,0.4286
1001147,7,3,0,4,0.3333
1001158,7,3,0,4,0.3333
1001163,8,4,0,4,0.4286
1001180,5,3,0,2,0.5
1001181,5,2,0,3,0.25
1001182,5,2,0,3,0.25
1001183,5,3,0,2,0.5
1001185,5,3,0,2,0.5
1001187,5,1,0,4,0.0
1001190,3,2,0,1,0.5
1001194,10,9,0,1,0.8889
1001197,5,4,0,1,0.75
1001199,5,4,0,1,0.75
1001200,3,2,0,1,0.5
1001201,5,3,0,2,0.5
1001202,3,1,0,2,0.0
1001203,3,2,0,1,0.5
1001204,2,1,0,1,0.0
1001205,2,1,0,1,0.0
1001206,2,1,0,1,0.0
1001212,3,1,0,2,0.0
1001220,3,2,0,1,0.5
1001221,7,6,0,1,0.8333
1001225,6,1,0,5,0.0
1001226,3,2,0,1,0.5
1001227,6,5,0,1,0.8
1001230,3,2,0,1,0.5
1001231,3,1,0,2,0.0
1001237,8,6,1,3,0.5
1001238,8,6,1,3,0.5
1001239,9,3,0,6,0.25
1001240,8,1,0,7,0.0
1001243,8,6,1,3,0.5
1001244,9,8,0,1,0.875
1001245,1,9,8,0,0.0
1001246,9,8,0,1,0.875
1001247,8,9,1,0,0.875
1001251,7,4,0,3,0.5
1001254,4,1,0,3,0.0
1001256,8,9,1,0,0.875
1001257,9,8,0,1,0.875
1001258,8,9,1,0,0.875
1001259,8,9,1,0,0.875
1001260,9,1,0,8,0.0
1001261,9,3,0,6,0.25
1001262,9,8,0,1,0.875
1001263,9,6,0,3,0.625
1001276,4,1,0,3,0.0
1001277,4,1,0,3,0.0
1001280,7,2,0,5,0.1667
1001281,7,2,0,5,0.1667
1001288,7,6,0,1,0.8333
1001293,4,3,0,1,0.6667
1001294,4,3,0,1,0.6667
1001309,5,1,0,4,0.0
1001311,4,3,0,1,0.6667
1001332,7,6,0,1,0.8333
1001335,7,6,0,1,0.8333
1001345,2,1,0,1,0.0
1001352,8,9,1,0,0.875
1001354,8,9,1,0,0.875
1001356,7,6,0,1,0.8333
1001357,9,10,1,0,0.8889
1001358,7,6,0,1,0.8333
1001359,9,10,1,0,0.8889
1001363,12,6,0,6,0.4545
1001369,12,6,0,6,0.4545
1001371,12,6,0,6,0.4545
1001378,5,2,0,3,0.25
1001380,5,4,0,1,0.75
1001384,12,6,0,6,0.4545
1001386,12,6,0,6,0.4545
1001388,4,3,0,1,0.6667
1001389,4,3,0,1,0.6667
1001390,4,3,0,1,0.6667
1001392,4,1,0,3,0.0
1001397,10,6,0,4,0.5556
1001399,2,1,0,1,0.0
1001400,6,1,0,5,0.0
1001401,9,6,0,3,0.625
1001402,8,6,1,3,0.5
1001403,6,2,0,4,0.2
1001404,3,1,0,2,0.0
1001405,6,4,0,2,0.6
1001409,5,2,0,3,0.25
1001410,5,4,0,1,0.75
1001411,5,4,0,1,0.75
1001412,6,2,0,4,0.2
1001415,1,3,2,0,0.0
1001416,41,6,0,35,0.125
1001420,6,4,0,2,0.6
1001421,6,4,0,2,0.6
1001422,4,3,0,1,0.6667
1001423,6,4,0,2,0.6
1001425,6,4,0,2,0.6
1001427,4,3,0,1,0.6667
1001428,2,1,0,1,0.0
1001429,2,1,0,1,0.0
1001433,3,1,0,2,0.0
1001434,3,1,0,2,0.0
1001438,3,1,0,2,0.0
1001439,3,19,16,0,0.1111
1001448,3,1,0,2,0.0
1001449,5,2,0,3,0.25
1001456,5,1,0,4,0.0
1001457,5,4,0,1,0.75
1001458,5,1,0,4,0.0
1001463,3,2,0,1,0.5
1001465,9,10,1,0,0.8889
1001466,2,10,9,1,0.0
1001470,3,2,0,1,0.5
1001471,3,2,0,1,0.5
1001472,2,3,1,0,0.5
1001474,7,3,0,4,0.3333
1001475,7,4,0,3,0.5
1001476,9,10,1,0,0.8889
1001477,6,7,1,0,0.8333
1001478,9,10,1,0,0.8889
1001479,9,10,1,0,0.8889
1001480,5,4,0,1,0.75
1001486,1,3,2,0,0.0
1001487,5,4,0,1,0.75
1001488,7,4,0,3,0.5
1001491,7,4,0,3,0.5
1001496,3,4,1,0,0.6667
1001498,3,4,1,0,0.6667
1001499,3,4,1,0,0.6667
1001500,7,6,0,1,0.8333
1001501,7,6,0,1,0.8333
1001504,8,7,0,1,0.8571
1001506,8,7,0,1,0.8571
1001507,8,7,0,1,0.8571
1001511,6,7,1,0,0.8333
1001523,5,2,0,3,0.25
1001524,5,4,0,1,0.75
1001525,5,4,0,1,0.75
1001527,5,4,0,1,0.75
1001532,2,1,0,1,0.0
1001534,3,2,0,1,0.5
1001535,5,2,0,3,0.25
1001536,1,5,4,0,0.0
1001537,5,3,0,2,0.5
1001538,10,5,1,6,0.3
1001545,11,9,0,2,0.8
1001548,5,3,0,2,0.5
1001549,5,2,0,3,0.25
1001551,10,5,1,6,0.3
1001556,10,5,1,6,0.3
1001559,3,2,0,1,0.5
1001562,10,9,0,1,0.8889
1001568,6,7,1,0,0.8333
1001572,10,9,0,1,0.8889
1001573,6,1,0,5,0.0
1001574,6,4,0,2,0.6
1001575,6,4,0,2,0.6
1001584,9,8,0,1,0.875
1001585,9,8,0,1,0.875
1001587,9,8,0,1,0.875
1001591,10,9,0,1,0.8889
1001592,10,9,0,1,0.8889
1001593,9,8,0,1,0.875
1001594,6,4,0,2,0.6
1001595,10,1,0,9,0.0
1001596,9,1,0,8,0.0
1001606,3,2,0,1,0.5
1001613,3,2,0,1,0.5
1001616,2,1,0,1,0.0
1001619,4,1,0,3,0.0
1001621,2,1,0,1,0.0
1001622,2,1,0,1,0.0
1001623,5,4,0,1,0.75
1001624,14,8,1,7,0.4286
1001628,22,6,0,16,0.2381
1001629,5,6,1,0,0.8
1001630,5,6,1,0,0.8
1001631,5,6,1,0,0.8
1001632,7,4,0,3,0.5
1001635,7,4,0,3,0.5
1001636,5,3,0,2,0.5
1001638,5,3,0,2,0.5
1001641,3,2,0,1,0.5
1001642,2,1,0,1,0.0
1001644,5,3,0,2,0.5
1001647,2,1,0,1,0.0
1001663,2,1,0,1,0.0
1001664,1,3,2,0,0.0
1001666,8,2,0,6,0.1429
1001667,3,1,0,2,0.0
1001668,1,2,1,0,0.0
1001669,1,2,1,0,0.0
1001671,3,2,0,1,0.5
1001673,2,1,0,1,0.0
1001692,2,1,0,1,0.0
1001694,9,3,0,6,0.25
1001695,9,6,0,3,0.625
1001698,2,1,0,1,0.0
1001699,2,1,0,1,0.0
1001706,6,7,1,0,0.8333
1001713,4,1,0,3,0.0
1001715,3,1,0,2,0.0
1001718,9,8,0,1,0.875
1001722,2,1,0,1,0.0
1001727,10,9,0,1,0.8889
1001729,6,4,0,2,0.6
1001731,6,5,0,1,0.8
1001732,6,4,0,2,0.6
1001733,6,4,0,2,0.6
1001735,6,2,0,4,0.2
1001738,9,8,0,1,0.875
1001739,9,8,0,1,0.875
1001749,6,1,0,5,0.0
1001750,6,7,1,0,0.8333
1001752,11,9,0,2,0.8
1001753,6,5,0,1,0.8
1001756,11,9,0,2,0.8
1001759,11,9,0,2,0.8
1001771,10,6,0,4,0.5556
1001772,10,6,0,4,0.5556
1001773,10,6,0,4,0.5556
1001774,10,6,0,4,0.5556
1001776,1,3,2,0,0.0
1001777,11,3,1,9,0.0909
1001779,11,3,1,9,0.0909
1001780,5,1,0,4,0.0
1001781,6,5,0,1,0.8
1001784,2,1,0,1,0.0
1001785,6,5,0,1,0.8
1001786,6,5,0,1,0.8
1001789,2,1,0,1,0.0
1001792,1,7,6,0,0.0
1001793,6,7,1,0,0.8333
1001794,6,7,1,0,0.8333
1001795,6,7,1,0,0.8333
1001798,7,4,0,3,0.5
1001804,6,7,1,0,0.8333
1001807,11,9,0,2,0.8
1001816,2,1,0,1,0.0
1001829,23,39,22,6,0.3636
1001830,1,9,8,0,0.0
1001832,4,2,0,2,0.3333
1001848,4,1,0,3,0.0
1001849,4,1,0,3,0.0
1001850,4,2,0,2,0.3333
1001854,1,4,3,0,0.0
1001856,5,3,0,2,0.5
1001857,5,4,0,1,0.75
1001858,2,1,0,1,0.0
1001859,5,3,0,2,0.5
1001862,3,2,0,1,0.5
1001863,3,1,0,2,0.0
1001865,3,1,0,2,0.0
1001867,5,1,0,4,0.0
1001868,4,3,0,1,0.6667
1001871,2,1,0,1,0.0
1001875,5,2,0,3,0.25
1001876,7,8,1,0,0.8571
1001877,10,5,0,5,0.4444
1001884,10,4,0,6,0.3333
1001889,5,4,0,1,0.75
1001895,5,4,0,1,0.75
1001898,8,2,0,6,0.1429
1001899,8,2,0,6,0.1429
1001900,26,17,4,13,0.4138
1001901,1,7,6,0,0.0
1001902,1,17,16,0,0.0
1001903,26,17,4,13,0.4138
1001906,109,11,0,98,0.0926
1001907,109,11,0,98,0.0926
1001908,10,13,3,0,0.75
1001913,41,19,0,22,0.45
1001915,109,16,3,96,0.1081
1001916,5,3,0,2,0.5
1001918,1,19,18,0,0.0
1001919,8,3,0,5,0.2857
1001920,6,5,0,1,0.8
1001921,1,7,6,0,0.0
1001923,21,6,0,15,0.25
1001928,4,3,0,1,0.6667
1001930,7,10,3,0,0.6667
1001931,8,7,0,1,0.8571
1001933,11,9,0,2,0.8
1001942,1,9,8,0,0.0
1001943,43,14,0,29,0.3095
1001944,5,4,0,1,0.75
1001952,5,3,0,2,0.5
1001953,17,19,9,7,0.36
1001954,10,11,1,0,0.9
1001956,41,19,0,22,0.45
1001958,69,16,0,53,0.2206
1001963,2,1,0,1,0.0
1001966,8,9,1,0,0.875
1001967,2,10,8,0,0.1111
1001970,7,1,0,6,0.0
1001971,27,13,1,15,0.4074
1001974,14,7,0,7,0.4615
1001977,21,22,1,0,0.9524
1001984,9,1,0,8,0.0
1001988,3,1,0,2,0.0
1001989,5,2,0,3,0.25
1001991,12,6,0,6,0.4545
1001995,9,6,0,3,0.625
1001996,9,6,0,3,0.625
1001997,1,6,5,0,0.0
1001998,9,6,0,3,0.625
1002001,5,3,0,2,0.5
1002008,5,4,0,1,0.75
1002009,5,1,0,4,0.0
1002010,5,4,0,1,0.75
1002018,3,1,0,2,0.0
1002022,16,9,0,7,0.5333
1002023,6,7,1,0,0.8333
1002027,3,2,0,1,0.5
1002029,5,3,0,2,0.5
1002030,5,3,0,2,0.5
1002040,5,2,0,3,0.25
1002044,3,2,0,1,0.5
1002049,5,2,0,3,0.25
1002051,2,1,0,1,0.0
1002053,4,2,0,2,0.3333
1002054,4,1,0,3,0.0
1002055,4,1,0,3,0.0
1002057,2,1,0,1,0.0
1002059,2,3,1,0,0.5
1002064,3,2,0,1,0.5
1002066,3,2,0,1,0.5
1002067,2,1,0,1,0.0
1002069,2,1,0,1,0.0
1002075,2,1,0,1,0.0
1002076,4,2,0,2,0.3333
1002078,2,1,0,1,0.0
1002079,5,3,0,2,0.5
1002080,3,2,0,1,0.5
1002084,1,2,1,0,0.0
1002085,7,19,12,0,0.3333
1002086,7,19,12,0,0.3333
1002087,7,19,12,0,0.3333
1002088,4,2,0,2,0.3333
1002089,2,1,0,1,0.0
1002090,4,2,0,2,0.3333
1002097,7,19,12,0,0.3333
1002100,3,1,0,2,0.0
1002101,3,2,0,1,0.5
1002102,4,3,0,1,0.6667
1002103,6,1,0,5,0.0
1002104,2,1,0,1,0.0
1002105,2,1,0,1,0.0
1002112,7,19,12,0,0.3333
1002113,1,19,18,0,0.0
1002114,1,2,1,0,0.0
1002115,1,19,18,0,0.0
1002116,3,2,0,1,0.5
