NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
1000,13,13,3
1001,13,13,2
10014,7,7,2
10017,9,9,2
10018,7,7,2
10026,8,8,2
10029,13,13,3
10037,7,7,2
10055,3,3,2
10062,10,10,2
10069,9,9,2
10075,6,6,2
10090,12,12,3
10106,7,7,2
1011,13,13,4
10120,10,10,2
10123,6,6,2
10125,6,6,2
10132,2,2,2
10135,7,7,2
10142,7,7,2
10157,9,9,2
10161,9,9,3
10170,2,2,2
10193,8,8,2
10196,10,10,2
10209,14,14,4
10215,10,10,3
10217,8,8,2
10222,14,14,4
10225,17,17,2
1023,7,7,2
10234,9,9,2
10237,6,6,2
10239,4,4,2
10242,7,7,2
10257,10,10,2
10264,6,6,4
10269,9,9,2
10275,8,8,2
10282,7,7,2
10283,7,7,2
10286,10,10,3
10307,5,5,2
10309,8,8,2
10315,15,15,2
10320,10,10,3
10326,9,9,3
10330,14,14,2
10338,9,9,2
10340,16,16,3
1035,10,10,2
10361,4,4,2
10371,5,5,2
10376,7,7,2
10378,4,4,2
10380,7,7,2
10383,8,8,2
10402,3,3,2
10405,10,10,2
10420,8,8,2
10421,8,8,3
10425,3,3,2
10427,9,9,2
10430,9,9,2
10438,2,2,2
10444,7,7,2
10467,8,8,2
10473,3,3,2
10477,7,7,2
10481,10,10,2
10482,9,9,2
10484,10,10,3
10499,8,8,2
10502,7,7,2
10506,4,4,2
10519,24,24,3
1053,10,10,2
10540,9,9,3
1055,8,8,2
10551,9,9,2
10567,6,6,2
1057,5,5,2
10579,7,7,2
1058,26,26,2
10602,8,8,2
10603,7,7,2
10604,2,2,2
10605,7,7,2
10611,13,13,2
10623,8,8,2
10639,7,7,2
10682,8,8,2
10686,7,7,2
10699,8,8,2
10728,7,7,3
10735,9,9,2
10741,7,7,2
10776,8,8,2
10780,17,17,2
10789,11,11,2
10816,7,7,2
10831,8,8,2
10843,10,10,2
10849,10,10,3
10856,10,10,2
10866,10,10,2
10870,8,8,2
10872,10,10,3
10875,7,7,2
10906,3,3,2
10915,11,11,2
10944,7,7,2
1095,6,6,3
10980,10,10,2
10982,7,7,2
11002,15,15,3
11004,3,3,2
11011,3,3,2
11013,9,9,2
11014,7,7,2
11017,2,2,2
11023,9,9,2
11025,7,7,2
11030,2,2,2
11046,10,10,2
1105,5,5,2
11050,7,7,2
11051,8,8,3
1106,13,13,4
11066,7,7,2
1107,8,8,3
11080,8,8,2
11086,10,10,4
1109,8,8,2
11099,7,7,2
11100,6,6,2
11105,8,8,3
1111,13,13,3
1112,5,5,3
11142,2,2,2
11143,9,9,2
11144,2,2,2
11150,6,6,2
1119,8,8,2
11207,6,6,2
11212,6,6,2
1122,7,7,2
11220,13,13,2
11242,14,14,3
11268,2,2,2
11276,7,7,2
1128,9,9,3
11284,10,10,2
1129,9,9,2
11292,10,10,3
11293,7,7,2
11296,8,8,2
1130,9,9,2
11318,11,11,4
11321,6,6,2
11337,8,8,2
11340,7,7,2
11346,8,8,2
1136,11,11,2
11362,7,7,2
11380,7,7,2
11381,10,10,2
11383,7,7,2
11395,9,9,3
11396,9,9,2
11405,9,9,4
11409,8,8,3
11415,18,18,2
11418,7,7,2
11422,4,4,2
11427,7,7,2
11429,5,5,3
11431,7,7,2
11434,8,8,2
11436,8,8,2
11441,12,12,3
11447,8,8,2
11449,7,7,2
1146,7,7,2
11460,9,9,2
11466,11,11,2
11469,8,8,2
11483,3,3,2
11507,9,9,2
11519,2,2,2
11522,10,10,2
11537,9,9,2
1154,7,7,2
11543,8,8,3
11547,13,13,3
11558,4,4,2
1156,7,7,2
11580,13,13,2
11585,3,3,3
11588,11,11,2
1159,7,7,2
11590,12,12,4
11593,7,7,2
11600,7,7,2
11608,10,10,2
11624,7,7,3
11631,9,9,2
11636,7,7,2
11646,2,2,2
11653,2,2,2
11664,13,13,2
11666,8,8,2
11669,11,11,2
1167,8,8,2
11687,9,9,4
11690,8,8,2
11693,7,7,2
11699,6,6,2
11704,10,10,3
11705,18,18,4
11707,3,3,2
11710,6,6,3
11711,6,6,2
11715,6,6,2
1172,8,8,2
11722,8,8,2
11734,9,9,3
11744,7,7,3
11746,13,13,2
11749,8,8,2
11750,8,8,3
11753,7,7,2
11759,7,7,3
11760,7,7,2
11781,10,10,2
11782,9,9,2
11786,8,8,2
1179,4,4,2
11790,7,7,2
11791,6,6,2
11792,8,8,2
11795,10,10,3
11818,9,9,4
11825,2,2,2
11838,6,6,3
11840,9,9,2
11841,9,9,2
11843,5,5,2
11851,5,5,2
11857,9,9,2
1186,6,6,3
11860,15,15,2
