BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_SPID,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_LID,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_LID,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1257379,,430001,14931,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0,5280647019,,,38.91260551,-104.6581676,,-104.6581676,38.91260551,38.912544,-104.658158,6.9,False,,,,,,,,,PD108793,PD108793,12FR-32,UG Transformer Bank,RBLR53B-5,38.91293811,-104.6579001,25,,43.6,new_assignment
1257453,,27371,17515,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0,1803659038,,,38.76122827,-104.7318434,,-104.7318434,38.76122827,38.761222,-104.731833,1.1,False,,,,,,,,,PD7883,PD007883,12BY-34,UG Transformer Bank,RPRR-36,38.76127481,-104.7313947,25,,39.2,new_assignment
1115523,,3004,26333,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0,9480124245,2427 E WILLAMETTE AVE,COLO SPGS,38.84058769,-104.7845495,13RI-1,-104.7845495,38.84058769,38.840581,-104.784539,1.2,False,,,,,,,,,OH15305,OH015305,13RI-1,OH Transformer Bank,,38.84044109,-104.784137,50,,39.3,new_assignment
1232493,,473122,26767,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0,6236475757,3053 KNOXVILLE PT,COLO SPGS,38.78824063,-104.7307119,12JW-1,-104.7307119,38.78824063,38.788235,-104.730699,1.3,False,,,,,,,,,PD109965,PD109965,12JW-1,UG Transformer Bank,RSBR-12,38.78818423,-104.731689,50,,84.9,new_assignment
1257363,,24763,3519,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,665881257,,,38.88622023,-104.7248217,,-104.7248217,38.88622023,38.886214,-104.724812,1.1,False,,,,,,,,,PD5120,PD005120,13PR-3,UG Transformer Bank,RCC-7,38.88646083,-104.7245425,25,,36.1,new_assignment
1112173,,506653,4286,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,7632846625,"2510 ARLINGTON DR, HSEMTR",COLO SPGS,38.81114681,-104.7785931,,-104.7785931,38.81114681,38.87995,-104.711202,9622.5,True,,,,,,,,,PD110828,PD110828,13PR-4,UG Transformer Bank,RGS5-11,38.87960435,-104.7113851,50,,9582.4,new_assignment
1145044,,477906,9039,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,745237554,3131 GREENWAY CREEK VW,COLO SPGS,38.87563401,-104.7135727,,-104.7135727,38.87563401,38.917715,-104.662725,6423.3,True,,,,,,,,,PD110540,PD110540,12FR-32,UG Transformer Bank,RBLR38-8,38.91732355,-104.6624145,50,,6410.2,new_assignment
1232465,,525844,10033,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,9610393437,10221 SPRY ST,COLO SPGS,38.97847543,-104.7148518,12BG-23,-104.7148518,38.97847543,38.978502,-104.714842,3.1,False,,,,,,,,,PD110783,PD110783,12BG-23,UG Transformer Bank,RTWR2-9,38.97854847,-104.7151081,25,,23.6,new_assignment
1257649,,161599,15209,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,3773381405,,,39.02494509,-104.8007152,,-104.8007152,39.02494509,39.024883,-104.800704,7.0,False,,,,,,,,,PD21681,PD021681,12FH-11,UG Transformer Bank,RFH26-26,39.02528123,-104.800643,50,,37.9,new_assignment
1082158,,20106,19184,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,3669337448,770 CANA GRV UNIT 101,COLO SPGS,38.81748189,-104.75053,,-104.75053,38.81748189,38.868048,-104.791712,6658.5,True,,,,,,,,,OH9851,OH009851,12PJ-1,OH Transformer Bank,,38.86813997,-104.7913304,25,,6649.5,new_assignment
