BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1038842,0.889,6,3
1038837,0.889,6,3
1038838,0.889,6,3
1038840,0.889,6,3
1040114,0.333,6,3
1055328,1.0,3,3
1039764,1.0,3,3
1134355,1.0,3,3
1038843,1.0,3,3
1038849,1.0,5,3
1038848,1.0,5,3
1038852,1.0,5,3
1038850,1.0,5,3
1038847,1.0,5,3
1038854,1.0,5,3
1038864,,0,3
1038865,,0,3
1038867,,0,3
1005977,1.0,6,3
1006020,1.0,6,3
1005942,1.0,6,3
1006019,1.0,6,3
1002459,1.0,6,3
1025115,1.0,6,3
1005941,1.0,6,3
1206863,1.0,11,3
1206862,1.0,11,3
1206420,1.0,11,3
1178231,1.0,11,3
1206865,1.0,11,3
1206935,1.0,11,3
1206861,1.0,11,3
1206933,1.0,11,3
1038868,1.0,11,3
1206864,1.0,11,3
1206934,1.0,11,3
1206870,1.0,11,3
1133865,1.0,6,3
1038888,1.0,6,3
1038870,1.0,6,3
1038887,1.0,6,3
1135084,1.0,6,3
1038890,1.0,6,3
1038869,1.0,6,3
1038875,0.917,8,3
1038876,0.917,8,3
1234992,0.708,8,3
1038878,0.917,8,3
1257673,0.708,8,3
1038871,0.917,8,3
1038872,0.917,8,3
1038877,0.917,8,3
1038874,0.917,8,3
1058163,1.0,6,3
1038873,1.0,6,3
1038880,1.0,6,3
1038882,1.0,6,3
1135034,1.0,6,3
1127484,1.0,6,3
1038881,1.0,6,3
1138757,1.0,5,3
1308508,1.0,5,3
1138713,1.0,5,3
1138755,1.0,5,3
1097026,1.0,5,3
1038879,1.0,5,3
1038886,,0,3
1039281,1.0,9,3
1038891,1.0,9,3
1039277,1.0,9,3
1065177,1.0,9,3
1039275,1.0,9,3
1038897,1.0,9,3
1038896,1.0,9,3
1038895,1.0,9,3
1095585,1.0,9,3
1038898,1.0,9,3
1039492,1.0,5,3
1038892,1.0,5,3
1039495,1.0,5,3
1039498,1.0,5,3
1039496,1.0,5,3
1039497,1.0,5,3
1038893,1.0,1,3
1038894,1.0,1,3
1038910,1.0,7,3
1039489,1.0,7,3
1038909,1.0,7,3
1038908,1.0,7,3
1038905,1.0,7,3
1038899,1.0,7,3
1038907,1.0,7,3
1039488,1.0,7,3
1006028,1.0,6,3
1002462,1.0,6,3
1006027,1.0,6,3
1021472,1.0,6,3
1005974,1.0,6,3
1002460,1.0,6,3
1006029,1.0,6,3
1039493,1.0,7,3
1038902,1.0,7,3
1038904,1.0,7,3
1038906,1.0,7,3
1038903,1.0,7,3
1039490,1.0,7,3
1039487,1.0,7,3
1039494,1.0,7,3
1038951,1.0,6,3
1038926,1.0,6,3
1038936,1.0,6,3
1038924,1.0,6,3
1038954,1.0,6,3
1038923,1.0,6,3
1038953,1.0,6,3
1038925,1.0,8,3
1038959,1.0,8,3
1038946,1.0,8,3
1038968,1.0,8,3
1038961,1.0,8,3
1065127,1.0,8,3
1038969,1.0,8,3
1038970,1.0,8,3
1038967,1.0,8,3
1038937,1.0,7,3
1038929,1.0,7,3
1038931,1.0,7,3
1038933,1.0,7,3
1038927,1.0,7,3
1038938,1.0,7,3
1038932,1.0,7,3
1038930,1.0,7,3
1038928,,0,3
1038934,,0,3
1038935,,0,3
1038941,1.0,5,3
1265488,1.0,5,3
1040557,1.0,5,3
1038940,1.0,5,3
1040574,1.0,5,3
1038939,1.0,5,3
1038942,,0,3
1048486,1.0,3,3
1038943,1.0,3,3
1038945,1.0,3,3
1038944,1.0,3,3
1009358,1.0,6,3
1006005,1.0,6,3
1002461,1.0,6,3
1005994,1.0,6,3
1009375,1.0,6,3
1009359,1.0,6,3
1009377,1.0,6,3
1040577,0.952,7,3
1040578,0.952,7,3
1038949,0.952,7,3
1040555,0.952,7,3
1038964,0.952,7,3
1038947,0.952,7,3
1040575,0.952,7,3
1040556,0.667,7,3
1038950,1.0,1,3
1065134,1.0,1,3
1038952,,0,3
1038960,1.0,5,3
1046659,1.0,5,3
1038956,1.0,5,3
1038957,1.0,5,3
1048101,1.0,5,3
1038962,1.0,5,3
1048140,1.0,6,3
1048141,1.0,6,3
1038958,1.0,6,3
1043561,1.0,6,3
1048129,1.0,6,3
1043560,1.0,6,3
1048142,1.0,6,3
