BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1096654,,536699,22546,6,4,0,4,1.0,1.0,1.0,5,3,3,1.0
1135830,,2641,31232,5,4,0,4,1.0,1.0,1.0,4,3,3,1.0
1150133,,21399,32951,5,4,0,4,1.0,1.0,1.0,4,3,3,1.0
1257426,,20603,38215,5,4,0,4,1.0,1.0,1.0,4,3,3,1.0
1187454,,3296,39995,5,4,0,4,1.0,1.0,1.0,4,3,3,1.0
1240541,,536734,46566,6,4,0,4,1.0,1.0,1.0,5,3,3,1.0
1299377,,536734,46566,6,4,0,4,1.0,1.0,1.0,5,3,3,1.0
1233026,,525843,4553,8,3,0,3,1.0,1.0,1.0,7,3,3,1.0
1014074,,525843,4553,8,3,0,3,1.0,1.0,1.0,7,3,3,1.0
1097172,,525843,4553,8,3,0,3,1.0,1.0,1.0,7,3,3,1.0
1233018,,525843,4553,8,3,0,3,1.0,1.0,1.0,7,3,3,1.0
1096704,,525843,4553,8,3,0,3,1.0,1.0,1.0,7,3,3,1.0
1020798,,1358,5695,4,3,0,3,1.0,1.0,1.0,3,3,3,1.0
1069017,,20540,15753,4,3,0,3,1.0,1.0,1.0,3,3,3,1.0
1084087,,27284,19861,4,3,0,3,1.0,1.0,1.0,3,3,3,1.0
1232476,,391276,22704,4,3,0,3,1.0,1.0,1.0,3,3,3,1.0
1232552,,535483,26769,5,3,0,3,1.0,1.0,1.0,4,3,3,1.0
1232505,,535483,26769,5,3,0,3,1.0,1.0,1.0,4,3,3,1.0
1257661,,536189,30602,6,3,0,3,1.0,1.0,1.0,5,3,3,1.0
1133665,,536189,30602,6,3,0,3,1.0,1.0,1.0,5,3,3,1.0
1257366,,536189,30602,6,3,0,3,1.0,1.0,1.0,5,3,3,1.0
1149577,,10559,33679,4,3,0,3,1.0,1.0,1.0,3,3,3,1.0
1257440,,21487,40426,4,3,0,3,1.0,1.0,1.0,3,3,3,1.0
1257626,,20302,46876,4,3,0,3,1.0,1.0,1.0,3,3,3,1.0
1280972,,428,697,3,2,0,2,1.0,1.0,1.0,2,3,3,1.0
1060426,,26961,14154,3,2,0,2,1.0,1.0,1.0,2,3,3,1.0
