BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1202843,264643.0,31358.0,0
1000524,,3771.0,3
1000526,,1517.0,4
1012540,15373.0,501900.0,21
1000553,,2660.0,22
1000561,296.0,285.0,25
1000995,296.0,285.0,25
1001551,296.0,285.0,25
1001556,94692.0,285.0,25
1001538,296.0,285.0,25
1001389,438.0,446.0,29
1000565,461.0,446.0,29
1006071,24292.0,93092.0,35
1000575,10671.0,93092.0,35
1000663,5579.0,5576.0,60
1000665,5579.0,5576.0,60
1000616,5581.0,5576.0,60
1130661,5577.0,5576.0,60
1000727,221438.0,5576.0,60
1000692,21893.0,21894.0,61
1024974,21895.0,21894.0,61
1000615,,18160.0,67
1000680,58523.0,5555.0,71
1000681,5564.0,5555.0,71
1000622,5565.0,5555.0,71
1000666,5576.0,221438.0,72
1000685,5580.0,221438.0,72
1000629,5544.0,5541.0,73
1000630,5546.0,5541.0,73
1274144,,5554.0,79
1005546,21905.0,21901.0,85
1000648,153928.0,21901.0,85
1000649,153929.0,21901.0,85
1000679,5563.0,5569.0,87
1000655,5573.0,5569.0,87
1000657,5573.0,5569.0,87
1000658,5570.0,5569.0,87
1000656,221438.0,4459.0,88
1000661,5558.0,453995.0,89
1000672,535963.0,5549.0,95
1136544,535967.0,5549.0,95
1002068,402.0,399.0,117
1000734,5522.0,5520.0,127
1014291,375317.0,375316.0,130
1000738,,375316.0,130
1001384,356.0,367.0,143
1001386,356.0,367.0,143
1001369,356.0,367.0,143
1001363,356.0,367.0,143
1001991,19820.0,367.0,143
1001371,356.0,367.0,143
1304323,19707.0,19702.0,147
1000772,19689.0,19690.0,153
1000775,19689.0,19690.0,153
1003639,19696.0,19690.0,153
1000779,19840.0,426.0,159
1000857,19838.0,426.0,159
1000858,19838.0,426.0,159
1000780,5494.0,5496.0,160
1000828,5507.0,5509.0,161
1003572,5502.0,5509.0,161
1003573,5502.0,5509.0,161
1003575,5502.0,5509.0,161
1003642,5507.0,5509.0,161
1000782,5504.0,5509.0,161
1000816,5507.0,5509.0,161
1000818,5504.0,5509.0,161
1000819,5502.0,5509.0,161
1000785,,390898.0,163
1005470,19687.0,19683.0,166
1003705,19681.0,19683.0,166
1000795,,383756.0,171
1003603,19687.0,19691.0,174
1003800,19698.0,19691.0,174
1003799,19698.0,19691.0,174
1003801,19698.0,19691.0,174
1003807,19698.0,19691.0,174
1003813,19687.0,19691.0,174
1003804,19691.0,19694.0,175
1000808,19816.0,354.0,176
1000810,334.0,354.0,176
1000803,236.0,19796.0,177
1000804,171195.0,7771.0,178
1001247,268161.0,294.0,182
1001256,268161.0,294.0,182
1001258,268161.0,294.0,182
1001259,320.0,294.0,182
1003745,298.0,302.0,183
1003659,302.0,298.0,187
1000836,19677.0,19676.0,193
1000841,19709.0,5495.0,197
1198803,280966.0,280965.0,199
1217300,280964.0,280965.0,199
1217303,280964.0,280965.0,199
1216816,280964.0,280965.0,199
1216817,280964.0,280965.0,199
1217852,280967.0,280965.0,199
1217853,280967.0,280965.0,199
1216822,280964.0,280965.0,199
1216821,280964.0,280965.0,199
1216823,280964.0,280965.0,199
1201988,280969.0,280965.0,199
1217857,280964.0,280965.0,199
1201987,280969.0,280965.0,199
1217854,280967.0,280965.0,199
1201989,280969.0,280965.0,199
1217861,280967.0,280965.0,199
1217855,280967.0,280965.0,199
1217856,280967.0,280965.0,199
1217863,280967.0,280965.0,199
1217360,281276.0,280965.0,199
1217362,280967.0,280965.0,199
1217363,280967.0,280965.0,199
1217365,280967.0,280965.0,199
1217366,280967.0,280965.0,199
1217367,280967.0,280965.0,199
1217901,280964.0,280965.0,199
1217904,280967.0,280965.0,199
1217905,280967.0,280965.0,199
1217907,280967.0,280965.0,199
1217911,280964.0,280965.0,199
1200022,280969.0,280965.0,199
1200023,280969.0,280965.0,199
1200024,280969.0,280965.0,199
1200025,280969.0,280965.0,199
1217988,280970.0,280965.0,199
1217989,280970.0,280965.0,199
1217990,280970.0,280965.0,199
1217991,280970.0,280965.0,199
1216992,281275.0,280965.0,199
1216993,281275.0,280965.0,199
1216996,280970.0,280965.0,199
1216997,280970.0,280965.0,199
1216999,280970.0,280965.0,199
1201986,280969.0,280965.0,199
1217025,280970.0,280965.0,199
1217027,280970.0,280965.0,199
1217028,281275.0,280965.0,199
1217030,281275.0,280965.0,199
1217041,281275.0,280965.0,199
1217042,281275.0,280965.0,199
1201690,280966.0,280965.0,199
1201691,280966.0,280965.0,199
1217045,281275.0,280965.0,199
1217046,281275.0,280965.0,199
1217044,281275.0,280965.0,199
1217057,280970.0,280965.0,199
1217058,280970.0,280965.0,199
1217056,280970.0,280965.0,199
1217063,281275.0,280965.0,199
1217064,280970.0,280965.0,199
1217065,280970.0,280965.0,199
1217066,280970.0,280965.0,199
1217067,280970.0,280965.0,199
1217072,281275.0,280965.0,199
1217077,280966.0,280965.0,199
1217078,280966.0,280965.0,199
1217080,280969.0,280965.0,199
1217081,280969.0,280965.0,199
1217082,280969.0,280965.0,199
1217084,280969.0,280965.0,199
1217085,280969.0,280965.0,199
1201738,280966.0,280965.0,199
1201740,280966.0,280965.0,199
1201741,280966.0,280965.0,199
1217096,280966.0,280965.0,199
1217099,280966.0,280965.0,199
1217101,280966.0,280965.0,199
1217103,280966.0,280965.0,199
1153269,280966.0,280965.0,199
1217113,280969.0,280965.0,199
1217114,280969.0,280965.0,199
1217112,280969.0,280965.0,199
1217116,280969.0,280965.0,199
1217117,280969.0,280965.0,199
1217119,280969.0,280965.0,199
1217121,280968.0,280965.0,199
1218153,280970.0,280965.0,199
1217123,280968.0,280965.0,199
1218155,280970.0,280965.0,199
1217125,280968.0,280965.0,199
1217122,280968.0,280965.0,199
1217127,280968.0,280965.0,199
1218154,280970.0,280965.0,199
1218152,280970.0,280965.0,199
1217137,280968.0,280965.0,199
1217139,280968.0,280965.0,199
1217140,280968.0,280965.0,199
1217142,280968.0,280965.0,199
1217143,280968.0,280965.0,199
1153306,280964.0,280965.0,199
1153307,280967.0,280965.0,199
1010556,281275.0,280965.0,199
1217157,280968.0,280965.0,199
1217163,280966.0,280965.0,199
1265862,281275.0,280965.0,199
1217171,280966.0,280965.0,199
1217209,280967.0,280965.0,199
1217210,280967.0,280965.0,199
1217211,280967.0,280965.0,199
1000864,19688.0,19678.0,202
1000866,19681.0,19678.0,202
1000849,19681.0,19678.0,202
1000850,19681.0,19678.0,202
1000851,19688.0,19678.0,202
1001987,449260.0,85736.0,205
1000893,83807.0,5465.0,210
1003661,19709.0,19693.0,221
1001971,19709.0,19693.0,221
1003680,19706.0,19693.0,221
1003681,19706.0,19693.0,221
1003682,19706.0,19693.0,221
1003683,19706.0,19693.0,221
1003700,19709.0,19693.0,221
1003702,19709.0,19693.0,221
1003706,19705.0,19693.0,221
1003708,19709.0,19693.0,221
1003583,19694.0,19693.0,221
1003744,19688.0,19693.0,221
1000884,19688.0,19693.0,221
1000885,19688.0,19693.0,221
1000887,19688.0,19693.0,221
1003752,19706.0,19693.0,221
1003753,19708.0,19693.0,221
1231809,19702.0,19693.0,221
1003755,19706.0,19693.0,221
1006651,30364.0,24109.0,224
1000892,5474.0,5472.0,225
1003686,5474.0,5472.0,225
1010825,377659.0,377568.0,228
1011649,377659.0,377568.0,228
1002361,377659.0,377568.0,228
1002362,377659.0,377568.0,228
1002235,377668.0,377567.0,229
1002381,377668.0,377567.0,229
1002382,377668.0,377567.0,229
1002383,377668.0,377567.0,229
1002360,377668.0,377567.0,229
1009291,377565.0,377567.0,229
1009293,377565.0,377567.0,229
1002184,377565.0,377567.0,229
1002185,377565.0,377567.0,229
1002186,377565.0,377567.0,229
1048675,377565.0,377567.0,229
1009226,377565.0,377567.0,229
1002233,377668.0,377567.0,229
1002234,377668.0,377567.0,229
1000944,359731.0,359728.0,258
1000945,359731.0,359728.0,258
1000946,359731.0,359728.0,258
1009259,359723.0,359728.0,258
1009261,359723.0,359728.0,258
1009411,359731.0,359728.0,258
