NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
12362,14,14,4
12363,7,7,4
12367,9,9,2
12370,7,7,4
12388,8,8,4
12395,7,7,2
12408,9,9,3
12423,7,7,2
12432,7,7,2
12438,8,8,2
12439,7,7,2
12440,8,8,2
12458,6,6,2
12464,6,6,2
12465,8,8,3
12469,8,8,3
12473,7,7,3
12476,39,39,21
12478,9,9,2
12480,8,8,2
12493,7,7,2
12506,3,3,3
12507,9,9,2
12519,9,9,2
1253,2,2,2
12532,9,9,2
12548,12,12,2
12551,6,6,2
12555,14,14,3
12556,6,6,4
12566,9,9,2
12584,8,8,2
12591,11,11,5
12606,10,10,2
12607,6,6,2
12637,6,6,3
12640,8,8,2
12652,9,9,2
12654,2,2,2
12656,6,6,2
12683,8,8,3
12695,9,9,2
12702,9,9,2
12724,8,8,2
12731,9,9,2
12747,7,7,3
12766,7,7,2
12771,15,15,2
12785,6,6,2
12789,9,9,2
12791,12,12,4
12796,11,11,3
12797,7,7,2
1280,12,12,4
12800,5,5,2
12803,7,7,2
12817,7,7,2
1282,8,8,2
12826,8,8,3
12827,2,2,2
1283,7,7,4
12840,8,8,3
12842,11,11,3
12845,8,8,2
12850,7,7,2
12851,7,7,2
12857,9,9,2
1286,10,10,2
12867,11,11,2
12879,8,8,2
12886,7,7,2
12888,12,12,3
12907,8,8,2
12911,9,9,2
1292,4,4,2
12920,7,7,2
12926,4,4,2
12927,12,12,2
12933,16,16,3
12936,7,7,2
1294,8,8,2
12949,5,5,2
12952,7,7,2
12955,6,6,2
1297,12,12,3
12984,9,9,3
12992,9,9,2
12998,7,7,2
13005,7,7,2
13006,6,6,2
1301,7,7,2
13026,8,8,2
13031,9,9,3
13032,6,6,2
13041,11,11,2
13047,4,4,2
13055,7,7,2
13071,8,8,2
13082,8,8,2
13093,7,7,2
1310,8,8,4
13107,9,9,2
13112,12,12,4
13113,8,8,6
13114,25,25,8
13119,9,9,2
13124,7,7,2
13125,5,5,2
13130,9,9,2
13132,9,9,2
13134,9,9,2
13136,6,6,3
13138,3,3,2
13145,9,9,3
13148,8,8,2
1316,8,8,2
13170,6,6,2
13171,2,2,2
13175,9,9,2
13176,13,13,2
1318,6,6,2
13186,11,11,2
13187,15,15,2
13203,8,8,2
13207,8,8,2
1321,21,21,8
13215,6,6,2
13232,24,24,7
13237,6,6,2
13238,8,8,4
13243,5,5,3
13247,8,8,2
13248,8,8,4
13249,5,5,2
13259,18,18,4
13260,8,8,6
13268,6,6,2
13279,11,11,2
13288,8,8,4
1329,5,5,3
13290,23,23,7
13291,10,10,2
1330,9,9,3
13307,7,7,2
13332,5,5,3
13336,11,11,2
1334,9,9,2
13343,12,12,5
13346,4,4,2
13367,13,13,2
13368,13,13,6
13369,11,11,2
13371,14,14,2
13372,10,10,3
13377,17,17,2
13383,5,5,2
13384,8,8,2
13397,13,13,2
13406,7,7,4
13418,17,17,2
13427,10,10,3
1343,9,9,2
13430,12,12,2
13439,6,6,3
13445,9,9,2
13446,8,8,2
13450,6,6,2
13452,10,10,2
13457,9,9,2
13458,9,9,5
13461,7,7,2
13469,8,8,2
13480,8,8,3
13487,7,7,2
13499,11,11,2
13504,3,3,3
13516,8,8,2
13519,14,14,2
13520,11,11,2
13521,9,9,3
13525,3,3,2
13534,13,13,2
13540,7,7,2
13543,16,16,3
13554,4,4,2
13556,9,9,3
13559,28,28,2
13571,13,13,7
13574,9,9,4
13575,15,15,2
13578,12,12,2
13584,23,23,5
13594,24,24,7
13616,8,8,2
13627,9,9,2
13636,7,7,2
13650,8,8,2
13679,8,8,2
13696,7,7,2
13699,8,8,3
1370,7,7,2
13701,6,6,2
13705,4,4,3
13706,6,6,3
13707,6,6,3
13708,7,7,2
13714,8,8,2
13716,15,15,6
13718,6,6,4
13720,5,5,4
13721,12,12,6
13723,8,8,2
13729,8,8,2
13741,13,13,4
13742,14,14,2
13743,10,10,3
13748,6,6,4
13751,6,6,3
13763,7,7,3
13768,7,7,5
13771,7,7,2
13783,8,8,2
13791,6,6,2
13792,8,8,2
13806,6,6,2
13815,10,10,6
13818,8,8,2
13819,6,6,2
13827,9,9,3
13833,6,6,2
13838,3,3,2
13847,9,9,2
13856,6,6,3
13858,11,11,3
13859,8,8,2
13872,8,8,2
13873,5,5,2
13877,9,9,4
13878,8,8,3
1388,10,10,2
13880,9,9,3
13881,9,9,4
13885,10,10,5
13886,8,8,2
13887,9,9,4
13888,13,13,3
13889,2,2,2
13898,13,13,6
13899,12,12,5
13900,9,9,4
13901,7,7,2
13902,13,13,5
13905,8,8,2
13908,8,8,2
13909,7,7,2
13912,9,9,4
13913,8,8,5
13917,25,25,11
13919,9,9,5
13920,8,8,4
13924,7,7,4
13928,9,9,3
13932,7,7,2
13946,14,14,5
13947,2,2,2
1395,10,10,2
13956,14,14,4
1398,9,9,2
13986,8,8,2
14,7,7,2
14005,24,24,8
14012,7,7,2
14025,7,7,2
14032,4,4,2
1405,10,10,6
14076,8,8,4
14079,13,13,6
14081,5,5,2
14085,8,8,2
14087,8,8,3
14091,11,11,4
14103,21,21,6
14104,21,21,7
14107,17,17,4
14108,4,4,2
14137,9,9,2
14141,9,9,4
14143,7,7,2
14144,9,9,2
14149,6,6,2
14152,8,8,2
14155,8,8,2
14157,9,9,3
14159,7,7,2
14161,7,7,2
14163,8,8,3
14168,13,13,4
14169,9,9,4
14170,10,10,7
14172,6,6,2
14175,5,5,2
14176,11,11,4
14178,5,5,2
14181,16,16,7
1419,12,12,4
14190,9,9,3
14216,13,13,5
14217,21,21,7
14233,12,12,3
14241,9,9,2
14249,10,10,3
14256,21,21,7
14264,14,14,5
14266,6,6,2
14269,8,8,3
14276,17,17,7
14286,8,8,2
14288,11,11,4
14289,10,10,5
14290,7,7,3
14291,9,9,2
14296,8,8,3
143,7,7,2
14305,10,10,4
14310,11,11,4
14311,10,10,5
14312,11,11,4
14313,10,10,5
14314,19,19,7
14319,8,8,2
14324,13,13,6
14325,6,6,3
14326,2,2,2
14329,10,10,4
14343,7,7,3
14348,6,6,2
14349,6,6,2
14352,7,7,2
14353,7,7,2
14356,11,11,6
14358,10,10,2
1436,6,6,2
14362,6,6,2
14363,10,10,4
14367,12,12,2
14368,2,2,2
14372,11,11,3
14373,6,6,3
14377,9,9,3
14380,6,6,2
14389,6,6,2
14405,8,8,2
14407,11,11,6
14408,8,8,4
14409,10,10,5
14412,6,6,2
14413,11,11,7
14418,9,9,4
14420,10,10,4
14434,9,9,3
14443,4,4,2
14446,6,6,2
14448,6,6,2
14450,7,7,3
14451,11,11,3
14455,3,3,2
14471,7,7,4
14477,11,11,5
1448,7,7,3
14480,10,10,3
14481,13,13,3
14482,8,8,4
14484,2,2,2
14486,10,10,5
14487,12,12,4
14488,11,11,5
14489,9,9,2
14507,7,7,2
14511,6,6,2
14515,8,8,3
14531,4,4,3
14532,5,5,2
14533,11,11,4
14534,6,6,2
14537,7,7,2
14545,11,11,4
14550,5,5,2
14554,4,4,2
14560,10,10,4
14574,2,2,2
14575,4,4,2
1458,21,21,7
14586,8,8,2
14624,11,11,5
14631,9,9,2
14637,6,6,2
14639,7,7,2
14653,11,11,3
14655,5,5,2
14676,6,6,4
14681,11,11,2
14682,10,10,6
14690,9,9,4
14692,11,11,2
1471,10,10,4
1474,9,9,7
14757,7,7,2
1476,6,6,2
14761,6,6,4
14764,8,8,2
1477,8,8,2
14770,13,13,7
14777,7,7,2
14780,11,11,2
14797,10,10,2
14801,8,8,2
14809,10,10,5
14810,7,7,2
14812,10,10,5
14815,8,8,2
14823,10,10,4
14826,9,9,6
14828,7,7,2
14833,7,7,2
14834,7,7,2
14877,11,11,3
1488,8,8,3
14900,6,6,2
14906,7,7,2
14908,8,8,3
14915,4,4,2
14936,6,6,2
14942,7,7,2
14944,5,5,2
14945,11,11,3
14946,8,8,3
14966,9,9,2
14971,9,9,2
14974,6,6,3
14977,8,8,2
14985,7,7,2
14989,4,4,2
14992,6,6,3
14993,7,7,2
15004,7,7,2
1501,8,8,2
15011,7,7,2
15016,7,7,2
15019,5,5,2
1502,8,8,3
15028,13,13,5
1504,8,8,2
15058,25,25,9
15066,8,8,3
15067,10,10,5
15069,10,10,2
15087,9,9,2
15097,8,8,2
15104,2,2,2
15108,7,7,2
15120,10,10,3
15123,13,13,2
15129,12,12,3
1513,7,7,2
15133,6,6,3
15136,7,7,3
15137,6,6,2
15138,11,11,3
15148,9,9,2
15154,17,17,2
15157,7,7,2
15159,3,3,2
15173,10,10,3
15189,6,6,2
15195,9,9,2
15202,13,13,4
15210,5,5,3
15218,10,10,2
1522,10,10,2
15220,6,6,2
15228,7,7,2
1523,21,21,5
15245,4,4,3
15254,9,9,2
15256,8,8,2
15264,7,7,2
15280,9,9,3
1530,16,16,7
1531,16,16,7
1532,9,9,3
15326,5,5,2
15344,8,8,2
15348,10,10,2
1535,12,12,5
15356,6,6,2
15357,7,7,3
1538,6,6,2
15383,7,7,2
15400,7,7,2
15412,15,15,2
15413,7,7,2
15419,8,8,3
15433,2,2,2
15436,8,8,2
15438,9,9,2
15441,8,8,2
1546,9,9,2
15463,6,6,2
15466,21,21,2
15469,9,9,3
15479,15,15,2
15491,10,10,3
15505,6,6,2
15509,18,18,2
15510,4,4,2
15527,8,8,2
15538,13,13,2
15552,8,8,2
15560,10,10,4
15567,12,12,3
1557,6,6,4
15579,8,8,2
15583,7,7,2
15586,4,4,2
15592,3,3,2
15612,8,8,2
15615,7,7,2
1563,8,8,2
15638,8,8,2
15668,9,9,2
15669,7,7,2
15670,8,8,2
15671,8,8,2
15681,7,7,2
15700,13,13,3
15717,15,15,6
15724,10,10,2
15725,14,14,2
15737,15,15,3
15739,8,8,2
1574,9,9,3
15743,7,7,2
1575,9,9,2
15759,5,5,4
1576,6,6,3
15760,8,8,2
15762,11,11,4
15776,7,7,3
15785,10,10,2
15787,26,26,4
15800,7,7,2
15812,8,8,2
15816,8,8,2
1582,10,10,6
15826,11,11,2
15834,8,8,2
15835,7,7,2
15836,9,9,4
15862,15,15,3
15868,12,12,2
1587,8,8,2
15885,10,10,5
15919,3,3,2
15921,6,6,2
15923,13,13,4
15925,10,10,2
15932,11,11,2
15933,5,5,2
1594,8,8,3
15941,10,10,4
15953,7,7,2
15958,11,11,2
15959,8,8,2
1597,3,3,2
15970,10,10,2
1598,7,7,3
15996,12,12,2
16000,9,9,2
16003,2,2,2
16013,11,11,2
16016,6,6,3
16019,9,9,2
1602,8,8,2
16024,4,4,2
1603,7,7,2
1604,11,11,2
16050,5,5,2
16065,6,6,2
161,6,6,2
16112,9,9,2
16115,7,7,2
1612,8,8,3
16122,7,7,2
1615,9,9,2
16159,7,7,4
16166,6,6,2
1617,9,9,2
16170,2,2,2
1618,8,8,3
162,21,21,6
16206,6,6,2
16234,17,17,3
16236,9,9,2
16267,9,9,2
16269,2,2,2
16289,7,7,2
1629,10,10,3
16292,4,4,2
16293,19,19,6
16295,11,11,5
1630,7,7,2
16310,11,11,2
16326,5,5,2
16332,4,4,3
16333,3,3,2
16335,9,9,3
16336,9,9,4
16339,12,12,3
16349,6,6,2
16351,6,6,4
16352,4,4,3
16353,3,3,2
16359,19,19,2
1638,8,8,3
16383,8,8,2
1639,8,8,2
16392,5,5,2
16401,8,8,2
16404,7,7,2
16412,8,8,3
16413,9,9,3
16414,10,10,4
16416,10,10,4
16417,11,11,4
16418,11,11,2
16420,11,11,4
16428,13,13,3
16437,10,10,2
16444,7,7,4
16446,8,8,2
16448,10,10,5
16449,5,5,3
16458,7,7,2
16459,11,11,2
16461,13,13,6
16462,10,10,4
16463,13,13,3
1647,9,9,3
16474,3,3,2
16477,7,7,2
1648,17,17,5
16485,7,7,2
16487,10,10,2
16488,17,17,6
1649,17,17,6
16490,9,9,3
16492,9,9,2
16493,10,10,3
16505,22,22,5
16506,5,5,4
16507,3,3,3
16513,8,8,2
16523,9,9,5
16524,28,28,3
16527,8,8,2
16529,12,12,5
1653,11,11,4
16531,7,7,2
16532,16,16,7
16533,13,13,4
16539,6,6,2
1654,9,9,4
16546,10,10,2
1655,9,9,5
16552,3,3,3
16553,17,17,6
16554,15,15,8
16559,25,25,7
1656,9,9,4
16562,13,13,4
16563,6,6,4
16565,10,10,5
16570,8,8,3
1658,6,6,2
16581,14,14,2
16589,5,5,3
16592,14,14,2
1660,8,8,2
16629,8,8,2
16652,8,8,2
16666,7,7,2
16673,10,10,4
1668,10,10,3
16685,8,8,3
16697,3,3,2
16702,6,6,3
1671,8,8,2
16721,10,10,2
16722,5,5,2
16754,7,7,4
16764,3,3,2
16768,20,20,2
1677,6,6,2
16793,9,9,4
16822,9,9,3
16829,10,10,2
16832,18,18,2
16833,5,5,2
16851,6,6,2
16858,15,15,2
16861,19,19,2
16869,3,3,2
16872,9,9,2
16874,8,8,2
16883,10,10,2
16888,10,10,2
16895,10,10,3
1690,10,10,3
16915,10,10,4
16927,2,2,2
1693,10,10,4
16930,6,6,2
16936,11,11,2
1694,10,10,3
16949,6,6,2
16956,19,19,2
16959,3,3,2
16966,15,15,2
1697,6,6,2
16986,7,7,2
16990,12,12,2
16995,8,8,2
17,6,6,2
170,7,7,5
17030,14,14,2
17034,2,2,2
17038,11,11,4
1704,8,8,2
17045,9,9,2
17048,9,9,2
17062,3,3,2
17067,11,11,2
171,11,11,5
17104,10,10,3
17105,7,7,2
1711,7,7,2
17112,24,24,8
17127,8,8,2
1713,7,7,2
17135,7,7,2
17148,6,6,2
17151,11,11,2
17178,7,7,2
17179,7,7,2
17191,8,8,2
17199,7,7,2
17219,7,7,2
1722,2,2,2
17226,8,8,2
1723,7,7,2
17235,10,10,3
17244,7,7,3
17246,9,9,2
1725,6,6,4
17254,10,10,2
17258,10,10,3
17260,9,9,2
17261,11,11,2
17268,10,10,2
17275,14,14,2
17287,8,8,2
17289,8,8,2
173,6,6,2
17300,9,9,4
1731,7,7,2
17312,10,10,2
17314,25,25,6
17321,7,7,2
17325,2,2,2
17340,10,10,2
17341,8,8,2
17342,7,7,2
17355,8,8,2
17371,8,8,2
17376,8,8,2
17392,7,7,2
17394,10,10,2
17395,10,10,2
1740,6,6,2
17400,8,8,3
17406,6,6,2
1741,13,13,2
17414,11,11,2
17415,9,9,2
17416,6,6,2
17433,9,9,3
17435,11,11,2
17442,10,10,3
17450,9,9,5
17454,8,8,2
17455,25,25,6
17456,11,11,3
17467,10,10,4
17469,11,11,5
1747,8,8,2
17495,6,6,2
17496,8,8,2
17497,6,6,3
17498,6,6,2
17504,10,10,2
17512,6,6,3
17513,6,6,3
17519,13,13,2
17522,12,12,5
17523,15,15,2
17541,3,3,2
17555,7,7,2
1756,7,7,2
17579,9,9,3
17580,6,6,4
17583,11,11,3
17585,7,7,2
17586,7,7,2
17592,13,13,2
17593,6,6,3
17595,6,6,4
17600,6,6,4
17606,11,11,3
1761,6,6,2
17611,6,6,2
17617,7,7,2
17618,6,6,2
17633,6,6,3
17637,7,7,2
17648,6,6,5
17660,21,21,7
