NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10009,7,7,2
1002,8,8,2
10021,7,7,2
1003,8,8,2
10037,2,2,2
10039,10,10,2
1008,2,2,2
10091,7,7,2
10092,8,8,2
10105,11,11,2
10143,10,10,3
10182,8,8,2
10226,7,7,2
10238,11,11,2
10249,9,9,2
10274,12,12,4
10280,8,8,2
10281,7,7,2
10305,9,9,2
10306,7,7,2
10308,18,18,8
10316,2,2,2
10317,6,6,2
10319,3,3,2
1032,7,7,3
10327,8,8,2
10343,10,10,4
10353,8,8,3
10362,7,7,3
10365,8,8,2
10377,21,21,8
10413,6,6,2
10422,8,8,2
10447,3,3,3
10455,11,11,2
10470,8,8,2
10490,8,8,2
10510,9,9,2
10527,8,8,2
10529,3,3,2
10546,8,8,2
10556,9,9,2
10561,8,8,2
10565,2,2,2
10568,2,2,2
10572,7,7,2
10576,9,9,3
10580,7,7,2
10581,9,9,3
10587,8,8,3
10589,7,7,2
10591,10,10,3
10592,8,8,2
10596,7,7,2
10599,8,8,2
10601,8,8,2
10615,8,8,2
10616,12,12,2
10621,10,10,3
10623,2,2,2
10628,8,8,3
10635,8,8,2
10638,7,7,2
10641,2,2,2
10643,8,8,2
10648,8,8,2
1065,7,7,2
10654,6,6,2
10663,2,2,2
10676,7,7,2
10685,10,10,2
10686,11,11,2
10692,9,9,4
10725,14,14,2
10727,8,8,3
10729,10,10,4
10752,10,10,2
10760,10,10,4
10762,8,8,3
10764,7,7,2
10768,9,9,3
10780,2,2,2
10798,7,7,2
10820,6,6,2
10824,9,9,3
10827,9,9,2
10832,7,7,2
10835,8,8,2
10839,14,14,2
1087,7,7,2
10874,11,11,3
10877,13,13,3
10880,8,8,2
10883,10,10,2
10885,8,8,3
10886,8,8,2
1089,10,10,3
10891,10,10,4
10895,11,11,2
10899,13,13,2
10906,7,7,2
10909,7,7,2
10929,7,7,3
10936,11,11,3
10942,9,9,2
10955,12,12,4
10959,13,13,4
10960,8,8,2
10967,11,11,2
10968,6,6,2
10970,7,7,2
10971,8,8,2
10977,16,16,3
10978,2,2,2
10980,7,7,2
10994,10,10,3
11000,7,7,3
11004,14,14,3
11006,5,5,2
11012,10,10,3
11014,7,7,2
11015,9,9,2
11018,8,8,2
11022,8,8,2
11024,7,7,2
11031,10,10,2
11038,7,7,2
11050,8,8,3
1106,8,8,2
11068,7,7,2
11082,10,10,2
11090,11,11,2
11097,9,9,3
11101,10,10,2
11109,8,8,3
11112,8,8,2
11116,15,15,2
11125,8,8,2
11134,8,8,3
11136,8,8,3
11161,3,3,2
11165,4,4,2
11177,8,8,4
11178,10,10,3
11179,8,8,2
11181,9,9,2
11187,10,10,2
1119,9,9,2
11210,7,7,2
11211,7,7,2
11268,8,8,3
11269,10,10,3
11287,8,8,2
11289,8,8,2
11298,2,2,2
11302,11,11,2
11304,11,11,5
11315,9,9,3
11326,7,7,2
11334,15,15,2
11336,6,6,2
11358,9,9,2
1137,7,7,2
11379,7,7,2
11393,8,8,2
11405,9,9,4
11418,9,9,2
1144,6,6,2
11442,4,4,2
11448,7,7,2
11459,7,7,2
11467,8,8,2
11468,7,7,2
11472,9,9,2
11480,8,8,2
11483,2,2,2
11488,2,2,2
11489,4,4,2
1150,7,7,2
11504,8,8,2
11511,11,11,2
11515,8,8,2
11518,7,7,2
11520,9,9,3
11525,9,9,3
11528,7,7,2
11543,6,6,2
11547,9,9,3
11553,9,9,2
11564,6,6,2
11568,2,2,2
11571,4,4,2
11578,8,8,2
