OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
100,3,3,2
10001,11,11,2
10013,33,33,8
10027,13,13,2
10033,4,4,2
10034,6,6,2
10036,9,9,3
10041,2,2,2
10044,28,28,4
10046,10,10,2
10048,7,7,2
10058,6,6,2
10060,18,18,7
10062,12,12,5
10065,10,10,3
10068,3,3,2
10069,9,9,2
10073,4,4,2
10075,13,13,2
10087,8,8,2
10089,12,12,5
10091,8,8,2
10098,5,5,2
10099,3,3,2
10100,6,6,3
10103,2,2,2
10105,2,2,2
10108,2,2,2
10110,5,5,3
10114,3,3,2
1012,8,8,3
10120,2,2,2
10122,9,9,2
10123,2,2,2
1013,9,9,2
1014,7,7,2
10154,9,9,4
1016,8,8,2
10161,2,2,2
10164,10,10,2
10168,7,7,2
1018,10,10,3
10180,6,6,2
10183,2,2,2
10188,8,8,3
1019,7,7,2
10193,2,2,2
10196,2,2,2
1020,7,7,2
10201,8,8,2
10205,2,2,2
10206,2,2,2
1021,8,8,2
1022,9,9,4
10224,7,7,2
10228,2,2,2
1023,4,4,2
10230,6,6,2
10235,10,10,3
10240,2,2,2
10245,8,8,3
10246,8,8,3
10258,7,7,2
10269,7,7,2
1027,11,11,2
10271,10,10,3
10274,2,2,2
10285,21,21,8
10287,2,2,2
10293,9,9,2
10300,7,7,2
10314,2,2,2
10326,13,13,2
10329,9,9,2
1033,10,10,2
10334,8,8,2
10336,6,6,2
10341,8,8,2
10343,9,9,2
10351,8,8,2
10361,7,7,2
10365,7,7,2
10367,12,12,3
1037,8,8,2
10371,10,10,2
10377,3,3,2
10379,7,7,2
1038,7,7,2
10380,15,15,2
10385,7,7,2
10388,7,7,2
10390,9,9,3
10393,6,6,2
10396,7,7,2
10403,2,2,2
10410,4,4,3
10428,7,7,2
1043,13,13,4
10442,7,7,2
10451,7,7,2
10457,12,12,2
10461,2,2,2
10473,8,8,2
10476,3,3,2
10477,2,2,2
10480,8,8,2
10482,7,7,2
10484,8,8,2
10487,8,8,2
10493,6,6,2
10495,7,7,2
10497,2,2,2
10525,7,7,2
10531,10,10,2
10542,10,10,2
10548,7,7,2
10555,11,11,2
10559,10,10,2
10562,13,13,2
10580,8,8,2
10593,10,10,2
10605,7,7,2
10613,14,14,3
10614,8,8,2
10615,9,9,2
10616,7,7,2
10625,13,13,2
10631,8,8,2
10642,2,2,2
10649,7,7,2
10658,7,7,2
10660,18,18,2
10669,15,15,4
10677,11,11,2
10687,9,9,2
1070,8,8,3
10714,7,7,2
10715,7,7,2
10721,7,7,2
10724,3,3,2
10735,8,8,2
10740,16,16,10
10741,2,2,2
10742,5,5,3
10748,3,3,3
10751,2,2,2
10753,8,8,2
10755,7,7,2
10767,7,7,2
10771,11,11,5
10780,6,6,2
10788,9,9,2
1079,7,7,2
10791,7,7,2
10795,3,3,3
10801,7,7,2
10802,12,12,4
10810,9,9,4
10811,7,7,2
10823,2,2,2
10835,7,7,2
10839,6,6,2
10842,8,8,2
10845,7,7,2
10865,8,8,2
10869,2,2,2
10871,3,3,2
10886,6,6,2
1089,16,16,2
10896,7,7,2
10917,9,9,2
10918,8,8,2
10933,8,8,2
10936,10,10,3
1095,9,9,2
10951,8,8,2
10961,7,7,2
10968,2,2,2
10970,12,12,2
11001,7,7,3
11006,8,8,2
1101,7,7,2
11013,8,8,2
11014,3,3,2
11020,8,8,4
11021,8,8,3
11023,6,6,2
11026,7,7,2
1103,7,7,2
11031,8,8,2
11036,2,2,2
11037,7,7,2
1104,8,8,2
11040,10,10,2
11041,9,9,4
11043,10,10,4
11048,10,10,3
1105,7,7,2
11051,8,8,2
11061,8,8,2
11063,7,7,2
11064,11,11,3
11065,11,11,5
11069,12,12,2
11070,7,7,2
11071,14,14,2
11074,11,11,2
11075,10,10,2
11077,2,2,2
11078,12,12,2
1108,13,13,4
11082,6,6,2
11083,9,9,2
11099,7,7,2
1110,12,12,2
11109,10,10,2
11110,13,13,3
11116,7,7,3
1113,18,18,3
11135,18,18,3
11136,8,8,2
11142,3,3,2
11150,48,48,9
11156,10,10,2
11158,7,7,3
11160,8,8,3
11161,9,9,2
11162,8,8,2
11163,11,11,2
11172,7,7,2
11177,9,9,3
1119,7,7,2
11190,11,11,6
11191,8,8,3
11193,7,7,3
11195,8,8,3
1120,17,17,4
11203,8,8,2
11207,2,2,2
11209,2,2,2
