BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1232552,,535483,26036,5,3,0,3,1.0,1.0
1233022,,535995,26042,4,3,0,3,1.0,1.0
1149577,,10559,32584,4,3,0,3,1.0,1.0
1280972,,428,648,3,2,0,2,1.0,1.0
1060426,,26961,13911,3,2,0,2,1.0,1.0
1130929,,62688,17123,3,2,0,2,1.0,1.0
1074805,,4623,17201,3,2,0,2,1.0,1.0
1133642,,2256,27274,3,2,0,2,1.0,1.0
1257661,,536189,29769,4,2,0,2,1.0,1.0
1133665,,536189,29769,4,2,0,2,1.0,1.0
1253760,,14484,33757,3,2,0,2,1.0,1.0
1233901,,873,39512,3,2,0,2,1.0,1.0
1232953,,391281,44529,4,2,0,2,1.0,1.0
1232956,,391281,44529,4,2,0,2,1.0,1.0
1000524,,3771,3,2,1,0,1,1.0,1.0
1000972,,725,262,2,1,0,1,1.0,1.0
1011278,,364699,820,2,1,0,1,1.0,1.0
1007679,,120619,2419,2,1,0,1,1.0,1.0
1007953,,25375,2488,2,1,0,1,1.0,1.0
1008423,,1697,2594,2,1,0,1,1.0,1.0
1011947,,536652,3580,2,1,0,1,1.0,1.0
1012567,,3292,3617,2,1,0,1,1.0,1.0
1023321,,4,6218,2,1,0,1,1.0,1.0
1137991,,344171,13375,3,1,0,1,1.0,1.0
1137993,,344171,13375,3,1,0,1,1.0,1.0
1062586,,1532,14419,2,1,0,1,1.0,1.0
1097179,,63015,14517,7,1,0,1,1.0,1.0
1277413,,63015,14517,7,1,0,1,1.0,1.0
1232509,,63015,14517,7,1,0,1,1.0,1.0
1063054,,63015,14517,7,1,0,1,1.0,1.0
1083443,,63015,14517,7,1,0,1,1.0,1.0
1304899,,63015,14517,7,1,0,1,1.0,1.0
1073864,,23032,16962,2,1,0,1,1.0,1.0
1097547,,130219,20787,2,1,0,1,1.0,1.0
1190431,,405755,22213,2,1,0,1,1.0,1.0
1257411,,11934,28915,2,1,0,1,1.0,1.0
1133354,,473024,29603,2,1,0,1,1.0,1.0
1133393,,21114,29620,2,1,0,1,1.0,1.0
1248301,,248004,29791,2,1,0,1,1.0,1.0
1164441,,3667,34528,2,1,0,1,1.0,1.0
1169183,,20955,35528,2,1,0,1,1.0,1.0
1232983,,525836,35970,5,1,0,1,1.0,1.0
1232474,,525836,35970,5,1,0,1,1.0,1.0
1170849,,525836,35970,5,1,0,1,1.0,1.0
1270658,,525836,35970,5,1,0,1,1.0,1.0
1187889,,21516,38581,2,1,0,1,1.0,1.0
1202842,,473134,39043,2,1,0,1,1.0,1.0
1257712,,7913,44572,2,1,0,1,1.0,1.0
1257447,,1086,44574,2,1,0,1,1.0,1.0
1257367,,258564,44867,2,1,0,1,1.0,1.0
1257370,,11985,44869,2,1,0,1,1.0,1.0
1257409,,22735,44873,2,1,0,1,1.0,1.0
1257410,,23433,44874,2,1,0,1,1.0,1.0
1257413,,5051,44876,2,1,0,1,1.0,1.0
1257414,,264325,44877,2,1,0,1,1.0,1.0
1257418,,27159,44878,2,1,0,1,1.0,1.0
1257424,,25542,44880,2,1,0,1,1.0,1.0
1257425,,665,44881,2,1,0,1,1.0,1.0
1257443,,26678,44882,2,1,0,1,1.0,1.0
1257445,,16576,44883,2,1,0,1,1.0,1.0
1257557,,4830,44889,2,1,0,1,1.0,1.0
1257569,,377629,44892,2,1,0,1,1.0,1.0
1257596,,476,44897,2,1,0,1,1.0,1.0
1257653,,14180,44909,2,1,0,1,1.0,1.0
1257360,,111662,30746,12,10,0,9,0.9,0.9
1257421,,111662,30746,12,10,0,9,0.9,0.9
1036407,,390901,2814,21,19,0,17,0.8947,0.8947
1058251,,390901,2814,21,19,0,17,0.8947,0.8947
1093931,18332,18361,21130,19,19,1,18,0.9474,0.8947
1116688,14342,25725,25250,19,19,1,18,0.9474,0.8947
1093870,18361,18332,21401,18,18,1,17,0.9444,0.8889
1111512,25725,25720,24685,18,18,1,17,0.9444,0.8889
1216206,26575,26568,42166,18,18,1,17,0.9444,0.8889
1232493,,473122,4525,10,9,0,8,0.8889,0.8889
1116256,14318,14342,1057,17,17,1,16,0.9412,0.8824
1080154,15897,15893,1077,17,17,1,16,0.9412,0.8824
1121136,19423,3567,11956,16,16,1,15,0.9375,0.875
1205993,2961,2920,30821,15,15,1,14,0.9333,0.8667
1007399,24891,24882,2308,14,14,1,13,0.9286,0.8571
1113152,25813,14647,25080,14,14,1,13,0.9286,0.8571
1287801,370272,370271,44334,14,14,1,13,0.9286,0.8571
1233000,,506645,22974,8,7,0,6,0.8571,0.8571
1000727,221438,5576,59,13,13,1,12,0.9231,0.8462
1008326,24698,24718,1657,13,13,1,12,0.9231,0.8462
1035302,286723,286724,3105,13,13,1,12,0.9231,0.8462
1043269,156167,129268,7202,13,13,1,12,0.9231,0.8462
1046471,376998,376999,11441,13,13,1,12,0.9231,0.8462
1075914,273278,282235,17442,13,13,1,12,0.9231,0.8462
1076628,284155,282241,17606,13,13,1,12,0.9231,0.8462
1115784,25577,25583,24778,13,13,1,12,0.9231,0.8462
1153307,280967,280968,33114,13,13,1,12,0.9231,0.8462
1011710,375502,375501,3473,12,12,1,11,0.9167,0.8333
1131849,345084,20786,4821,12,12,1,11,0.9167,0.8333
1034941,263366,263367,7271,12,12,1,11,0.9167,0.8333
1032627,345249,345246,8502,12,12,1,11,0.9167,0.8333
1090506,1307,1332,13456,12,12,1,11,0.9167,0.8333
1188497,3217,3178,15976,12,12,1,11,0.9167,0.8333
1301788,6754,22426,17056,12,12,1,11,0.9167,0.8333
1145065,25814,25784,23853,12,12,1,11,0.9167,0.8333
1186812,26106,26118,28432,12,12,1,11,0.9167,0.8333
1207997,930,928,30809,12,12,1,11,0.9167,0.8333
1187401,365119,365120,34859,12,12,1,11,0.9167,0.8333
1270187,10991,10968,42503,12,12,1,11,0.9167,0.8333
1303966,22424,22401,50827,12,12,1,11,0.9167,0.8333
1257651,,6101,39209,7,6,0,5,0.8333,0.8333
1007408,10755,24394,855,11,11,1,10,0.9091,0.8182
1011409,6657,6551,1265,11,11,1,10,0.9091,0.8182
1025480,33260,33259,1677,11,11,1,10,0.9091,0.8182
1009393,375324,375325,2768,11,11,1,10,0.9091,0.8182
1020546,9204,9212,3257,11,11,1,10,0.9091,0.8182
1034950,177601,177602,3740,11,11,1,10,0.9091,0.8182
1054417,365058,365056,3832,11,11,1,10,0.9091,0.8182
1275390,390509,390508,4318,11,11,1,10,0.9091,0.8182
1035783,306237,319035,6047,11,11,1,10,0.9091,0.8182
1029649,370383,370384,6053,11,11,1,10,0.9091,0.8182
1029681,370384,370382,6067,11,11,1,10,0.9091,0.8182
1095085,420288,420286,6622,11,11,1,10,0.9091,0.8182
1030156,6227,6181,7289,11,11,1,10,0.9091,0.8182
1033222,285128,285129,8639,11,11,1,10,0.9091,0.8182
1034753,292159,292158,8978,11,11,1,10,0.9091,0.8182
1039174,226242,130540,9920,11,11,1,10,0.9091,0.8182
1067852,118722,123514,11893,11,11,1,10,0.9091,0.8182
1056506,375989,375990,12679,11,11,1,10,0.9091,0.8182
1066886,376834,376833,14713,11,11,1,10,0.9091,0.8182
1179080,25468,13592,16357,11,11,1,10,0.9091,0.8182
1133689,4003,273279,17441,11,11,1,10,0.9091,0.8182
1089484,349715,349714,18001,11,11,1,10,0.9091,0.8182
1197788,11112,24513,19938,11,11,1,10,0.9091,0.8182
1114171,14569,14535,23976,11,11,1,10,0.9091,0.8182
1112354,25725,25732,24879,11,11,1,10,0.9091,0.8182
1126397,2530,2467,26579,11,11,1,10,0.9091,0.8182
1125045,13473,13455,27158,11,11,1,10,0.9091,0.8182
1176845,20763,20774,27669,11,11,1,10,0.9091,0.8182
1157251,359665,359664,29370,11,11,1,10,0.9091,0.8182
1222133,12250,24957,30990,11,11,1,10,0.9091,0.8182
1153262,10460,10419,33048,11,11,1,10,0.9091,0.8182
1159319,102363,102058,33529,11,11,1,10,0.9091,0.8182
1277241,22552,93723,47326,11,11,1,10,0.9091,0.8182
1300735,22426,6716,50217,11,11,1,10,0.9091,0.8182
1302567,6811,22462,50537,11,11,1,10,0.9091,0.8182
1311569,9016,8977,51038,11,11,1,10,0.9091,0.8182
1005541,280,294,486,10,10,1,9,0.9,0.8
1004143,13223,13202,1343,10,10,1,9,0.9,0.8
1005016,9915,9967,1575,10,10,1,9,0.9,0.8
1303089,5146,5165,1928,10,10,1,9,0.9,0.8
1054829,33260,33261,2759,10,10,1,9,0.9,0.8
1010398,49568,49567,3014,10,10,1,9,0.9,0.8
1010846,11453,11362,3083,10,10,1,9,0.9,0.8
1011664,16197,16233,3444,10,10,1,9,0.9,0.8
1011822,377665,377666,3504,10,10,1,9,0.9,0.8
1048290,74203,65251,3940,10,10,1,9,0.9,0.8
1014182,384035,384036,4064,10,10,1,9,0.9,0.8
1058778,375981,375980,4510,10,10,1,9,0.9,0.8
1096135,375313,375310,4893,10,10,1,9,0.9,0.8
1022685,370382,370381,6058,10,10,1,9,0.9,0.8
1024899,20857,20823,6578,10,10,1,9,0.9,0.8
1030714,271036,271037,7225,10,10,1,9,0.9,0.8
1056582,376047,376048,7462,10,10,1,9,0.9,0.8
1034721,292162,292159,8973,10,10,1,9,0.9,0.8
1035517,55648,55647,9143,10,10,1,9,0.9,0.8
1036995,271038,265621,9461,10,10,1,9,0.9,0.8
1040942,34530,23353,10113,10,10,1,9,0.9,0.8
1042677,22180,6118,10678,10,10,1,9,0.9,0.8
1053440,345244,345245,11695,10,10,1,9,0.9,0.8
1082996,17486,17426,11853,10,10,1,9,0.9,0.8
1128856,11940,11955,12030,10,10,1,9,0.9,0.8
1060487,370188,370187,12044,10,10,1,9,0.9,0.8
1056106,178557,185916,12608,10,10,1,9,0.9,0.8
1079334,16151,16123,13784,10,10,1,9,0.9,0.8
1061804,343533,343532,14242,10,10,1,9,0.9,0.8
1101986,16606,16615,16957,10,10,1,9,0.9,0.8
1083927,16026,16033,18269,10,10,1,9,0.9,0.8
1080758,35164,95971,18367,10,10,1,9,0.9,0.8
1269226,396,52763,19082,10,10,1,9,0.9,0.8
1118945,473035,473036,25942,10,10,1,9,0.9,0.8
1122536,19982,1025,26560,10,10,1,9,0.9,0.8
1207205,1846,1815,26611,10,10,1,9,0.9,0.8
1125158,1418,1433,27038,10,10,1,9,0.9,0.8
1133467,6976,22592,27947,10,10,1,9,0.9,0.8
1304023,22626,7050,29645,10,10,1,9,0.9,0.8
1179149,20262,1769,29787,10,10,1,9,0.9,0.8
1145057,14487,14481,30667,10,10,1,9,0.9,0.8
1142997,878,111662,30746,12,10,1,9,0.9,0.8
1276470,93728,93727,30983,10,10,1,9,0.9,0.8
1154675,20394,20391,33435,10,10,1,9,0.9,0.8
1189188,4310,4297,35101,10,10,1,9,0.9,0.8
1189994,21233,21254,38912,10,10,1,9,0.9,0.8
1201098,12002,24865,39237,10,10,1,9,0.9,0.8
1275629,23470,9007,42314,10,10,1,9,0.9,0.8
1265982,55978,23153,44146,10,10,1,9,0.9,0.8
1303911,7120,7190,44896,10,10,1,9,0.9,0.8
1000738,,375316,132,6,5,0,4,0.8,0.8
1097193,,391152,22008,6,5,0,4,0.8,0.8
1010005,390898,390901,2814,21,19,2,17,0.8947,0.7895
1009442,390898,390901,2814,21,19,2,17,0.8947,0.7895
1001688,327,322,528,9,9,1,8,0.8889,0.7778
1280975,530,529,717,9,9,1,8,0.8889,0.7778
1025106,10616,10636,1132,9,9,1,8,0.8889,0.7778
1025329,25283,12911,1237,9,9,1,8,0.8889,0.7778
1133034,46684,8437,1274,9,9,1,8,0.8889,0.7778
1004226,12680,12713,1324,9,9,1,8,0.8889,0.7778
1004441,9224,23592,1471,9,9,1,8,0.8889,0.7778
1025076,10149,10140,1698,9,9,1,8,0.8889,0.7778
1005587,11328,11397,1841,9,9,1,8,0.8889,0.7778
1008888,11377,11313,2686,9,9,1,8,0.8889,0.7778
1010560,88606,88607,2915,9,9,1,8,0.8889,0.7778
1035279,286726,344637,3122,9,9,1,8,0.8889,0.7778
1022901,11012,11017,3170,9,9,1,8,0.8889,0.7778
1059258,375499,375314,3517,9,9,1,8,0.8889,0.7778
1039475,378395,378400,4088,9,9,1,8,0.8889,0.7778
1014323,473133,473122,4525,10,9,1,8,0.8889,0.7778
1202902,27207,18762,4640,9,9,1,8,0.8889,0.7778
1015253,376521,376522,4921,9,9,1,8,0.8889,0.7778
1018997,22934,22944,5093,9,9,1,8,0.8889,0.7778
1132984,8836,8852,5386,9,9,1,8,0.8889,0.7778
1042104,344491,391375,5679,9,9,1,8,0.8889,0.7778
1021591,6587,6600,5757,9,9,1,8,0.8889,0.7778
1022741,344333,344334,6060,9,9,1,8,0.8889,0.7778
1024392,10994,11012,6110,9,9,1,8,0.8889,0.7778
1023211,8818,23313,6192,9,9,1,8,0.8889,0.7778
1024053,23997,23979,6397,9,9,1,8,0.8889,0.7778
1025979,477903,477905,6759,9,9,1,8,0.8889,0.7778
1032209,287998,287997,7120,9,9,1,8,0.8889,0.7778
1132978,7670,7641,7180,9,9,1,8,0.8889,0.7778
1037296,22551,6894,7230,9,9,1,8,0.8889,0.7778
1032340,343565,343567,8430,9,9,1,8,0.8889,0.7778
1033223,341120,343394,8648,9,9,1,8,0.8889,0.7778
1034362,159048,159049,8883,9,9,1,8,0.8889,0.7778
1034515,7779,7777,8922,9,9,1,8,0.8889,0.7778
1038770,9650,9678,9830,9,9,1,8,0.8889,0.7778
1039816,23622,23608,9957,9,9,1,8,0.8889,0.7778
1039608,375060,375061,10040,9,9,1,8,0.8889,0.7778
1054945,146880,146882,10317,9,9,1,8,0.8889,0.7778
1044203,343808,343807,11027,9,9,1,8,0.8889,0.7778
1056716,343316,343315,11045,9,9,1,8,0.8889,0.7778
1045563,8972,8941,11268,9,9,1,8,0.8889,0.7778
1047114,344339,344340,11542,9,9,1,8,0.8889,0.7778
1047383,292161,292162,11583,9,9,1,8,0.8889,0.7778
1048004,349595,349596,11703,9,9,1,8,0.8889,0.7778
1121115,295677,179523,11983,9,9,1,8,0.8889,0.7778
1057063,175356,172500,12793,9,9,1,8,0.8889,0.7778
1068607,5877,5873,13100,9,9,1,8,0.8889,0.7778
1063164,343680,375307,13971,9,9,1,8,0.8889,0.7778
1060743,267521,267520,13977,9,9,1,8,0.8889,0.7778
1061603,344131,344130,14185,9,9,1,8,0.8889,0.7778
1065393,344124,344123,14316,9,9,1,8,0.8889,0.7778
1062290,344278,344279,14344,9,9,1,8,0.8889,0.7778
1065577,257928,257929,14577,9,9,1,8,0.8889,0.7778
1069930,19143,19107,15713,9,9,1,8,0.8889,0.7778
1079095,5431,5428,15855,9,9,1,8,0.8889,0.7778
1075443,276156,262407,15894,9,9,1,8,0.8889,0.7778
1282485,27349,19389,16048,9,9,1,8,0.8889,0.7778
1071231,27374,27382,16095,9,9,1,8,0.8889,0.7778
1190401,4210,4222,16460,9,9,1,8,0.8889,0.7778
1267665,10188,10180,17039,9,9,1,8,0.8889,0.7778
1077335,284158,284157,17475,9,9,1,8,0.8889,0.7778
1077739,19283,19275,17620,9,9,1,8,0.8889,0.7778
1076760,145602,130227,17633,9,9,1,8,0.8889,0.7778
1077597,19304,19305,17692,9,9,1,8,0.8889,0.7778
1077280,31364,27295,17740,9,9,1,8,0.8889,0.7778
1077938,145609,145917,17889,9,9,1,8,0.8889,0.7778
1121134,18314,18342,18075,9,9,1,8,0.8889,0.7778
1113784,14298,25736,18878,9,9,1,8,0.8889,0.7778
1089109,14423,14385,19761,9,9,1,8,0.8889,0.7778
1116653,13710,13656,20481,9,9,1,8,0.8889,0.7778
1103138,26456,26464,20709,9,9,1,8,0.8889,0.7778
1092288,25421,13474,20878,9,9,1,8,0.8889,0.7778
1121063,13060,13138,21225,9,9,1,8,0.8889,0.7778
1119059,10750,429852,21973,9,9,1,8,0.8889,0.7778
1115718,25583,13942,25648,9,9,1,8,0.8889,0.7778
1115748,13942,25577,25653,9,9,1,8,0.8889,0.7778
