BADGE,RECOMMENDED_TRANSFORMER,CONSENSUS_TIER,IN_V1,IN_V1_HIGH_CONF,IN_V2,IN_V2_HIGH_CONF,RECOMMENDATION_TYPE,BADGE_ADDRESS,BADGE_CITY,BADGE_FEEDERID,CURRENT_TX_FEEDERID,RECOMMENDED_TX_FEEDERID,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,V1_CLUSTER_SIZE,V1_MAPPED_PEERS,V1_CONFIDENCE_GAP,V1_MAJORITY_SHARE,V1_PEER_STABILITY,V1_RECOMMENDATION_STABILITY,V2_CLUSTER_SIZE,V2_MAPPED_PEERS,V2_CONFIDENCE_GAP,V2_MAJORITY_SHARE,V2_PEER_STABILITY,V2_RECOMMENDATION_STABILITY
1232979,384663,both_high_confidence,True,True,True,True,new_assignment,8522 NOREEN FALLS DR,COLO SPGS,12BG-22,,12BG-22,,25.3,6,5,1.0,1.0,1.0,1.0,6,5,1.0,1.0,1.0,1.0
1232993,536699,both_high_confidence,True,True,True,True,new_assignment,1337 VERDE DR,COLO SPGS,13HK-1,,,,16.0,6,4,1.0,1.0,1.0,1.0,6,4,1.0,1.0,1.0,1.0
1233002,537121,both_high_confidence,True,True,True,True,new_assignment,9238 ORO CITY LOOP,COLO SPGS,12FR-32,,12FR-32,,29.8,6,4,1.0,1.0,1.0,1.0,6,4,1.0,1.0,1.0,1.0
1240541,536734,both_high_confidence,True,True,True,True,new_assignment,"31 NOYER CT, HSEMTR",COLO SPGS,12SP-35,,12SP-35,,15.6,6,4,1.0,1.0,1.0,1.0,6,4,1.0,1.0,1.0,1.0
1247846,14575,both_high_confidence,True,True,True,True,new_assignment,850 MARLSTONE PL,COLO SPGS,,,13Y-1,,28.3,6,5,1.0,1.0,0.911,1.0,5,4,1.0,1.0,1.0,1.0
1257426,20603,both_high_confidence,True,True,True,True,new_assignment,,,,,13Y-1,,48.3,7,6,1.0,1.0,0.796,1.0,5,4,1.0,1.0,1.0,1.0
1257453,27371,both_high_confidence,True,True,True,True,new_assignment,,,,,12BY-34,,39.2,9,8,1.0,1.0,1.0,1.0,9,8,1.0,1.0,1.0,1.0
1257706,23720,both_high_confidence,True,True,True,True,new_assignment,,,,,12WR-2,,29.6,5,4,1.0,1.0,1.0,1.0,5,4,1.0,1.0,1.0,1.0
1265550,384443,both_high_confidence,True,True,True,True,new_assignment,,,,,12BG-23,,41.6,7,6,1.0,1.0,1.0,1.0,6,5,1.0,1.0,1.0,1.0
1278656,16010,both_high_confidence,True,True,True,True,new_assignment,629 GOLDEN EAGLE DR,COLO SPGS,,,13PV-4,,46.4,6,5,1.0,1.0,0.978,1.0,6,5,1.0,1.0,1.0,1.0
