BADGE,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,MAJORITY_TRANSFORMER,MAJORITY_VOTES,MAJORITY_SHARE,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA
1013505,4498,10,9,23210,9,1.0,UG6420,13CW-2,RQM-18,38.923532860000002,-104.786418979999993,25.000000000000000
1233117,26228,5,4,5117,4,1.0,OH18439,12BY-31,,38.772344680000003,-104.772288720000006,25.000000000000000
1002139,810,8,7,209599,4,0.571,,,,,,
1002390,993,1,0,,0,,,,,,,
1003836,1328,1,0,,0,,,,,,,
1008771,2892,1,0,,0,,,,,,,
1009880,3158,1,0,,0,,,,,,,
1010276,3266,1,0,,0,,,,,,,
1011735,3778,1,0,,0,,,,,,,
1011882,3823,1,0,,0,,,,,,,
1015194,5223,1,0,,0,,,,,,,
1019866,5633,1,0,,0,,,,,,,
1020997,5933,1,0,,0,,,,,,,
1021443,6052,1,0,,0,,,,,,,
1021453,6055,1,0,,0,,,,,,,
1023006,6537,1,0,,0,,,,,,,
1024006,6788,1,0,,0,,,,,,,
1031217,8686,1,0,,0,,,,,,,
1031365,8722,1,0,,0,,,,,,,
1031708,8815,1,0,,0,,,,,,,
1031971,8936,1,0,,0,,,,,,,
1032062,8953,1,0,,0,,,,,,,
1032504,9082,1,0,,0,,,,,,,
1032946,9181,1,0,,0,,,,,,,
1036039,9955,1,0,,0,,,,,,,
1037856,10390,1,0,,0,,,,,,,
1048094,12593,1,0,,0,,,,,,,
1058066,13927,1,0,,0,,,,,,,
1058314,13962,1,0,,0,,,,,,,
1058643,14024,1,0,,0,,,,,,,
1061937,15323,1,0,,0,,,,,,,
1072102,17418,1,0,,0,,,,,,,
1073671,18029,1,0,,0,,,,,,,
1074033,18210,1,0,,0,,,,,,,
1075311,18490,1,0,,0,,,,,,,
1079976,19658,1,0,,0,,,,,,,
1084286,21080,1,0,,0,,,,,,,
1088766,21378,1,0,,0,,,,,,,
1089916,21663,1,0,,0,,,,,,,
1092259,22536,1,0,,0,,,,,,,
1096896,23923,1,0,,0,,,,,,,
1100570,24609,1,0,,0,,,,,,,
1104714,25778,1,0,,0,,,,,,,
1105924,26173,1,0,,0,,,,,,,
1106422,26289,1,0,,0,,,,,,,
1108878,26505,1,0,,0,,,,,,,
1109907,26771,1,0,,0,,,,,,,
1111695,27193,1,0,,0,,,,,,,
1116000,28350,1,0,,0,,,,,,,
1119088,28721,1,0,,0,,,,,,,
1119577,28795,1,0,,0,,,,,,,
1119590,28799,1,0,,0,,,,,,,
1119637,28812,1,0,,0,,,,,,,
1127374,30694,5,0,,0,,,,,,,
1131092,30694,5,0,,0,,,,,,,
1277891,30694,5,0,,0,,,,,,,
1137839,30694,5,0,,0,,,,,,,
1249629,30694,5,0,,0,,,,,,,
1136250,32277,3,0,,0,,,,,,,
1132741,32277,3,0,,0,,,,,,,
1132761,32277,3,0,,0,,,,,,,
1132818,32317,1,0,,0,,,,,,,
1132862,32335,1,0,,0,,,,,,,
1134178,32849,1,0,,0,,,,,,,
1135999,33380,1,0,,0,,,,,,,
1137797,33876,1,0,,0,,,,,,,
1138360,34098,1,0,,0,,,,,,,
1143529,34579,1,0,,0,,,,,,,
1151011,36442,1,0,,0,,,,,,,
1153004,36626,1,0,,0,,,,,,,
1155301,37298,1,0,,0,,,,,,,
1178795,41766,1,0,,0,,,,,,,
1184557,42536,1,0,,0,,,,,,,
1185028,42636,1,0,,0,,,,,,,
1186681,42927,1,0,,0,,,,,,,
1190601,43598,1,0,,0,,,,,,,
1195364,43738,1,0,,0,,,,,,,
1195366,43740,1,0,,0,,,,,,,
1195368,43741,1,0,,0,,,,,,,
1195369,43742,1,0,,0,,,,,,,
1195370,43743,1,0,,0,,,,,,,
1195371,43744,1,0,,0,,,,,,,
1196850,44169,1,0,,0,,,,,,,
1201300,45458,1,0,,0,,,,,,,
1205569,45958,1,0,,0,,,,,,,
1208388,46611,1,0,,0,,,,,,,
1208769,46701,1,0,,0,,,,,,,
1218282,47805,1,0,,0,,,,,,,
1218390,47824,1,0,,0,,,,,,,
1223717,48721,1,0,,0,,,,,,,
1227096,49324,1,0,,0,,,,,,,
1229407,49757,1,0,,0,,,,,,,
1231769,49808,1,0,,0,,,,,,,
1232068,49863,1,0,,0,,,,,,,
1232463,49869,1,0,,0,,,,,,,
1237810,49982,1,0,,0,,,,,,,
1237811,49983,1,0,,0,,,,,,,
1247665,50079,1,0,,0,,,,,,,
1249628,50113,1,0,,0,,,,,,,
1251075,50211,1,0,,0,,,,,,,
1267639,51057,1,0,,0,,,,,,,
1271351,51884,1,0,,0,,,,,,,
1273630,52283,1,0,,0,,,,,,,
1277841,53104,1,0,,0,,,,,,,
1277842,53105,1,0,,0,,,,,,,
1277843,53106,1,0,,0,,,,,,,
1277844,53107,1,0,,0,,,,,,,
1277892,53112,1,0,,0,,,,,,,
1280339,53805,1,0,,0,,,,,,,
1281649,54177,1,0,,0,,,,,,,
1282875,54503,1,0,,0,,,,,,,
1285303,54592,1,0,,0,,,,,,,
1287109,54902,1,0,,0,,,,,,,
1297492,55396,1,0,,0,,,,,,,
1297833,55532,1,0,,0,,,,,,,
1298788,55766,1,0,,0,,,,,,,
1299439,55891,1,0,,0,,,,,,,
1301820,56501,1,0,,0,,,,,,,
1310673,58191,1,0,,0,,,,,,,
1311887,58416,1,0,,0,,,,,,,
1311941,58427,1,0,,0,,,,,,,
1227395,58555,1,0,,0,,,,,,,
1257654,58586,1,0,,0,,,,,,,
1266887,58627,1,0,,0,,,,,,,
1302864,58672,1,0,,0,,,,,,,
