BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1071231,27374,27382,17272,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1076760,145602,130227,18827,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1089109,14423,14385,21336,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1116653,13710,13656,22066,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1121063,13060,13138,22870,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1119059,10750,429852,23719,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1147446,2833,20942,27685,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1123978,12282,12286,28981,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1189766,4538,4532,33766,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1157830,17404,17344,37223,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1189994,21233,21254,43505,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1309915,6081,6067,58047,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0
1005526,351,347,471,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1005076,11956,24827,1207,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1003542,11956,11954,1221,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1133034,46684,8437,1365,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1004359,13274,13311,1376,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1004836,9983,23915,1712,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1119481,396227,430002,1749,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1006685,23950,23909,2176,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1025254,12705,25132,2561,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1023258,145275,235200,3474,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1132993,278401,168318,4270,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1013186,375723,23402,4310,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1270148,1870,378268,4364,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1015390,350091,350092,4365,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1095103,390688,390689,4764,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1135976,195839,263050,5147,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1020669,9073,9027,5850,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1022790,449229,449228,6473,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1040672,22392,22423,7693,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1034849,7483,7514,8569,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1041457,6408,6372,8867,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1032790,370316,370315,9147,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1037142,23585,9300,10220,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1041827,7825,7870,11313,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1057413,14138,20530,13813,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1059836,22069,22066,14063,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1061976,21998,21995,14239,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1088120,16033,16015,14607,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1155450,18933,18959,14628,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1059849,94047,3371,14676,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1083674,26240,26239,14720,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1061408,20666,181759,15168,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1068313,384031,383573,16496,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1079891,26311,26310,17847,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1267665,10188,10180,18217,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1093244,18022,26992,19573,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1089627,14360,14339,21005,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1088661,14558,14744,21355,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1096000,390699,396060,23419,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
