BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1113152,25813,14647,27579,14,14,1,13,0.9286,0.8571,1.0,13,5,5,1.0,5102 GALLEY RD LOT 429AW,COLO SPGS,38.848916969999998,-104.737767320000003,13PV-3,-104.737767320000003,38.848916969999998,38.848958,-104.737764,4.6,False,UG5032,13PV-3,UG Transformer Bank,MCP-35,38.849399030000001,-104.738285970000007,25.000000000000000,UG5062,13PV-3,UG Transformer Bank,MCP-28,38.848412449999998,-104.738284989999997,25.000000000000000,69.9,71.8,same_feeder_ambiguous
1000727,221438,5576,59,13,13,1,12,0.9231,0.8462,1.0,12,5,5,1.0,10410 S STATE HIGHWAY 115 LOT 10,COLO SPGS,38.679539220000002,-104.850153910000003,12JL-1,-104.850153910000003,38.679539220000002,38.679576,-104.850109,5.7,False,OH42111,12JL-1,OH Transformer Bank,,38.679772180000001,-104.849514009999993,50.000000000000000,OH42111,12JL-1,OH Transformer Bank,,38.679772180000001,-104.849514009999993,50.000000000000000,61.3,61.3,same_feeder_ambiguous
1035302,286723,286724,3400,13,13,1,12,0.9231,0.8462,1.0,12,5,5,1.0,7862 WAGONWOOD PL,COLO SPGS,38.945736199999999,-104.686162139999993,12FR-31,-104.686162139999993,38.945736199999999,38.945736,-104.686162,0.0,False,,,,,,,,,,,,,,,,,unknown_feeder
1090506,1307,1332,14413,12,12,1,11,0.9167,0.8333,1.0,11,5,5,1.0,"3101 CHAMBERS WAY, CHAPEL",COLO SPGS,38.872005080000001,-104.870171859999999,13FV-1,-104.870171859999999,38.872005080000001,38.872005,-104.870172,0.0,False,OH30093,13FV-1,OH Transformer Bank,,38.871827070000002,-104.868448020000002,15.000000000000000,OH30956,13FV-1,OH Transformer Bank,,38.870916510000001,-104.869993760000000,25.000000000000000,150.5,122.0,same_feeder_ambiguous
1007408,10755,24394,940,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0,4630 DOUBLE LASSO CT,COLO SPGS,38.898245660000001,-104.715524490000007,12ST-21,-104.715524490000007,38.898245660000001,38.898214,-104.715515,3.6,False,PD13016,12ST-21,UG Transformer Bank,RSH23-12,38.898514370000001,-104.715590640000002,25.000000000000000,PD13015,12ST-21,UG Transformer Bank,RSH23-13,38.898106630000001,-104.715019929999997,25.000000000000000,30.4,46.3,same_feeder_ambiguous
1011409,6657,6551,1356,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0,"8232 N POWERS BLVD, VMS SIGN",COLO SPGS,38.949714040000003,-104.720882520000004,12BG-21,-104.720882520000004,38.949714040000003,38.950738,-104.721397,122.2,True,PD14688,12BG-21,UG Transformer Bank,RF-144,38.948923360000002,-104.721724300000005,25.000000000000000,PD11982,13BG-3,UG Transformer Bank,RF-160,38.950612010000000,-104.722990249999995,25.000000000000000,114.1,207.8,cross_feeder_likely_gis_error
1276470,93728,93727,34009,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0,"1971 LA BELLEZZA GRV, E MTR",COLO SPGS,38.947431260000002,-104.865583299999997,12OV-1,-104.865583299999997,38.947431260000002,38.947516,-104.865878,27.2,False,,,,,,,,,,,,,,,,,unknown_feeder
1300735,22426,6716,56243,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0,"2078 SILKWOOD DR, SPKG",COLO SPGS,38.947145620000001,-104.788727390000005,13CW-3,-104.788727390000005,38.947145620000001,38.946997,-104.788614,19.2,False,PD3848,13CW-3,UG Transformer Bank,RSCA-5,38.947321129999999,-104.788870669999994,25.000000000000000,PD3846,13CW-3,UG Transformer Bank,RSCA-3,38.948412310000002,-104.788728860000006,25.000000000000000,23.1,140.8,same_feeder_ambiguous
1005541,280,294,527,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,6920 HOWARD ST,GN MTN FLS,38.933861940000000,-105.016837789999997,12GM-4,-105.016837789999997,38.933861940000000,38.933987,-105.016858,14.0,False,OH49143,12GM-4,OH Transformer Bank,,38.934289399999997,-105.016960449999999,37.500000000000000,OH50070,12GM-4,OH Transformer Bank,,38.933206869999999,-105.016301159999998,25.000000000000000,48.7,86.4,same_feeder_ambiguous
1303089,5146,5165,2056,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,1311 FOREST RD,COLO SPGS,38.770643409999998,-104.771370219999994,12BY-31,-104.771370219999994,38.770643409999998,38.770643,-104.77137,0.0,False,OH18445,12BY-31,OH Transformer Bank,,38.770959030000000,-104.771417400000004,15.000000000000000,OH17655,12BY-31,OH Transformer Bank,,38.769892370000001,-104.771254990000003,25.000000000000000,35.3,84.1,same_feeder_ambiguous
1014182,384035,384036,4366,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,2255 CABERNET CT,COLO SPGS,39.005708310000003,-104.785461249999997,12FH-13,-104.785461249999997,39.005708310000003,39.005711,-104.785458,0.4,False,,,,,,,,,,,,,,,,,unknown_feeder
1096135,375313,375310,5205,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,4361 HANGING LAKE CIR,COLO SPGS,38.983248070000002,-104.744841859999994,12KC-44,-104.744841859999994,38.983248070000002,38.983244,-104.744883,3.6,False,,,,,,,,,,,,,,,,,unknown_feeder
1056582,376047,376048,7959,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,4183 PARKWOOD TRL,COLO SPGS,38.935713440000001,-104.750125890000007,13CW-1,-104.750125890000007,38.935713440000001,38.935713,-104.750125,0.1,False,,,,,,,,,,,,,,,,,unknown_feeder
1064940,22551,6965,11030,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,"7714 SCARBOROUGH DR, CV",COLO SPGS,38.944186019999997,-104.733459620000005,12BG-21,-104.733459620000005,38.944186019999997,38.944156,-104.733851,34.0,False,PD15145,12BG-21,UG Transformer Bank,RFS-21,38.944375399999998,-104.734054259999994,25.000000000000000,PD15146,13BG-3,UG Transformer Bank,RF-67,38.944112330000003,-104.733015050000006,25.000000000000000,55.6,39.3,cross_feeder_likely_gis_error
1128856,11940,11955,12906,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,5305 WHIP TRL,COLO SPGS,38.885830810000002,-104.733082850000002,13PR-3,-104.733082850000002,38.885830810000002,38.885847,-104.733085,1.8,False,PD7767,13PR-3,UG Transformer Bank,RTHS-166,38.885655409999998,-104.733623399999999,25.000000000000000,PD7768,13PR-3,UG Transformer Bank,RTHS-165,38.885492730000003,-104.732870489999996,25.000000000000000,50.7,41.8,same_feeder_ambiguous
1060487,370188,370187,12919,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,1026 NATIVE DANCER TER,COLO SPGS,39.006852090000002,-104.809973650000003,12KC-13,-104.809973650000003,39.006852090000002,39.006824,-104.809973,3.1,False,,,,,,,,,,,,,,,,,unknown_feeder
1079334,16151,16123,14750,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,4345 EARLYVIEW CT,COLO SPGS,38.819443999999997,-104.746319119999995,12PV-2,-104.746319119999995,38.819443999999997,38.819478,-104.746309,3.9,False,PD8948,12PV-2,UG Transformer Bank,RTRA-16,38.819508910000003,-104.746876529999994,25.000000000000000,PD9635,12PV-2,UG Transformer Bank,RTRA-17,38.819883410000003,-104.746176669999997,25.000000000000000,48.8,50.4,same_feeder_ambiguous
1060759,383565,383564,14989,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,"2219 SILVER CREEK DR, SPKG",COLO SPGS,39.002483490000003,-104.785287780000004,12FH-13,-104.785287780000004,39.002483490000003,39.002483,-104.785287,0.1,False,,,,,,,,,,,,,,,,,unknown_feeder
1304023,22626,7050,32605,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,7599 RED MOUNTAIN DR,COLO SPGS,38.942577290000003,-104.787855649999997,13CW-1,-104.787855649999997,38.942577290000003,38.942609,-104.787859,3.5,False,PD3276,13CW-1,UG Transformer Bank,RBGT-53,38.942217380000002,-104.787803120000007,25.000000000000000,PD3278,13CW-1,UG Transformer Bank,RBGT-50,38.943135089999998,-104.789626659999996,25.000000000000000,40.3,165.2,same_feeder_ambiguous
1145057,14487,14481,33667,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,5102 GALLEY RD LOT 236A,COLO SPGS,38.849930620000002,-104.734649200000007,13PV-3,-104.734649200000007,38.849930620000002,38.849975,-104.734647,4.9,False,UG5064,13PV-3,UG Transformer Bank,MCP-25,38.850200500000000,-104.736922460000002,25.000000000000000,UG5063,13PV-3,UG Transformer Bank,MCP-29,38.850189309999998,-104.737359530000006,25.000000000000000,199.1,236.5,same_feeder_ambiguous
1275629,23470,9007,47440,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,"6161 LEHMAN DR, PHONE EQUIP",COLO SPGS,38.919705250000000,-104.790461030000003,13CW-2,-104.790461030000003,38.919705250000000,38.919702,-104.790487,2.3,False,PD1879,13CW-2,UG Transformer Bank,CE-1,38.919679639999998,-104.790275330000000,75.000000000000000,PD1880,13CW-10,UG Transformer Bank,RE-117,38.919571439999999,-104.790664329999998,25.000000000000000,16.3,23.0,cross_feeder_likely_gis_error
1277226,79004,93724,52965,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0,1850 LA BELLEZZA GRV,COLO SPGS,38.941931580000002,-104.862854319999997,12OV-1,-104.862854319999997,38.941931580000002,38.945934,-104.862542,445.9,True,,,,,,,,,,,,,,,,,unknown_feeder
1097193,,391152,23754,6,5,0,4,0.8,0.8,1.0,5,5,5,1.0,2419 ANTICA CT,COLO SPGS,39.011486249999997,-104.782651779999995,12FH-13,-104.782651779999995,39.011486249999997,39.011495,-104.782652,1.0,False,,,,,,,,,,,,,,,,,new_assignment
1001688,327,322,568,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,6701 PARK AVE,GN MTN FLS,38.930860529999997,-105.013731730000003,12GM-4,-105.013731730000003,38.930860529999997,38.930721,-105.013613,18.6,False,OH50026,12GM-4,OH Transformer Bank,,38.930553590000002,-105.013833989999995,25.000000000000000,OH51076,12GM-4,OH Transformer Bank,,38.930694480000000,-105.011823969999995,25.000000000000000,35.3,166.0,same_feeder_ambiguous
1004441,9224,23592,1573,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,5987 MAROON MESA DR,COLO SPGS,38.916929860000003,-104.745734990000003,12AP-3,-104.745734990000003,38.916929860000003,38.916868,-104.745689,7.9,False,PD14558,12AP-3,UG Transformer Bank,RVM-53,38.917171029999999,-104.745679899999999,25.000000000000000,PD14557,12AP-3,UG Transformer Bank,RVM-50,38.916605810000000,-104.745588369999993,25.000000000000000,27.2,38.2,same_feeder_ambiguous
1025076,10149,10140,1803,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,6320 NATURITA TRL,COLO SPGS,38.904852730000002,-104.709889770000004,12ST-4,-104.709889770000004,38.904852730000002,38.904894,-104.709889,4.6,False,PD10521,12ST-4,UG Transformer Bank,RSHR-178,38.904707060000000,-104.710239090000002,25.000000000000000,PD10516,12ST-4,UG Transformer Bank,RSHR-171,38.904969410000000,-104.709291300000004,25.000000000000000,34.3,53.4,same_feeder_ambiguous
