BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1135976,195839,263050,4830,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1020669,9073,9027,5518,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1022790,449229,449228,6088,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1040672,22392,22423,7206,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1041457,6408,6372,8288,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1037994,6431,6381,8317,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1032790,370316,370315,8540,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1037142,23585,9300,9487,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1057413,14138,20530,12867,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1059836,22069,22066,13113,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1061976,21998,21995,13288,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1059849,94047,3371,13710,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1083674,26240,26239,13755,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1068313,384031,383573,15340,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1079891,26311,26310,16677,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1093244,18022,26992,18231,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1088661,14558,14744,19783,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1096000,390699,396060,21682,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1132492,391359,391357,21789,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1124384,2431,2452,22024,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1183770,280966,24453,22068,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1147446,2833,20942,25174,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1119131,425115,429851,25978,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1123083,25391,13336,26680,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1127612,21407,21400,27913,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1286232,20421,20440,27939,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1154340,17363,17409,28114,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1299023,7285,7306,28394,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1283075,7359,7373,28407,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1282871,153292,2112,28788,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1303867,6910,6890,29929,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1136190,8501,8681,30462,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1298458,21703,4923,30834,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1152942,19438,27362,32895,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1156715,84768,20436,33740,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1183710,26015,2943,37807,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1207682,12416,12485,39534,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1210400,13487,25423,41521,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1223022,11180,11192,41716,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1287212,4636,4618,42106,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1219898,18564,18543,42884,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1227480,23228,23262,44066,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1285887,9398,9369,45209,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1301538,6101,6173,46498,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1297867,7642,22847,49651,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1000970,10502,24265,260,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1001938,157,205,366,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1127600,178568,272956,684,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1011260,30683,30685,749,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1027818,8288,8252,834,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1003542,11956,11954,1130,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1004359,13274,13311,1286,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1055107,7510,7465,1712,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1010338,10837,24388,1731,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1148232,25871,25840,1935,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1014398,405742,425118,2100,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1006593,10102,10136,2131,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1014643,129261,129264,2227,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1007797,24101,24086,2268,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1012911,11732,11740,2667,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1053916,22886,7845,3455,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1097379,377867,377857,3768,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1013177,38079,68771,4001,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1013554,389921,389920,4118,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1074775,25510,13671,4815,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1027601,7929,7967,5266,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1023636,158080,158079,5505,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1227439,23252,23245,5586,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1024549,9032,23468,5592,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
