BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1202843,264643,31358,0,3361 JANITELL RD,COLO SPGS,38.784758279999998,-104.788662619999997,12BY-31,-104.788662619999997,38.784758279999998,38.785091,-104.78847,40.6,False,,,,,,,,,,,,,,,,,unknown_feeder
1000526,,1517,4,217 S WEBER ST APT 9,,38.829712430000001,-104.819504300000006,,-104.819504300000006,38.829712430000001,38.865583,-104.837926,4295.8,True,,,,,,,,OH1984,12FT-4,OH Transformer Bank,,38.866326839999999,-104.838444960000004,50.000000000000000,,4389.3,new_assignment
1012540,15373,501900,21,"231 E BIJOU ST, TRF SG",COLO SPGS,38.836514229999999,-104.819875240000002,13S-13,-104.819875240000002,38.836514229999999,38.836487,-104.819876,3.0,False,PD15762,13S-13,UG Transformer Bank,GMC-2,38.835702529999999,-104.820016640000006,1000.000000000000000,,,,,,,,91.1,,unknown_feeder
1005528,19823,19819,24,,,38.928137730000003,-105.009573059999994,12GM-4,-105.009573059999994,38.928137730000003,38.928248,-105.009773,21.2,False,OH50169,12GM-4,OH Transformer Bank,,38.927725940000002,-105.010162730000005,37.500000000000000,OH50172,12GM-4,OH Transformer Bank,,38.928544389999999,-105.009654729999994,25.000000000000000,68.5,45.8,same_feeder_ambiguous
1000561,296,285,25,"10397 S EL PASO AVE, CV",GN MTN FLS,38.933275500000001,-105.012857429999997,12GM-4,-105.012857429999997,38.933275500000001,38.932684,-105.013037,67.6,False,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,105.9,105.9,same_feeder_ambiguous
1000995,296,285,25,10400 UTE PASS AVE,GN MTN FLS,38.933060879999999,-105.012807620000004,12GM-4,-105.012807620000004,38.933060879999999,38.933127,-105.013365,48.8,False,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,129.3,129.3,same_feeder_ambiguous
1001551,296,285,25,10380 S EL PASO AVE,GN MTN FLS,38.933341190000000,-105.012398090000005,12GM-4,-105.012398090000005,38.933341190000000,38.933339,-105.012364,3.0,False,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,124.0,124.0,same_feeder_ambiguous
1001556,94692,285,25,"10370 UTE PASS AVE, ADDITION, HSEMTR",GN MTN FLS,38.932357220000000,-105.012094700000006,12GM-4,-105.012094700000006,38.932357220000000,38.932079,-105.011878,36.2,False,OH50058,12GM-4,OH Transformer Bank,,38.932283869999999,-105.013905519999994,25.000000000000000,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,156.8,227.3,same_feeder_ambiguous
1001536,296,285,25,10340 S EL PASO AVE,GN MTN FLS,38.933072410000001,-105.012026250000005,12GM-4,-105.012026250000005,38.933072410000001,38.933122,-105.012005,5.8,False,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,167.9,167.9,same_feeder_ambiguous
1001538,296,285,25,10374 S EL PASO AVE,GN MTN FLS,38.933195750000003,-105.012278030000004,12GM-4,-105.012278030000004,38.933195750000003,38.933175,-105.01224,4.0,False,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,OH50110,12GM-4,OH Transformer Bank,,38.934119760000002,-105.013424689999994,15.000000000000000,142.8,142.8,same_feeder_ambiguous
1001415,433,446,28,9340 COLUMBINE TRL,CASCADE,38.919020910000000,-104.993508700000007,12GM-4,-104.993508700000007,38.919020910000000,38.918946,-104.993554,9.2,False,OH50497,12GM-4,OH Transformer Bank,,38.919317370000002,-104.993808880000003,25.000000000000000,OH50486,12GM-4,OH Transformer Bank,,38.917876000000000,-104.994271170000005,10.000000000000000,42.0,143.4,same_feeder_ambiguous
1000564,19848,446,28,9415 UTE RD,CASCADE,38.917338540000003,-104.994939270000003,12GM-4,-104.994939270000003,38.917338540000003,38.91726,-104.995006,10.5,False,OH50484,12GM-4,OH Transformer Bank,,38.917497810000000,-104.995064490000004,15.000000000000000,OH50486,12GM-4,OH Transformer Bank,,38.917876000000000,-104.994271170000005,10.000000000000000,20.8,83.1,same_feeder_ambiguous
1000565,461,446,28,"9316 UTE RD, CV",CASCADE,38.916910710000003,-104.996623299999996,12GM-4,-104.996623299999996,38.916910710000003,38.918065,-104.994336,235.9,True,OH50480,12GM-4,OH Transformer Bank,,38.916863599999999,-104.996522010000007,15.000000000000000,OH50486,12GM-4,OH Transformer Bank,,38.917876000000000,-104.994271170000005,10.000000000000000,10.2,230.1,same_feeder_ambiguous
1000997,443,446,28,"5925 PAONA RD, GARAGE",CASCADE,38.918259810000002,-104.993409819999997,12GM-4,-104.993409819999997,38.918259810000002,38.918208,-104.993396,5.9,False,OH50647,12GM-4,OH Transformer Bank,,38.918406079999997,-104.991270310000004,15.000000000000000,OH50486,12GM-4,OH Transformer Bank,,38.917876000000000,-104.994271170000005,10.000000000000000,185.8,85.9,same_feeder_ambiguous
1001389,438,446,28,5850 IRIQUOIS TRL,CASCADE,38.918120979999998,-104.996165579999996,12GM-4,-104.996165579999996,38.918120979999998,38.918121,-104.996115,4.4,False,OH50457,12GM-4,OH Transformer Bank,,38.918488809999999,-104.996734349999997,25.000000000000000,OH50486,12GM-4,OH Transformer Bank,,38.917876000000000,-104.994271170000005,10.000000000000000,64.0,166.1,same_feeder_ambiguous
1001016,440,446,28,"5935 PAONA RD, OV GAR",CASCADE,38.918338439999999,-104.992514080000007,12GM-4,-104.992514080000007,38.918338439999999,38.918332,-104.992611,8.4,False,OH50484,12GM-4,OH Transformer Bank,,38.917497810000000,-104.995064490000004,15.000000000000000,OH50486,12GM-4,OH Transformer Bank,,38.917876000000000,-104.994271170000005,10.000000000000000,239.6,160.5,same_feeder_ambiguous
1006071,24292,10671,34,"4650 PRING RANCH RD, SPKGDM",COLO SPGS,38.899936889999999,-104.699646060000006,12ST-3,-104.699646060000006,38.899936889999999,38.899978,-104.699646,4.6,False,PD3008,12ST-3,UG Transformer Bank,RSHR-15,38.900524369999999,-104.700105789999995,25.000000000000000,PD5083,12ST-4,UG Transformer Bank,CSSP-1,38.899380729999997,-104.698408139999998,25.000000000000000,76.5,123.7,cross_feeder_likely_gis_error
1012979,13395,13414,51,"1383 PIROS DR, TRF SG",COLO SPGS,38.868131820000002,-104.707597669999998,12CL-11,-104.707597669999998,38.868131820000002,38.868241,-104.70794,32.0,False,PD7761,12CL-11,UG Transformer Bank,RCHN-82,38.868651909999997,-104.707669670000001,50.000000000000000,PD3392,13PR-4,UG Transformer Bank,RCHN-2,38.868453709999997,-104.708336579999994,25.000000000000000,58.2,73.3,cross_feeder_likely_gis_error
1000727,221438,5576,59,10410 S STATE HIGHWAY 115 LOT 10,COLO SPGS,38.679539220000002,-104.850153910000003,12JL-1,-104.850153910000003,38.679539220000002,38.679576,-104.850109,5.7,False,OH42111,12JL-1,OH Transformer Bank,,38.679772180000001,-104.849514009999993,50.000000000000000,OH42111,12JL-1,OH Transformer Bank,,38.679772180000001,-104.849514009999993,50.000000000000000,61.3,61.3,same_feeder_ambiguous
