BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1048050,1.0,2,9
1009039,0.933,5,9
1002634,0.844,5,9
1009242,0.933,5,9
1009244,0.867,5,9
1009246,0.867,5,9
1009247,0.933,5,9
1040337,1.0,6,9
1040339,1.0,6,9
1040322,1.0,6,9
1065184,1.0,6,9
1040171,1.0,6,9
1040334,1.0,6,9
1040303,1.0,6,9
1040177,0.926,3,9
1040178,0.889,3,9
1040172,0.889,3,9
1040174,0.926,3,9
1040175,,0,9
1040179,0.778,5,9
1040180,0.933,5,9
1040181,0.933,5,9
1040182,0.933,5,9
1040185,0.933,5,9
1040176,0.867,5,9
1040186,0.852,3,9
1040227,0.667,3,9
1040183,0.852,3,9
1040184,0.815,3,9
1040187,0.667,4,9
1040231,0.722,4,9
1040232,0.667,4,9
1040233,0.722,4,9
1040234,0.722,4,9
1040188,,0,9
1040209,0.528,8,9
1040210,0.889,8,9
1040218,0.889,8,9
1040189,0.819,8,9
1040190,0.889,8,9
1040195,0.889,8,9
1040196,0.889,8,9
1040202,0.819,8,9
1040208,0.722,8,9
1040211,0.648,6,9
1040212,0.926,6,9
1040213,0.926,6,9
1040214,0.926,6,9
1040197,0.926,6,9
1040198,0.926,6,9
1040199,0.833,6,9
1040200,,0,9
1155142,0.944,4,9
1002635,0.944,4,9
1164839,0.917,4,9
1164853,0.917,4,9
1164629,0.944,4,9
1040201,,0,9
1040207,,0,9
1041632,0.714,7,9
1041636,0.841,7,9
1040216,0.841,7,9
1041638,0.571,7,9
1040252,0.841,7,9
1041644,0.794,7,9
1040236,0.619,7,9
1040237,0.841,7,9
1040223,1.0,4,9
1040224,1.0,4,9
1040226,1.0,4,9
1040228,1.0,4,9
1040230,1.0,4,9
1040229,,0,9
1040241,0.556,8,9
1040242,0.556,8,9
1042343,0.75,8,9
1042291,0.639,8,9
1042292,0.653,8,9
1042294,0.542,8,9
1040235,0.75,8,9
1040238,0.75,8,9
1040240,0.75,8,9
1040239,,0,9
1040243,0.81,7,9
1040244,0.81,7,9
1040245,0.444,7,9
1040246,0.81,7,9
1042289,0.444,7,9
1042293,0.81,7,9
1042272,0.683,7,9
1042274,0.81,7,9
1040247,0.956,5,9
1040248,0.956,5,9
1040249,0.889,5,9
1040250,0.956,5,9
1046531,0.956,5,9
1046532,0.889,5,9
1041637,0.978,5,9
1040251,0.978,5,9
1040253,0.889,5,9
1040254,0.978,5,9
1059371,0.978,5,9
1059409,0.978,5,9
1000689,,0,9
1024747,1.0,7,9
1002636,1.0,7,9
1007071,1.0,7,9
1007073,1.0,7,9
1007072,1.0,7,9
1024749,1.0,7,9
1007070,1.0,7,9
1024764,1.0,7,9
1040255,1.0,5,9
1040256,1.0,5,9
1040266,1.0,5,9
1040267,1.0,5,9
1040268,1.0,5,9
1040270,1.0,5,9
1040281,1.0,5,9
1065182,1.0,5,9
1040257,1.0,5,9
1040258,1.0,5,9
1040264,1.0,5,9
1040265,1.0,5,9
1040260,1.0,3,9
1040261,1.0,3,9
1040262,1.0,3,9
1040263,1.0,3,9
1040273,0.978,5,9
1040274,0.978,5,9
1040275,0.889,5,9
1040269,0.978,5,9
1040271,0.978,5,9
1040272,0.978,5,9
1040276,1.0,5,9
1040277,1.0,5,9
1040278,1.0,5,9
1040279,1.0,5,9
1040280,1.0,5,9
1065181,1.0,5,9
1046517,0.873,7,9
1046518,0.873,7,9
1046520,0.444,7,9
1046521,0.873,7,9
1040289,0.873,7,9
1040291,0.635,7,9
1040292,0.873,7,9
1136651,0.873,7,9
1040290,,0,9
1156051,0.833,6,9
1096489,0.833,6,9
1119076,0.833,6,9
1119046,0.833,6,9
1040294,0.0,6,7
1095134,0.833,6,9
1096504,0.833,6,9
1255983,1.0,7,9
1040309,1.0,7,9
1040310,1.0,7,9
1040311,1.0,7,9
1098075,1.0,7,9
1073824,1.0,7,9
1265481,1.0,7,9
1040295,1.0,7,9
1040305,0.611,8,9
1040306,0.875,8,9
1040307,0.611,8,9
1040296,0.875,8,9
1040297,0.875,8,9
1040298,0.875,8,9
1040300,0.806,8,9
1040328,0.875,8,9
1040304,0.875,8,9
1002637,,0,9
1040301,,0,9
1040308,,0,9
1045963,1.0,4,9
1040312,1.0,4,9
1040313,1.0,4,9
1045977,1.0,4,9
1045978,1.0,4,9
1040314,1.0,6,9
1040315,1.0,6,9
1040316,1.0,6,9
1040324,1.0,6,9
1040325,1.0,6,9
1040326,1.0,6,9
1040327,1.0,6,9
1040323,,0,9
1065183,1.0,1,9
1040336,1.0,1,9
1040341,,0,9
1041119,0.889,7,9
1041120,0.889,7,9
1041121,0.825,7,9
1040347,0.825,7,9
1041122,0.889,7,9
1040349,0.889,7,9
1040350,0.889,7,9
1040348,0.444,7,9
1040353,,0,9
1040355,0.933,5,9
1040356,0.933,5,9
1040358,0.933,5,9
1065192,0.933,5,9
1040365,0.933,5,9
1040366,0.667,5,9
1006024,1.0,5,9
1024843,1.0,5,9
1002638,1.0,5,9
1024822,1.0,5,9
1024823,1.0,5,9
1024825,1.0,5,9
1043027,0.972,8,9
1040379,0.972,8,9
1043030,0.972,8,9
1040382,0.972,8,9
1040387,0.972,8,9
1040388,0.889,8,9
1040389,0.889,8,9
1040390,0.972,8,9
1040357,0.972,8,9
1061924,0.861,4,9
1040359,0.944,4,9
1040360,0.861,4,9
1040363,0.944,4,9
1040364,0.944,4,9
1040369,1.0,5,9
1040370,1.0,5,9
1058744,1.0,5,9
1040361,1.0,5,9
1043014,1.0,5,9
1040368,1.0,5,9
1040362,,0,9
1040371,0.87,6,9
1040372,0.87,6,9
1073706,0.87,6,9
1040374,0.648,6,9
1043028,0.556,6,9
1119956,0.87,6,9
1040367,0.87,6,9
1040376,,0,9
1040378,,0,9
1040380,,0,9
1040385,,0,9
1040439,0.944,6,9
1040440,0.944,6,9
1040441,0.944,6,9
1040391,0.944,6,9
1040392,0.944,6,9
1040393,0.667,6,9
1040394,0.944,6,9
1002639,,0,9
1040395,0.741,3,9
1040428,0.778,3,9
1040429,0.778,3,9
1040396,0.444,3,9
1040419,0.8,5,9
1040420,0.533,5,9
1040421,0.8,5,9
1040422,0.444,5,9
1040397,0.8,5,9
1040398,0.8,5,9
1040417,0.978,5,9
1042195,0.978,5,9
1042196,0.889,5,9
1042197,0.978,5,9
1040425,0.978,5,9
1040399,0.978,5,9
1042505,0.931,8,9
1040405,0.556,8,9
1043419,0.931,8,9
