NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10,4,4,2
1000,6,6,2
10001,9,9,2
10010,25,25,11
10032,6,6,2
10057,9,9,2
10058,14,14,5
10065,6,6,3
10072,9,9,2
10080,8,8,2
10105,9,9,3
10108,8,8,4
10109,3,3,2
10111,8,8,2
10114,9,9,2
10122,9,9,2
10123,8,8,3
10126,15,15,4
10129,13,13,6
10131,9,9,2
10133,9,9,2
10134,6,6,2
10145,9,9,3
10153,8,8,2
10155,8,8,4
10164,8,8,2
10176,9,9,3
10180,11,11,3
10187,4,4,2
10188,6,6,2
10191,8,8,2
10201,8,8,2
10209,11,11,2
10227,9,9,2
10229,3,3,2
10233,12,12,3
1028,3,3,2
10284,9,9,2
10287,7,7,2
10294,7,7,2
10300,10,10,3
1032,7,7,2
10342,6,6,2
10350,10,10,2
1036,6,6,2
1037,15,15,3
10375,12,12,5
10379,8,8,3
1038,17,17,6
10408,7,7,2
10423,6,6,4
10425,8,8,3
1043,6,6,2
10438,8,8,2
10439,9,9,2
10453,7,7,2
10455,12,12,2
10458,12,12,3
10461,7,7,2
10472,8,8,4
10486,7,7,2
10490,7,7,2
105,5,5,3
10508,7,7,2
10510,9,9,2
10517,7,7,2
10519,25,25,3
10520,7,7,2
10532,9,9,4
10536,6,6,2
10547,10,10,2
10555,9,9,3
10558,9,9,2
10572,8,8,2
10576,7,7,2
10578,9,9,2
1058,17,17,2
10586,6,6,2
10587,8,8,2
10596,8,8,2
1060,7,7,2
10608,9,9,2
10617,21,21,11
1063,7,7,2
10639,8,8,3
10645,8,8,2
10661,8,8,2
1067,7,7,2
10673,8,8,3
10692,7,7,3
10695,10,10,2
10701,8,8,3
10706,11,11,2
10709,12,12,2
10721,6,6,2
10730,7,7,2
10739,7,7,2
10757,8,8,2
10767,7,7,2
10770,11,11,3
10785,11,11,2
10799,9,9,2
10800,7,7,2
10823,13,13,3
10830,9,9,3
1084,9,9,2
10840,12,12,2
10848,8,8,2
10851,8,8,2
10856,7,7,2
10857,7,7,2
10864,7,7,2
10887,11,11,2
1089,7,7,3
10904,4,4,2
10905,6,6,2
1092,2,2,2
10924,8,8,2
10986,8,8,2
10990,8,8,2
11,8,8,3
11009,5,5,2
11010,5,5,3
11014,8,8,2
11021,4,4,2
11036,6,6,3
11037,21,21,13
