OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
1001,12,12,2
10027,2,2,2
10028,3,3,2
10049,7,7,2
10058,7,7,2
10059,7,7,2
10061,6,6,2
1008,2,2,2
10086,7,7,2
10091,7,7,2
10117,7,7,2
10132,7,7,2
10133,7,7,2
10143,10,10,2
1015,9,9,2
10156,10,10,2
10171,11,11,2
10187,7,7,2
10204,2,2,2
10216,7,7,2
10218,7,7,2
10224,8,8,2
10238,11,11,4
10243,9,9,2
10248,7,7,2
10274,12,12,3
1028,7,7,2
10281,7,7,2
10293,7,7,2
10308,18,18,4
10310,2,2,2
10311,3,3,3
10316,2,2,2
1032,7,7,2
10336,6,6,2
10341,10,10,2
10343,10,10,2
10359,10,10,2
10365,8,8,2
10368,5,5,2
10377,21,21,3
10381,7,7,2
10422,8,8,2
10438,10,10,2
10443,8,8,3
10447,3,3,2
10450,2,2,2
10455,11,11,2
10456,2,2,2
10470,8,8,2
10514,7,7,2
10523,13,13,2
10541,8,8,2
10546,8,8,2
10556,9,9,3
10580,7,7,2
10591,10,10,3
10601,8,8,2
10615,8,8,3
10632,7,7,2
10635,8,8,2
10638,7,7,2
1064,7,7,3
10641,2,2,2
10643,8,8,2
1065,7,7,2
10654,6,6,2
10678,8,8,2
10679,9,9,2
10689,3,3,2
1069,7,7,2
10692,9,9,3
10709,13,13,2
10723,12,12,2
10725,14,14,2
10727,8,8,2
10743,7,7,2
10747,7,7,2
10749,8,8,2
10760,10,10,2
10762,8,8,2
10780,2,2,2
10781,9,9,2
10789,7,7,2
10790,9,9,2
10798,7,7,2
10815,7,7,2
10823,13,13,2
10824,9,9,2
10827,9,9,2
10828,7,7,2
10830,7,7,2
10839,14,14,2
10849,8,8,2
10861,6,6,2
10865,10,10,2
10866,13,13,3
10868,8,8,2
10874,11,11,2
10877,13,13,2
10883,10,10,2
10886,8,8,3
1089,10,10,2
10891,10,10,4
10895,11,11,2
10899,13,13,3
1091,7,7,2
10915,9,9,2
10934,6,6,2
10936,11,11,4
10941,2,2,2
10942,9,9,2
10950,13,13,2
10952,7,7,2
10958,8,8,2
10959,13,13,3
10967,11,11,2
10968,6,6,2
10971,8,8,2
10977,16,16,2
10980,7,7,3
10982,6,6,2
10994,10,10,2
11004,14,14,3
11006,5,5,2
11012,10,10,4
11022,8,8,3
11025,8,8,3
11027,7,7,2
11031,10,10,2
11043,7,7,2
11059,8,8,2
1106,8,8,2
11060,10,10,3
1108,3,3,2
11082,10,10,3
11085,2,2,2
11112,8,8,3
11116,15,15,2
11125,8,8,2
11133,2,2,2
11136,8,8,2
1114,9,9,2
11152,7,7,2
11164,3,3,3
11165,4,4,2
11166,2,2,2
11168,3,3,2
11173,8,8,2
11177,8,8,4
11183,8,8,2
11187,10,10,3
1119,9,9,2
1120,6,6,2
11210,7,7,2
11211,7,7,2
11269,10,10,2
11289,8,8,3
11298,2,2,2
11301,7,7,2
11302,11,11,2
11304,11,11,2
11307,8,8,2
11313,8,8,2
11334,15,15,2
11391,13,13,2
11393,8,8,2
11402,7,7,2
11418,9,9,2
11432,7,7,2
11439,6,6,2
11443,8,8,2
11446,9,9,2
1145,9,9,2
11459,7,7,2
1146,13,13,3
11483,2,2,2
11488,2,2,2
1149,7,7,2
1150,7,7,2
11514,11,11,3
11515,8,8,3
11517,7,7,2
11518,7,7,2
11525,9,9,2
11528,7,7,2
11536,10,10,2
11540,12,12,2
11542,11,11,2
11549,7,7,2
11564,6,6,2
11568,2,2,2
11578,8,8,2
11579,11,11,2
11594,7,7,2
11603,7,7,2
11610,7,7,2
11612,8,8,3
11618,7,7,2
11619,8,8,2
11637,6,6,2
11640,7,7,2
11643,10,10,2
11662,9,9,2
11669,9,9,2
11672,9,9,2
1169,9,9,2
11690,9,9,2
11706,9,9,3
11720,9,9,2
11725,2,2,2
11756,6,6,2
11775,8,8,2
11776,8,8,2
1180,6,6,2
11807,7,7,2
1186,27,27,4
11861,10,10,2
11864,8,8,2
11865,8,8,2
11867,10,10,2
11873,7,7,2
11874,7,7,2
11878,10,10,2
1188,9,9,2
11884,19,19,3
11885,19,19,3
11905,6,6,2
11907,2,2,2
11910,9,9,2
1192,7,7,2
1194,17,17,2
1195,7,7,2
11963,8,8,2
11974,9,9,3
11984,8,8,2
11985,7,7,2
12011,7,7,2
12018,7,7,2
12020,7,7,2
12028,9,9,2
12060,7,7,2
12071,8,8,2
12079,10,10,3
12082,9,9,2
12084,7,7,2
12095,10,10,4
12104,8,8,2
12112,10,10,3
12115,15,15,3
12125,9,9,2
12127,10,10,2
12128,8,8,2
12135,14,14,2
12152,10,10,5
12175,6,6,3
12184,8,8,3
12215,14,14,2
12216,9,9,2
12250,9,9,2
12253,9,9,2
12265,12,12,2
12269,7,7,2
12273,3,3,2
12275,9,9,3
12281,11,11,3
12298,7,7,2
12322,7,7,2
12328,14,14,3
12332,10,10,2
12389,2,2,2
12397,8,8,3
12417,7,7,2
12420,12,12,2
12443,7,7,2
12456,6,6,2
12469,10,10,2
12480,2,2,2
12491,15,15,3
12492,8,8,2
12520,8,8,3
12531,2,2,2
12533,8,8,2
12536,13,13,2
12556,9,9,2
12580,12,12,3
12585,9,9,2
12590,12,12,2
12592,8,8,2
12614,10,10,2
12618,9,9,2
12623,2,2,2
12626,10,10,3
12632,2,2,2
12637,9,9,2
12648,7,7,2
1266,8,8,2
12686,9,9,2
12701,7,7,3
1272,8,8,2
12725,14,14,2
12745,13,13,2
12763,9,9,2
12799,8,8,3
1280,7,7,2
12824,14,14,3
12844,2,2,2
12904,8,8,2
1291,17,17,2
12920,15,15,3
12935,10,10,2
1298,10,10,2
1302,7,7,2
13043,11,11,2
13058,5,5,2
13080,22,22,3
13086,17,17,2
13102,46,46,2
13124,11,11,2
13127,8,8,2
13134,12,12,2
13141,12,12,2
13160,8,8,2
13161,3,3,3
13164,2,2,2
13165,8,8,2
13166,12,12,2
13167,7,7,2
13168,3,3,3
13174,3,3,2
13175,2,2,2
13177,4,4,3
13178,2,2,2
13181,3,3,2
13183,2,2,2
13188,11,11,2
13189,9,9,2
13191,7,7,2
13197,8,8,3
13223,7,7,2
1323,11,11,2
13230,8,8,2
13255,3,3,2
1326,8,8,2
13276,8,8,2
13286,11,11,2
13289,3,3,2
1330,7,7,2
13303,2,2,2
13313,8,8,2
13325,3,3,3
13327,8,8,2
13337,4,4,3
13339,6,6,4
13340,2,2,2
13347,3,3,2
13348,2,2,2
13349,2,2,2
13350,2,2,2
13351,7,7,3
13364,10,10,2
13370,9,9,2
1338,8,8,2
13386,8,8,3
13413,7,7,2
1343,7,7,2
1344,9,9,2
13455,7,7,2
1349,7,7,2
13504,7,7,2
13513,8,8,3
13544,7,7,2
13547,10,10,2
13573,8,8,2
13579,7,7,2
13600,10,10,2
13607,9,9,2
13612,10,10,2
13617,9,9,3
13666,14,14,2
13668,11,11,2
13673,8,8,2
1368,13,13,4
13687,11,11,3
13695,13,13,2
13704,9,9,2
1373,7,7,2
13735,9,9,3
1376,8,8,2
13767,9,9,2
13776,10,10,2
13777,10,10,2
13785,8,8,3
13790,9,9,2
13795,9,9,2
13815,8,8,2
1383,9,9,2
13846,10,10,2
13850,8,8,2
13853,7,7,2
13871,10,10,2
1391,7,7,2
13911,8,8,2
13928,9,9,2
13941,2,2,2
13942,2,2,2
14003,7,7,2
14031,11,11,4
14036,16,16,2
14037,7,7,2
1405,11,11,2
14057,9,9,2
14067,9,9,3
14098,8,8,2
1410,11,11,2
14109,10,10,2
14110,10,10,2
14112,7,7,2
14126,7,7,2
14134,10,10,2
14137,8,8,2
14138,7,7,2
14139,8,8,2
14141,7,7,2
14142,8,8,2
14146,10,10,3
14154,8,8,2
14168,7,7,2
14169,9,9,2
14175,11,11,2
14182,6,6,2
14188,11,11,2
1420,8,8,2
14216,7,7,2
1422,8,8,2
14236,12,12,3
1424,2,2,2
14241,4,4,2
14245,3,3,2
14246,11,11,2
14249,8,8,3
1425,9,9,3
14257,10,10,3
14258,13,13,2
14266,7,7,2
14267,7,7,2
14272,8,8,2
1428,12,12,3
14299,7,7,2
1431,7,7,2
14319,11,11,2
1432,7,7,2
14328,9,9,2
14329,3,3,2
14343,14,14,3
1435,20,20,2
14351,12,12,2
14372,12,12,2
14375,14,14,2
14378,8,8,2
14395,5,5,2
14418,14,14,2
14419,7,7,2
14424,9,9,2
14425,11,11,2
14430,9,9,4
1444,2,2,2
14447,16,16,3
14448,13,13,2
1445,4,4,2
14451,9,9,2
1446,2,2,2
14464,4,4,2
14471,7,7,2
14487,12,12,2
14506,15,15,2
14509,7,7,2
1452,4,4,2
14525,16,16,3
14531,12,12,4
14533,12,12,2
14560,16,16,3
14562,12,12,2
14563,12,12,2
14575,8,8,2
14586,8,8,2
14588,7,7,2
14593,7,7,2
14607,8,8,2
14609,7,7,2
14626,9,9,2
14628,8,8,2
14635,10,10,2
14675,9,9,2
14683,12,12,2
14699,7,7,2
14708,7,7,2
14711,10,10,2
14712,10,10,2
14731,12,12,2
14748,9,9,2
14753,10,10,2
1476,8,8,2
14764,7,7,2
14768,8,8,3
14772,7,7,3
14773,7,7,2
14776,7,7,2
14777,8,8,5
14782,11,11,5
14786,9,9,2
14793,6,6,2
14801,8,8,2
14806,7,7,2
14809,7,7,2
14816,7,7,2
14818,11,11,3
14821,3,3,2
14822,13,13,2
14824,8,8,2
14825,7,7,2
14830,7,7,2
14846,15,15,4
14854,10,10,2
14856,9,9,4
14858,10,10,2
14859,8,8,2
14861,4,4,2
14866,8,8,2
14876,8,8,2
14881,8,8,2
14884,3,3,2
14886,3,3,2
1489,10,10,3
14891,7,7,2
14892,15,15,2
14899,3,3,2
14910,13,13,2
14911,4,4,2
14912,5,5,2
14913,3,3,2
14914,4,4,2
14915,7,7,2
14921,2,2,2
14928,3,3,2
1493,7,7,2
14937,2,2,2
14946,12,12,2
14947,2,2,2
14959,13,13,2
14960,2,2,2
14979,9,9,2
14987,8,8,2
14992,7,7,2
1501,9,9,2
1502,5,5,2
15026,11,11,4
15050,8,8,2
15052,5,5,2
15056,3,3,2
15063,7,7,2
15078,7,7,3
15095,8,8,2
15096,10,10,2
15104,2,2,2
15121,7,7,2
15122,8,8,2
15130,17,17,2
15137,6,6,2
15141,2,2,2
15146,7,7,2
15148,8,8,2
15159,8,8,2
15182,9,9,2
1519,10,10,3
15213,7,7,2
15243,24,24,7
15244,7,7,2
15246,21,21,5
15251,10,10,2
15252,12,12,2
1526,6,6,3
15268,11,11,2
15280,2,2,2
15283,10,10,2
15301,2,2,2
15315,2,2,2
15316,3,3,2
15317,3,3,2
15352,13,13,5
15376,2,2,2
15382,9,9,2
15387,7,7,3
15401,5,5,2
15403,2,2,2
15406,9,9,2
15410,2,2,2
15414,10,10,4
15420,11,11,3
15425,2,2,2
15426,18,18,2
15432,17,17,2
15434,11,11,3
15436,2,2,2
15437,2,2,2
15438,14,14,2
1544,2,2,2
15443,8,8,2
15448,11,11,3
15464,9,9,3
15467,7,7,2
15478,7,7,2
15485,7,7,2
15497,9,9,3
15498,7,7,2
15499,16,16,2
1550,8,8,2
15505,7,7,3
15510,9,9,3
15513,9,9,2
15516,12,12,2
15517,13,13,4
15531,7,7,2
15538,10,10,3
15549,5,5,2
15550,3,3,2
15551,3,3,2
15554,6,6,3
15557,6,6,2
15559,2,2,2
15568,8,8,2
15576,2,2,2
15601,8,8,2
15606,9,9,2
1561,7,7,2
15617,3,3,2
15624,22,22,4
15629,7,7,2
15631,10,10,4
15637,6,6,2
15638,3,3,2
1564,7,7,2
15640,2,2,2
15641,2,2,2
15642,2,2,2
15646,10,10,2
15648,4,4,2
15649,9,9,3
15652,7,7,2
15653,19,19,3
15657,6,6,2
15658,2,2,2
1566,7,7,2
15664,3,3,2
15683,8,8,2
15697,15,15,2
15705,9,9,2
1572,9,9,3
15728,6,6,2
15730,2,2,2
15734,3,3,2
15737,3,3,3
15738,6,6,3
15739,3,3,2
15740,2,2,2
15774,7,7,2
15808,2,2,2
15812,3,3,2
15818,3,3,2
15821,9,9,2
15833,9,9,2
15835,7,7,2
1585,7,7,2
15854,8,8,2
15856,10,10,2
15864,2,2,2
1587,8,8,2
15870,10,10,2
15876,9,9,2
15887,7,7,2
15905,9,9,2
15914,9,9,2
15921,19,19,4
15959,8,8,2
15964,3,3,2
15981,7,7,3
15989,8,8,3
15998,15,15,2
16002,2,2,2
16018,7,7,3
16027,8,8,2
16045,7,7,2
1606,7,7,2
16065,7,7,2
16071,12,12,2
1608,9,9,3
16088,25,25,5
16094,6,6,2
1610,9,9,2
1613,7,7,2
16137,11,11,2
16182,7,7,2
16194,17,17,3
16250,8,8,2
16256,7,7,2
16258,9,9,2
16278,7,7,4
16279,12,12,3
16280,11,11,2
16281,12,12,2
16285,3,3,2
16297,8,8,2
16335,7,7,2
16340,12,12,3
16345,12,12,2
16348,11,11,2
16349,9,9,2
1637,10,10,2
1638,7,7,2
16394,10,10,2
16401,7,7,2
16404,11,11,2
16415,13,13,3
16419,8,8,2
16475,8,8,2
1650,13,13,2
1651,3,3,2
16511,7,7,2
16515,8,8,2
1652,2,2,2
16520,7,7,2
16521,8,8,2
1653,8,8,2
16566,7,7,2
16576,8,8,2
1660,7,7,2
16617,7,7,2
1663,7,7,2
16640,7,7,2
16644,7,7,2
1665,7,7,2
16691,7,7,2
16697,10,10,3
16709,7,7,2
16712,9,9,2
16718,7,7,2
16724,8,8,3
16726,28,28,3
16728,11,11,2
16733,8,8,3
16744,7,7,2
16746,7,7,2
1675,8,8,2
16752,12,12,2
16767,7,7,2
16779,7,7,2
16780,9,9,2
16788,12,12,2
16804,13,13,2
16827,8,8,2
16849,13,13,2
16864,11,11,2
16872,7,7,2
1689,13,13,2
16893,16,16,3
16908,11,11,2
16920,10,10,2
1693,8,8,2
1696,6,6,2
16961,9,9,2
16968,9,9,2
16975,9,9,3
16988,11,11,2
16990,10,10,2
16994,6,6,2
17004,2,2,2
17007,8,8,2
1701,10,10,3
17013,11,11,3
1703,10,10,2
17042,8,8,2
17052,12,12,2
1706,10,10,3
17061,13,13,3
17104,11,11,3
17110,6,6,2
17116,16,16,2
1713,8,8,2
17137,16,16,2
17143,7,7,2
17149,8,8,2
17153,6,6,2
1717,8,8,2
17189,6,6,2
17190,9,9,2
17191,11,11,2
17202,3,3,2
17213,7,7,2
1723,12,12,2
17236,9,9,2
1724,10,10,2
17256,11,11,2
17276,7,7,2
17290,7,7,2
17293,10,10,3
17295,7,7,2
17298,3,3,2
17313,9,9,2
1733,7,7,2
17340,9,9,2
17348,7,7,2
17350,7,7,2
17364,7,7,2
17365,7,7,2
1738,8,8,2
17398,8,8,3
17402,8,8,2
17414,11,11,2
1744,10,10,2
17482,2,2,2
17495,15,15,2
17508,11,11,2
17509,15,15,2
17531,3,3,3
17543,10,10,2
17553,13,13,2
17569,7,7,2
17570,18,18,4
17571,6,6,2
17573,13,13,2
17574,15,15,2
1759,9,9,2
17591,20,20,4
17592,7,7,3
176,7,7,3
17633,12,12,2
17634,5,5,2
17639,11,11,2
17651,9,9,2
17652,8,8,2
17659,9,9,2
17665,15,15,3
17668,14,14,2
17689,14,14,2
17694,15,15,2
17698,20,20,3
1770,3,3,2
17702,18,18,2
17708,5,5,2
17712,8,8,2
17715,13,13,2
17721,9,9,3
17728,16,16,2
17730,13,13,2
17735,7,7,2
17743,13,13,2
17744,22,22,4
17745,16,16,2
17747,13,13,3
17752,16,16,2
17757,20,20,2
17764,2,2,2
17774,15,15,3
17777,14,14,2
17781,10,10,2
17793,14,14,3
17798,20,20,3
17804,23,23,4
17855,8,8,2
1788,8,8,2
179,7,7,2
17906,8,8,2
17908,10,10,3
1791,2,2,2
17914,11,11,2
17957,6,6,2
17966,12,12,2
17974,8,8,2
180,7,7,2
18013,4,4,3
18032,14,14,3
18039,8,8,2
1806,6,6,2
18074,9,9,2
18090,8,8,2
18102,18,18,2
18198,25,25,3
18235,17,17,3
18247,14,14,2
18264,12,12,2
18272,2,2,2
18277,8,8,2
1830,6,6,2
18304,8,8,2
18307,4,4,2
18318,9,9,2
18356,8,8,3
18364,19,19,2
18386,6,6,2
18390,7,7,2
18430,7,7,2
18431,7,7,2
18459,8,8,2
18464,7,7,2
18468,7,7,2
18474,8,8,2
18503,11,11,2
18507,10,10,2
18511,9,9,2
18518,7,7,2
18526,16,16,2
18535,6,6,2
18560,7,7,2
18566,8,8,2
18572,11,11,3
18592,11,11,2
18593,8,8,2
18604,13,13,2
18651,10,10,3
18659,6,6,2
18684,7,7,2
18689,9,9,2
18711,10,10,3
18720,10,10,2
18722,8,8,2
18727,4,4,2
18728,9,9,2
18731,11,11,2
18736,10,10,2
1874,6,6,2
18755,10,10,2
18757,10,10,2
18758,6,6,2
18771,8,8,2
18780,10,10,2
18783,8,8,2
18798,16,16,2
1880,2,2,2
18845,13,13,2
18860,13,13,3
1890,7,7,2
18919,8,8,2
18973,10,10,2
18974,6,6,2
1898,7,7,2
18990,10,10,2
1900,7,7,2
19027,7,7,2
19040,8,8,2
19041,10,10,2
19047,6,6,2
19066,2,2,2
19069,10,10,2
19094,7,7,2
19106,7,7,2
19110,7,7,2
19117,7,7,2
19132,9,9,2
19138,8,8,2
19141,7,7,2
19148,9,9,2
19169,9,9,2
19172,9,9,2
19175,10,10,2
19185,12,12,3
19189,7,7,2
1919,9,9,3
19191,9,9,2
19196,15,15,3
19232,7,7,2
19258,8,8,2
19265,8,8,2
19272,7,7,3
19314,7,7,2
19327,3,3,2
19343,22,22,3
19346,2,2,2
19389,9,9,2
19394,20,20,3
19423,2,2,2
19445,8,8,2
19477,3,3,2
19484,2,2,2
19510,7,7,3
19512,10,10,4
19538,9,9,2
19539,16,16,2
19566,3,3,2
19567,10,10,2
19569,3,3,2
19581,8,8,2
19584,7,7,2
19597,9,9,2
19601,9,9,2
1961,12,12,3
19615,3,3,2
19625,6,6,2
1963,7,7,2
19640,3,3,2
19653,6,6,2
19655,4,4,2
19660,8,8,2
19678,7,7,2
19684,7,7,2
19703,7,7,2
19704,7,7,2
1971,9,9,2
19710,8,8,2
19711,6,6,2
19721,4,4,2
1973,7,7,2
19737,13,13,4
1974,9,9,2
19741,8,8,3
19746,12,12,3
19747,8,8,2
19748,7,7,2
19762,6,6,2
19774,7,7,2
19784,10,10,2
19786,7,7,2
19805,2,2,2
19806,8,8,2
19811,2,2,2
19827,9,9,2
1983,3,3,2
19833,12,12,3
19835,4,4,2
19836,2,2,2
19837,12,12,2
19842,3,3,2
19843,10,10,2
19844,13,13,3
19853,10,10,2
19865,3,3,2
19867,9,9,2
19888,3,3,3
19911,12,12,2
19917,16,16,2
19918,10,10,3
1995,10,10,3
19951,12,12,2
19954,7,7,2
19964,8,8,2
19975,26,26,4
19979,13,13,2
19996,10,10,3
19997,8,8,2
20010,6,6,2
20017,15,15,2
20021,15,15,2
20035,2,2,2
20037,7,7,2
20048,6,6,2
2005,9,9,2
20060,10,10,2
20064,12,12,2
20068,7,7,2
20077,25,25,3
20088,9,9,2
2009,8,8,2
20094,7,7,2
20103,11,11,2
20113,7,7,2
20119,10,10,2
2012,3,3,2
20122,7,7,2
2013,7,7,3
20140,3,3,2
20162,12,12,2
20172,6,6,2
2019,11,11,2
20204,13,13,2
20213,11,11,3
20230,13,13,2
20253,13,13,2
2026,8,8,2
20267,22,22,6
20275,7,7,2
20280,8,8,3
20288,15,15,2
20298,9,9,3
20317,11,11,2
20318,12,12,2
2033,8,8,4
20330,16,16,3
2035,2,2,2
20366,9,9,2
20376,8,8,4
20381,7,7,2
20382,7,7,2
2042,2,2,2
20422,10,10,2
20427,6,6,3
20438,2,2,2
20457,13,13,2
20460,6,6,2
20464,7,7,2
20468,7,7,2
20473,8,8,3
20475,7,7,2
20483,7,7,2
20489,9,9,2
205,9,9,2
20503,12,12,3
20524,6,6,2
20536,7,7,2
2054,11,11,2
20540,8,8,2
20543,6,6,2
20549,8,8,3
20552,8,8,2
20564,8,8,2
20580,4,4,2
2059,7,7,3
20598,8,8,2
20638,10,10,2
20648,5,5,2
20658,4,4,2
20665,15,15,3
20668,7,7,2
20669,2,2,2
20672,6,6,2
20674,12,12,2
20688,7,7,2
20689,7,7,2
20692,6,6,2
20698,9,9,2
20700,10,10,2
20722,7,7,2
20730,5,5,2
20742,6,6,2
20770,7,7,2
20774,2,2,2
20775,6,6,3
20777,2,2,2
2078,12,12,3
20788,8,8,3
20789,6,6,2
2079,15,15,2
20795,6,6,2
208,10,10,2
20808,8,8,2
20812,8,8,3
20819,6,6,3
20822,12,12,2
20837,7,7,2
2084,7,7,2
20850,7,7,2
2086,7,7,2
20861,10,10,2
2088,9,9,2
20901,7,7,2
20909,7,7,2
2092,6,6,2
20923,7,7,2
20928,6,6,2
20947,7,7,2
20957,11,11,2
20972,7,7,2
20989,7,7,2
21000,7,7,2
21003,7,7,2
21021,7,7,2
21024,11,11,3
21027,13,13,3
21032,7,7,2
21083,8,8,2
21101,34,34,10
21107,8,8,2
21159,9,9,2
21163,3,3,2
21176,2,2,2
21182,7,7,2
21184,11,11,2
21201,10,10,2
21202,9,9,2
21216,9,9,3
21242,8,8,2
21254,8,8,2
21256,9,9,2
21268,15,15,2
21273,7,7,3
21295,10,10,4
21305,7,7,2
21308,7,7,2
21324,7,7,2
21326,7,7,2
21328,7,7,2
21346,7,7,2
21347,7,7,2
21348,6,6,2
21374,8,8,2
21376,9,9,2
21385,7,7,2
21402,14,14,2
21408,2,2,2
21410,7,7,3
21438,40,40,4
21444,7,7,2
21457,10,10,2
21461,6,6,2
21464,8,8,3
21499,7,7,2
21508,8,8,2
21512,13,13,4
21521,7,7,2
21526,8,8,3
21539,7,7,2
21541,3,3,2
21542,2,2,2
21543,7,7,4
2158,7,7,2
21604,8,8,3
21608,7,7,2
21612,8,8,2
21619,9,9,2
21643,7,7,2
21650,6,6,2
21659,7,7,2
21704,7,7,2
21735,6,6,2
21756,18,18,3
21760,11,11,2
21772,7,7,2
21778,9,9,3
21780,11,11,2
21853,8,8,2
21863,7,7,2
21868,7,7,2
21871,7,7,2
21873,9,9,2
21874,7,7,2
21883,19,19,5
21899,27,27,4
21956,5,5,2
2196,9,9,2
21961,5,5,2
21994,8,8,2
22015,9,9,2
22020,10,10,2
22021,10,10,2
22023,17,17,2
22025,11,11,2
22026,7,7,2
22029,10,10,3
22039,9,9,2
22040,8,8,2
22044,10,10,4
22050,7,7,2
22051,6,6,2
22057,9,9,3
22073,7,7,2
22081,6,6,2
22082,15,15,2
22089,8,8,3
22109,7,7,2
22124,5,5,2
22126,11,11,2
2214,3,3,2
2215,2,2,2
22191,23,23,3
2220,2,2,2
22208,10,10,2
22209,20,20,3
22228,17,17,2
22241,8,8,2
22244,8,8,2
2225,13,13,2
22252,9,9,3
22254,3,3,2
22274,9,9,2
22299,9,9,2
2232,4,4,2
22340,2,2,2
22343,7,7,2
22347,4,4,2
22349,7,7,2
22354,2,2,2
22361,3,3,2
22374,6,6,2
2239,8,8,2
22400,9,9,3
22414,8,8,3
22415,7,7,2
22434,13,13,2
22449,19,19,2
2245,3,3,2
22458,10,10,3
22461,29,29,3
22467,12,12,2
22490,15,15,2
225,19,19,3
22512,2,2,2
22537,13,13,2
22563,2,2,2
22565,2,2,2
22572,6,6,2
22580,24,24,7
22581,10,10,3
22614,8,8,2
22630,4,4,2
22632,5,5,2
22639,7,7,2
2264,2,2,2
22640,3,3,2
22647,5,5,2
22662,7,7,2
22663,7,7,2
22668,7,7,2
22672,7,7,2
22684,6,6,2
22685,12,12,2
22690,12,12,2
22703,7,7,2
22710,11,11,2
22737,2,2,2
22739,8,8,2
2275,2,2,2
22750,7,7,2
22751,3,3,2
22752,2,2,2
22757,7,7,2
22761,2,2,2
22762,4,4,2
22763,9,9,4
22764,2,2,2
22800,10,10,2
22816,2,2,2
22817,3,3,2
22818,8,8,3
22829,12,12,2
22842,9,9,3
22849,7,7,2
2286,10,10,2
2287,6,6,2
22870,9,9,2
22889,8,8,2
22901,7,7,2
22947,6,6,2
22952,10,10,2
22953,7,7,2
22966,2,2,2
22967,7,7,4
22973,6,6,3
22995,8,8,2
23002,10,10,2
23022,8,8,3
23023,8,8,2
23028,8,8,3
23030,7,7,2
23044,7,7,2
23076,7,7,2
23079,7,7,2
2308,10,10,2
23091,6,6,2
23114,5,5,3
23119,2,2,2
23120,4,4,2
23122,2,2,2
23136,2,2,2
23179,10,10,2
23183,7,7,2
23192,7,7,2
2320,20,20,3
23213,8,8,2
23241,12,12,2
23269,7,7,2
2328,8,8,2
23288,2,2,2
23301,2,2,2
23310,7,7,2
23315,8,8,2
23328,2,2,2
23332,9,9,3
23333,8,8,2
23341,7,7,2
23342,7,7,2
23344,8,8,2
23346,7,7,2
23347,8,8,3
23355,7,7,2
23356,7,7,2
23362,9,9,3
23373,11,11,2
23386,12,12,2
23388,7,7,2
23391,7,7,2
23398,10,10,2
23399,10,10,2
