NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10032,3,3,2
10037,2,2,2
10039,10,10,2
10063,7,7,2
10091,7,7,2
10092,8,8,2
10114,3,3,2
10117,7,7,2
10136,3,3,3
10143,10,10,2
10147,13,13,2
10171,11,11,2
10174,4,4,2
10191,7,7,2
10204,2,2,2
10216,7,7,2
10222,6,6,2
10225,8,8,2
10228,7,7,2
10238,11,11,2
10248,7,7,2
10249,9,9,2
1025,7,7,2
10270,7,7,2
10274,12,12,4
10280,8,8,2
10281,7,7,2
10291,13,13,4
10305,9,9,2
10306,7,7,2
10308,18,18,5
10310,2,2,2
10316,2,2,2
10317,6,6,2
10323,2,2,2
10341,10,10,2
10343,10,10,2
10353,8,8,2
10377,21,21,5
10392,8,8,2
10431,8,8,2
10438,10,10,2
10443,8,8,2
10447,3,3,2
10450,2,2,2
10453,3,3,3
10455,11,11,3
10467,7,7,2
10470,8,8,2
10474,5,5,2
10503,7,7,2
10513,8,8,2
10541,8,8,2
10546,8,8,3
10556,9,9,3
10561,8,8,2
10564,3,3,2
10565,2,2,2
10568,2,2,2
10572,7,7,2
10576,9,9,2
10580,7,7,2
10587,8,8,2
10592,8,8,2
10601,8,8,2
10628,8,8,3
10640,2,2,2
10641,2,2,2
10655,2,2,2
1067,7,7,2
10676,7,7,2
10678,8,8,2
10681,8,8,2
10685,10,10,2
10686,11,11,2
10688,8,8,2
10689,3,3,3
1069,7,7,2
10693,10,10,2
10713,6,6,2
10723,12,12,4
10725,14,14,2
10727,8,8,2
10728,8,8,2
10729,10,10,3
10742,10,10,2
10747,7,7,2
10752,10,10,2
10764,7,7,2
10768,9,9,2
10773,8,8,2
10776,7,7,2
10777,2,2,2
10780,2,2,2
10789,7,7,2
10815,7,7,2
10819,9,9,2
10820,6,6,2
10827,9,9,3
10832,7,7,2
10835,8,8,2
10836,2,2,2
10839,14,14,2
10843,3,3,3
10844,3,3,2
10849,8,8,2
10864,11,11,2
10865,10,10,3
10874,11,11,2
10877,13,13,2
10880,8,8,2
10883,10,10,3
10885,8,8,2
10886,8,8,4
1089,10,10,2
10891,10,10,3
10895,11,11,2
10899,13,13,2
10902,6,6,2
10909,7,7,2
10929,7,7,2
10936,11,11,4
10942,9,9,4
1095,8,8,2
10955,12,12,3
10959,13,13,4
10960,8,8,3
10967,11,11,3
10968,6,6,3
10971,8,8,2
10977,16,16,4
10994,10,10,2
11004,14,14,4
11011,8,8,2
11012,10,10,3
11015,9,9,2
11017,2,2,2
11018,8,8,2
1102,9,9,2
11022,8,8,2
11024,7,7,2
11025,8,8,2
11031,10,10,2
11045,11,11,2
11068,7,7,2
11069,8,8,2
11074,8,8,2
11082,10,10,2
11085,2,2,2
11097,9,9,2
11101,10,10,2
11116,15,15,2
11125,8,8,2
11134,8,8,2
11145,2,2,2
11150,8,8,2
11161,3,3,2
11164,3,3,3
11166,2,2,2
11168,3,3,3
11173,8,8,3
11177,8,8,3
11183,8,8,2
11187,10,10,3
11188,8,8,2
11206,4,4,2
11210,7,7,3
11211,7,7,2
11217,6,6,4
11229,7,7,2
11268,8,8,3
11269,10,10,2
11287,8,8,2
11289,8,8,2
11317,2,2,2
11334,15,15,2
1134,2,2,2
11365,8,8,2
1137,7,7,2
1138,2,2,2
11386,8,8,2
11391,13,13,5
11393,8,8,2
11418,9,9,2
11421,5,5,3
11425,9,9,2
11427,7,7,2
11433,2,2,2
11434,6,6,2
11442,4,4,3
11448,7,7,2
11459,7,7,2
11472,9,9,2
11475,8,8,2
11480,8,8,2
11482,5,5,2
11483,2,2,2
11492,2,2,2
11495,6,6,2
1150,7,7,2
11503,10,10,2
11504,8,8,2
11515,8,8,2
11520,9,9,3
11525,9,9,2
11528,7,7,2
11542,11,11,2
11543,6,6,2
11553,9,9,2
