NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
15833,9,9,2
15836,10,10,3
15842,8,8,4
15873,6,6,4
15880,4,4,2
15961,4,4,2
16018,9,9,3
1607,9,9,3
16109,5,5,2
16119,7,7,3
16174,9,9,6
16230,8,8,3
16237,7,7,2
16252,7,7,2
16259,8,8,3
16260,7,7,3
16275,6,6,2
16301,6,6,2
16380,6,6,3
16386,6,6,4
16398,6,6,2
16404,7,7,2
16426,10,10,3
16476,6,6,4
16477,2,2,2
16479,7,7,3
165,5,5,2
16541,3,3,2
16542,6,6,2
16556,3,3,2
16578,6,6,2
16579,12,12,2
166,2,2,2
16603,5,5,2
16613,5,5,2
16614,7,7,2
1663,10,10,2
16643,5,5,2
16664,4,4,2
16670,6,6,2
167,10,10,3
16710,3,3,3
16742,6,6,2
16761,9,9,3
16764,8,8,2
16767,8,8,2
16769,8,8,6
16774,7,7,4
16776,3,3,2
16785,9,9,2
16788,5,5,2
16800,5,5,2
16823,6,6,2
16839,9,9,2
16842,5,5,2
16852,6,6,3
16884,9,9,3
16908,4,4,2
16912,8,8,3
16920,5,5,2
16921,11,11,3
16924,2,2,2
16937,3,3,2
16955,5,5,2
170,5,5,4
17012,6,6,2
17049,2,2,2
17053,6,6,2
17062,2,2,2
17075,7,7,2
17083,2,2,2
17088,6,6,2
17097,10,10,2
1710,7,7,2
17108,7,7,2
17122,3,3,2
17127,9,9,2
17130,6,6,2
17144,5,5,2
17164,11,11,3
17185,8,8,2
17195,5,5,2
17207,6,6,4
17210,5,5,2
17215,2,2,2
17219,7,7,6
17221,7,7,2
17228,7,7,2
17231,7,7,2
1725,4,4,2
17255,19,19,2
17264,9,9,2
17266,12,12,2
17281,8,8,3
17282,5,5,3
17283,12,12,2
17288,2,2,2
17289,7,7,2
17295,7,7,2
17326,12,12,3
17330,9,9,2
17331,8,8,2
17334,4,4,3
17335,4,4,2
17339,10,10,3
17340,6,6,3
17341,7,7,2
17344,14,14,2
17347,10,10,2
17355,9,9,4
17356,2,2,2
17378,5,5,2
17399,7,7,4
17411,7,7,2
17423,7,7,4
17466,6,6,2
17473,12,12,4
17504,4,4,2
17505,6,6,2
17509,9,9,2
17511,6,6,2
17512,6,6,3
17519,6,6,3
17545,2,2,2
17554,9,9,2
17562,5,5,2
17570,8,8,4
17604,12,12,3
17615,9,9,2
17616,7,7,2
17620,5,5,2
1763,10,10,2
17653,6,6,2
17667,9,9,2
17673,5,5,3
17706,9,9,3
17708,4,4,2
17720,10,10,2
17722,9,9,2
17725,4,4,2
