BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1001284,7,3,0,4,0.3333
1001287,5,2,0,3,0.25
1001289,13,1,0,12,0.0
1001293,13,10,0,3,0.75
1001294,13,10,0,3,0.75
1001296,7,1,0,6,0.0
1001298,7,3,0,4,0.3333
1001299,7,3,0,4,0.3333
1001303,5,2,0,3,0.25
1001306,4,1,0,3,0.0
1001307,5,2,0,3,0.25
1001309,5,1,0,4,0.0
1001311,13,10,0,3,0.75
1001312,7,8,1,0,0.8571
1001314,7,8,1,0,0.8571
1001315,7,8,1,0,0.8571
1001316,5,2,0,3,0.25
1001329,5,2,0,3,0.25
1001330,5,2,0,3,0.25
1001340,8,7,0,1,0.8571
1001341,8,7,0,1,0.8571
1001350,7,6,0,1,0.8333
1001351,7,6,0,1,0.8333
1001352,10,9,0,1,0.8889
1001354,10,9,0,1,0.8889
1001355,10,1,0,9,0.0
1001363,12,6,0,6,0.4545
1001368,7,6,0,1,0.8333
1001369,12,6,0,6,0.4545
1001370,7,6,0,1,0.8333
1001371,12,6,0,6,0.4545
1001378,6,5,0,1,0.8
1001384,12,6,0,6,0.4545
1001385,7,1,0,6,0.0
1001386,12,6,0,6,0.4545
1001388,6,4,0,2,0.6
1001389,11,7,0,4,0.6
1001390,11,7,0,4,0.6
1001391,6,2,0,4,0.2
1001392,6,4,0,2,0.6
1001394,6,2,0,4,0.2
1001397,6,10,4,0,0.5556
1001404,3,1,0,2,0.0
1001409,6,5,0,1,0.8
1001415,11,7,0,4,0.6
1001416,2,6,4,0,0.2
1001422,11,7,0,4,0.6
1001424,6,1,0,5,0.0
1001427,11,3,0,8,0.2
1001428,5,2,0,3,0.25
1001436,4,1,0,3,0.0
1001437,4,2,0,2,0.3333
1001439,34,29,0,5,0.8485
1001449,5,3,0,2,0.5
1001456,5,1,0,4,0.0
1001457,5,4,0,1,0.75
1001458,5,1,0,4,0.0
1001465,9,10,2,1,0.7
1001466,2,10,8,0,0.1111
1001469,6,2,0,4,0.2
1001472,5,3,0,2,0.5
1001477,8,7,0,1,0.8571
1001480,5,4,0,1,0.75
1001486,5,3,0,2,0.5
1001487,5,4,0,1,0.75
1001492,2,1,0,1,0.0
1001496,8,7,0,1,0.8571
1001497,8,7,0,1,0.8571
1001498,8,7,0,1,0.8571
1001499,8,7,0,1,0.8571
1001504,6,7,2,1,0.5714
1001506,6,7,2,1,0.5714
1001507,6,7,2,1,0.5714
1001522,3,2,0,1,0.5
1001528,3,2,0,1,0.5
1001531,3,2,0,1,0.5
1001534,4,3,0,1,0.6667
1001535,5,2,0,3,0.25
1001536,12,11,0,1,0.9091
1001538,12,11,0,1,0.9091
1001540,7,8,1,0,0.8571
1001541,3,1,0,2,0.0
1001546,5,4,0,1,0.75
1001551,12,11,0,1,0.9091
1001556,12,11,0,1,0.9091
1001561,7,8,1,0,0.8571
1001562,11,10,0,1,0.9
1001563,7,8,1,0,0.8571
1001571,5,1,0,4,0.0
1001572,11,10,0,1,0.9
