NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10002,4,4,3
10007,2,2,2
1002,8,8,2
10023,8,8,2
10034,8,8,3
1004,13,13,2
10042,3,3,3
10047,7,7,2
1006,7,7,2
10060,8,8,3
10064,3,3,2
10065,2,2,2
10069,9,9,3
10077,2,2,2
1008,7,7,2
10082,8,8,2
10083,7,7,2
1009,13,13,2
10106,8,8,2
10113,10,10,3
10120,10,10,2
10121,9,9,3
10138,8,8,2
1014,11,11,2
10143,6,6,2
10145,4,4,2
10146,2,2,2
10158,24,24,8
10166,9,9,2
10172,7,7,2
10178,9,9,2
10199,9,9,2
10235,8,8,2
10238,7,7,2
10240,8,8,2
10244,13,13,3
1025,8,8,2
10258,7,7,2
1026,9,9,3
10260,7,7,2
10262,8,8,2
1028,9,9,2
1031,13,13,4
10317,7,7,2
10330,8,8,3
10338,11,11,2
10351,8,8,2
10354,3,3,2
10355,2,2,2
10372,7,7,2
10374,2,2,2
10404,8,8,2
10408,17,17,3
10417,11,11,2
10425,7,7,2
10435,10,10,2
10468,3,3,3
10469,10,10,2
10492,8,8,2
10494,8,8,2
10499,7,7,2
10502,13,13,2
10507,8,8,2
10517,2,2,2
10523,7,7,2
10533,7,7,2
1055,8,8,3
10552,11,11,2
10575,6,6,2
10587,7,7,2
10588,6,6,2
10599,10,10,2
10613,8,8,2
10618,3,3,3
10620,15,15,9
10621,2,2,2
10628,3,3,3
10629,3,3,2
10631,9,9,3
1064,8,8,2
10641,9,9,2
10646,9,9,3
10655,6,6,2
10664,10,10,2
10666,7,7,3
10669,8,8,2
10677,7,7,2
10678,4,4,2
10687,8,8,3
10700,10,10,2
10713,7,7,3
10719,8,8,2
10740,8,8,2
10746,2,2,2
10772,7,7,2
10792,9,9,2
10793,8,8,2
10813,10,10,3
10830,8,8,2
10840,7,7,2
1086,7,7,2
10880,6,6,2
10885,8,8,2
10891,10,10,3
10897,8,8,4
10898,8,8,3
10899,10,10,3
10900,7,7,2
10903,8,8,3
10906,8,8,2
10910,2,2,2
10912,7,7,2
10918,7,7,2
10923,10,10,4
10924,12,12,2
10929,10,10,3
10941,8,8,2
10943,8,8,2
10946,7,7,2
10947,9,9,3
10952,8,8,2
10957,8,8,2
10961,12,12,2
10963,6,6,2
10972,2,2,2
10995,6,6,2
11000,7,7,2
11001,9,9,4
11020,8,8,2
11036,10,10,2
11038,8,8,3
11040,8,8,2
11045,12,12,3
1105,8,8,2
11064,9,9,2
11070,11,11,5
11072,8,8,3
11073,8,8,2
11077,8,8,3
11085,8,8,2
11087,3,3,2
1110,7,7,2
11118,7,7,2
1112,9,9,3
11125,10,10,3
11126,7,7,2
1113,7,7,2
11136,6,6,2
11140,9,9,3
11148,7,7,3
11150,13,13,3
11154,13,13,2
1118,8,8,2
11184,7,7,2
11190,11,11,3
11192,12,12,3
11195,7,7,2
11202,7,7,2
11208,11,11,5
11210,10,10,2
11223,7,7,2
11230,2,2,2
11241,7,7,2
11244,7,7,2
11248,2,2,2
11250,7,7,2
11251,10,10,4
11260,2,2,2
11271,11,11,3
11274,10,10,2
11275,2,2,2
11277,9,9,2
11289,9,9,2
1129,8,8,2
11292,8,8,2
11301,6,6,3
11302,2,2,2
11306,10,10,3
11307,18,18,4
11310,7,7,2
11324,8,8,2
11331,8,8,3
11337,12,12,2
11344,8,8,3
11346,7,7,2
11348,13,13,4
11358,7,7,2
1137,10,10,2
11370,9,9,2
11376,7,7,2
11384,9,9,2
11387,8,8,3
11423,2,2,2
1143,9,9,2
11431,11,11,2
11453,8,8,3
11456,9,9,3
11459,15,15,3
11472,8,8,3
11473,7,7,2
11476,9,9,4
11482,9,9,3
11507,4,4,2
11520,10,10,2
11533,10,10,3
11535,8,8,2
11538,9,9,2
11548,8,8,2
11569,7,7,2
11570,6,6,2
11626,8,8,3
11629,4,4,3
11648,9,9,3
11650,7,7,2
11662,14,14,7
1167,8,8,2
11670,9,9,3
11685,7,7,2
1169,7,7,2
11693,14,14,2
11696,9,9,2
11699,2,2,2
11715,9,9,2
11722,3,3,2
11749,7,7,2
11761,9,9,4
11781,7,7,2
11801,7,7,2
1181,7,7,2
11810,9,9,3
11814,10,10,2
11817,8,8,2
11818,7,7,2
11826,10,10,2
11829,7,7,2
11835,2,2,2
11839,2,2,2
1184,8,8,4
11851,7,7,2
11861,11,11,2
11862,12,12,2
11864,9,9,3
11867,7,7,2
11874,8,8,3
11898,9,9,3
11899,2,2,2
11905,6,6,2
11906,8,8,2
11913,11,11,2
11917,8,8,2
11921,9,9,3
11928,8,8,2
11930,7,7,4
11936,2,2,2
11938,9,9,2
1194,14,14,3
11947,9,9,2
11962,10,10,2
11974,4,4,2
11982,8,8,2
11986,7,7,2
11996,7,7,2
11999,10,10,2
12015,7,7,2
12017,9,9,2
12022,6,6,2
12024,9,9,2
12027,10,10,2
12028,9,9,3
12036,7,7,2
12047,8,8,2
12050,7,7,2
12051,10,10,3
12074,13,13,2
12078,9,9,2
12081,9,9,3
12112,12,12,5
12115,11,11,3
12119,10,10,3
12129,3,3,3
1213,20,20,2
12186,6,6,2
1221,14,14,2
1222,7,7,2
12221,9,9,2
12224,7,7,2
12239,8,8,2
12240,18,18,3
12241,18,18,5
12244,10,10,3
12259,9,9,2
12266,3,3,2
12335,24,24,2
12342,7,7,3
12346,6,6,2
12355,8,8,3
12392,4,4,2
12394,7,7,2
12412,7,7,2
12420,8,8,2
12422,7,7,2
12444,9,9,2
12454,8,8,2
12476,7,7,2
12481,10,10,2
12497,7,7,2
12504,8,8,3
12510,7,7,2
12511,11,11,2
12521,12,12,4
12541,8,8,3
12542,2,2,2
12544,8,8,3
12551,7,7,2
12559,10,10,3
12560,8,8,2
12565,7,7,2
12579,8,8,2
12582,7,7,2
12587,2,2,2
12605,14,14,6
12608,8,8,2
12616,9,9,2
12617,2,2,2
12643,9,9,2
12655,13,13,2
12658,8,8,2
12670,9,9,4
12671,2,2,2
12722,2,2,2
12723,11,11,4
12724,9,9,3
12727,10,10,2
12769,7,7,2
12790,4,4,3
12812,7,7,2
12813,2,2,2
12818,13,13,2
12826,7,7,2
12834,8,8,2
12841,9,9,2
12860,9,9,4
12863,14,14,5
12883,7,7,2
12889,9,9,3
12895,10,10,2
12899,13,13,2
12915,6,6,2
1292,8,8,2
12921,2,2,2
12936,9,9,2
12944,23,23,7
12946,6,6,2
12947,8,8,2
12951,13,13,3
12961,9,9,2
12969,7,7,2
12981,10,10,2
12982,9,9,2
12983,7,7,2
12985,8,8,3
1299,8,8,2
12998,10,10,2
12999,10,10,2
13000,9,9,2
13006,26,26,4
13007,7,7,2
13017,8,8,2
13022,7,7,2
13031,10,10,2
13034,9,9,2
13061,8,8,3
1308,7,7,2
1310,7,7,2
13114,8,8,2
1312,9,9,2
13122,7,7,2
1313,7,7,2
13133,12,12,3
13154,16,16,2
13158,4,4,3
13172,5,5,2
1319,18,18,2
13222,10,10,2
13225,12,12,6
13232,12,12,2
13252,14,14,3
1326,10,10,2
13263,8,8,2
13269,8,8,2
13272,2,2,2
1328,7,7,2
13288,16,16,2
1329,8,8,2
13291,10,10,4
13298,10,10,3
13306,6,6,2
13356,28,28,3
13377,8,8,2
13486,11,11,3
13508,14,14,2
13514,17,17,2
13515,12,12,2
13538,24,24,3
13546,48,48,3
13549,5,5,2
13558,8,8,3
1357,8,8,2
13572,12,12,2
13584,12,12,3
13589,15,15,4
13591,9,9,2
13594,3,3,2
13597,8,8,2
13598,20,20,7
13606,3,3,3
13608,4,4,3
13611,2,2,2
13612,4,4,2
13618,4,4,3
1362,8,8,2
13624,11,11,2
13631,8,8,2
13637,7,7,2
13643,9,9,3
13648,3,3,2
13658,3,3,2
1366,8,8,2
13679,2,2,2
13701,6,6,2
1371,7,7,2
13730,19,19,7
13736,2,2,2
13740,2,2,2
13741,2,2,2
13748,2,2,2
1375,68,68,21
13758,7,7,2
13770,6,6,2
13792,9,9,2
13817,7,7,2
13823,2,2,2
13865,7,7,2
13867,12,12,2
13871,8,8,2
13873,8,8,2
13883,6,6,2
13903,7,7,2
13911,7,7,2
13917,6,6,2
13923,2,2,2
13924,9,9,2
13956,12,12,2
13970,9,9,2
13971,8,8,2
1398,10,10,5
14005,11,11,3
14014,7,7,2
14038,2,2,2
14039,7,7,2
14053,14,14,3
14060,2,2,2
14083,2,2,2
14088,3,3,3
14089,9,9,3
14101,3,3,3
14110,10,10,2
14119,15,15,2
14121,22,22,4
14143,11,11,2
14148,9,9,2
14165,13,13,2
14178,9,9,2
1419,7,7,2
14192,9,9,2
14205,7,7,2
14215,7,7,2
1423,9,9,3
14236,10,10,2
14239,12,12,4
14245,9,9,3
14246,7,7,2
14251,5,5,2
14258,9,9,2
1428,10,10,3
14288,6,6,3
14298,6,6,2
1430,10,10,2
14308,7,7,2
14311,8,8,3
14323,6,6,2
14341,9,9,2
14343,7,7,2
1435,15,15,2
14370,8,8,2
14385,8,8,2
14389,12,12,2
1439,8,8,2
14418,10,10,2
1442,10,10,2
14456,9,9,3
14474,7,7,2
14481,7,7,2
14490,9,9,2
14510,9,9,4
14513,10,10,3
14518,13,13,3
1453,8,8,2
14535,7,7,2
14551,9,9,2
14552,8,8,2
1456,10,10,3
14566,7,7,2
14594,14,14,3
14596,10,10,2
14601,9,9,2
14606,7,7,2
14617,9,9,2
14619,10,10,2
14628,9,9,3
14639,8,8,2
1464,7,7,2
14654,6,6,2
14669,11,11,2
14673,6,6,2
1468,12,12,3
14692,6,6,2
14719,7,7,2
14723,11,11,2
14724,13,13,3
14732,11,11,4
14734,10,10,3
14744,10,10,2
14746,10,10,3
14754,7,7,2
14759,13,13,5
14764,4,4,2
14767,11,11,2
14807,11,11,2
1481,7,7,2
14818,9,9,2
14826,8,8,3
14827,11,11,2
14834,12,12,4
14842,12,12,2
14858,15,15,7
14859,13,13,2
14860,13,13,6
14861,11,11,2
14864,12,12,3
14869,10,10,2
14870,8,8,2
14871,8,8,2
14874,13,13,2
1488,7,7,2
14889,9,9,2
14890,9,9,2
14913,17,17,2
14916,15,15,2
14925,5,5,3
14927,10,10,2
14928,12,12,2
14945,9,9,2
14946,9,9,2
14948,9,9,2
14952,10,10,2
14960,4,4,2
14967,7,7,2
14983,13,13,2
14999,9,9,2
15003,17,17,3
15024,11,11,2
15025,9,9,3
15029,12,12,3
15044,7,7,2
15045,10,10,2
15058,15,15,6
15075,13,13,7
15078,4,4,3
15086,8,8,2
15092,8,8,2
15098,2,2,2
15118,8,8,2
15122,9,9,2
15129,13,13,2
15132,9,9,2
15150,9,9,2
1516,8,8,2
15177,2,2,2
1520,11,11,2
15203,8,8,3
15212,7,7,2
15213,2,2,2
15215,10,10,4
1522,11,11,2
15222,8,8,2
15224,6,6,2
15225,9,9,4
15228,2,2,2
15229,7,7,3
15238,8,8,2
1525,7,7,2
15250,12,12,3
15252,9,9,2
15257,11,11,3
15269,7,7,2
15270,2,2,2
15271,8,8,3
15278,9,9,2
15284,10,10,2
15288,9,9,2
15289,7,7,2
15320,14,14,4
15321,2,2,2
15322,2,2,2
15327,7,7,2
15330,9,9,2
15337,3,3,2
15338,13,13,3
15347,15,15,2
15357,8,8,2
15363,10,10,2
15364,7,7,2
15378,9,9,2
15384,2,2,2
15385,10,10,2
15386,16,16,3
15387,3,3,2
15388,8,8,2
15391,3,3,2
15392,10,10,5
15393,14,14,2
15410,24,24,7
15412,7,7,2
15414,2,2,2
15424,9,9,2
1543,8,8,2
15437,9,9,3
15439,2,2,2
15445,12,12,7
15448,4,4,2
15454,10,10,3
15455,3,3,2
15466,3,3,3
15468,13,13,4
15473,8,8,2
15485,9,9,2
15492,8,8,3
15522,11,11,2
15528,8,8,2
15548,22,22,9
15564,8,8,2
15565,14,14,5
15569,10,10,3
15583,10,10,2
15591,8,8,2
15594,8,8,3
15595,2,2,2
15608,8,8,2
15609,9,9,2
1561,7,7,2
15612,25,25,2
15621,12,12,3
15634,8,8,3
1564,8,8,2
15643,17,17,5
15660,29,29,7
15667,4,4,4
15701,10,10,2
15708,11,11,5
15721,9,9,3
15724,8,8,2
15729,7,7,2
15731,15,15,3
15735,11,11,3
15736,10,10,3
15737,10,10,4
15738,2,2,2
15740,6,6,2
15746,9,9,3
15748,4,4,2
1575,8,8,2
15753,13,13,4
1576,2,2,2
15762,11,11,2
15789,5,5,3
15803,5,5,4
15807,8,8,2
1581,2,2,2
15833,9,9,2
15836,10,10,2
15851,7,7,4
15852,3,3,3
15863,8,8,2
15871,9,9,3
15876,7,7,2
15877,19,19,6
15889,8,8,2
15892,14,14,3
15893,2,2,2
15895,2,2,2
15896,4,4,4
15897,2,2,2
15902,10,10,3
15904,7,7,2
15909,13,13,2
15914,15,15,3
15917,11,11,4
15919,13,13,5
15922,8,8,2
15927,18,18,6
15932,10,10,2
15938,11,11,3
1594,7,7,2
15951,11,11,3
15956,7,7,2
15964,7,7,2
15982,9,9,2
15984,6,6,2
15985,7,7,3
15989,12,12,2
15991,9,9,4
15997,10,10,3
16000,10,10,2
16006,11,11,3
16007,14,14,4
16039,16,16,6
16042,13,13,5
16043,2,2,2
16045,3,3,2
1605,8,8,3
16051,8,8,3
16053,9,9,3
16070,6,6,2
16080,11,11,2
16085,3,3,2
16093,8,8,2
16099,14,14,4
16110,9,9,2
16114,10,10,4
16116,12,12,3
16120,13,13,5
16125,3,3,2
16130,15,15,2
16131,2,2,2
16134,16,16,7
16137,5,5,4
16139,3,3,2
16140,2,2,2
16146,7,7,2
16170,9,9,3
1618,2,2,2
16182,16,16,4
16184,11,11,4
16185,8,8,2
1619,7,7,2
