BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1024416,258564,258563,3465,12,12,1,11,0.9167,0.8333
1202902,27207,18762,5005,12,12,1,11,0.9167,0.8333
1131849,345084,20786,5191,12,12,1,11,0.9167,0.8333
1189188,4310,4297,5374,12,12,1,11,0.9167,0.8333
1033900,288002,288003,7831,12,12,1,11,0.9167,0.8333
1038122,148481,148482,8174,12,12,1,11,0.9167,0.8333
1090506,1307,1332,14906,12,12,1,11,0.9167,0.8333
1188497,3217,3178,17687,12,12,1,11,0.9167,0.8333
1187083,102048,102050,18296,12,12,1,11,0.9167,0.8333
1079458,35167,35164,20071,12,12,1,11,0.9167,0.8333
1093870,18361,18332,23706,12,12,1,11,0.9167,0.8333
1113899,5189,21785,26894,12,12,1,11,0.9167,0.8333
1116688,14342,25725,28463,12,12,1,11,0.9167,0.8333
1197065,45732,45733,30142,12,12,1,11,0.9167,0.8333
1186812,26106,26118,32077,12,12,1,11,0.9167,0.8333
1266762,2198,136958,34410,12,12,1,11,0.9167,0.8333
1206048,25801,14494,39201,12,12,1,11,0.9167,0.8333
1208466,11848,11840,41385,12,12,1,11,0.9167,0.8333
1167338,258886,258885,27004,17,17,1,15,0.8824,0.8235
1167376,258887,258885,27004,17,17,1,15,0.8824,0.8235
1312089,5917,5922,32832,22,22,2,20,0.9091,0.8182
1280079,5917,5922,32832,22,22,2,20,0.9091,0.8182
1007408,10755,24394,962,11,11,1,10,0.9091,0.8182
1011409,6657,6551,1385,11,11,1,10,0.9091,0.8182
1034950,177601,177602,4089,11,11,1,10,0.9091,0.8182
1022685,370382,370381,6566,11,11,1,10,0.9091,0.8182
1029681,370384,370382,6578,11,11,1,10,0.9091,0.8182
1043767,7810,7832,7945,11,11,1,10,0.9091,0.8182
1030156,6227,6181,7989,11,11,1,10,0.9091,0.8182
1032627,345249,345246,9355,11,11,1,10,0.9091,0.8182
1033222,285128,285129,9512,11,11,1,10,0.9091,0.8182
1033282,291199,294077,9533,11,11,1,10,0.9091,0.8182
1058189,377753,377752,12511,11,11,1,10,0.9091,0.8182
1301788,6754,22426,18793,11,11,1,10,0.9091,0.8182
1077335,284158,284157,19222,11,11,1,10,0.9091,0.8182
1197788,11112,24513,22103,11,11,1,10,0.9091,0.8182
1145065,25814,25784,26728,11,11,1,10,0.9091,0.8182
1112354,25725,25732,28037,11,11,1,10,0.9091,0.8182
1157251,359665,359664,33039,11,11,1,10,0.9091,0.8182
1276470,93728,93727,34739,11,11,1,10,0.9091,0.8182
1221803,12306,12356,45679,11,11,1,10,0.9091,0.8182
1287801,370272,370271,51031,11,11,1,10,0.9091,0.8182
1272270,11297,11318,52069,11,11,1,10,0.9091,0.8182
1300735,22426,6716,57757,11,11,1,10,0.9091,0.8182
1169092,141117,141121,40281,21,21,2,19,0.9048,0.8095
1169095,141117,141121,40281,21,21,2,19,0.9048,0.8095
1005541,280,294,533,10,10,1,9,0.9,0.8
1027664,33262,58203,1456,10,10,1,9,0.9,0.8
1004143,13223,13202,1469,10,10,1,9,0.9,0.8
1303089,5146,5165,2103,10,10,1,9,0.9,0.8
1010398,49568,49567,3321,10,10,1,9,0.9,0.8
1022417,286722,286721,3471,10,10,1,9,0.9,0.8
1020546,9204,9212,3590,10,10,1,9,0.9,0.8
1096991,377693,391404,3730,10,10,1,9,0.9,0.8
1011664,16197,16233,3776,10,10,1,9,0.9,0.8
1113784,14298,14232,4295,10,10,1,9,0.9,0.8
1014182,384035,384036,4406,10,10,1,9,0.9,0.8
1275390,390509,390508,4665,10,10,1,9,0.9,0.8
1222737,104285,9336,4752,10,10,1,9,0.9,0.8
1042104,344491,391375,4842,10,10,1,9,0.9,0.8
1058778,375981,375980,4872,10,10,1,9,0.9,0.8
1096135,375313,375310,5261,10,10,1,9,0.9,0.8
1027157,343563,343435,6514,10,10,1,9,0.9,0.8
1035783,306237,319035,6553,10,10,1,9,0.9,0.8
1023211,8818,23313,6727,10,10,1,9,0.9,0.8
1095085,420288,420286,7199,10,10,1,9,0.9,0.8
1030714,271036,271037,7926,10,10,1,9,0.9,0.8
1034941,263366,263367,7970,10,10,1,9,0.9,0.8
1056582,376047,376048,8166,10,10,1,9,0.9,0.8
1039194,7417,7402,8308,10,10,1,9,0.9,0.8
1038052,148480,148479,10467,10,10,1,9,0.9,0.8
1036995,271038,265621,10496,10,10,1,9,0.9,0.8
1039566,9206,9192,11125,10,10,1,9,0.9,0.8
1040942,34530,23353,11210,10,10,1,9,0.9,0.8
1064940,22551,6965,11368,10,10,1,9,0.9,0.8
1041827,7825,7870,11669,10,10,1,9,0.9,0.8
1042677,22180,6118,11854,10,10,1,9,0.9,0.8
1044203,343808,343807,12198,10,10,1,9,0.9,0.8
1046471,376998,376999,12665,10,10,1,9,0.9,0.8
1053440,345244,345245,12981,10,10,1,9,0.9,0.8
1067852,118722,123514,13193,10,10,1,9,0.9,0.8
1128856,11940,11955,13334,10,10,1,9,0.9,0.8
1060487,370188,370187,13347,10,10,1,9,0.9,0.8
1082459,26225,15838,14746,10,10,1,9,0.9,0.8
1079334,16151,16123,15254,10,10,1,9,0.9,0.8
1060759,383565,383564,15487,10,10,1,9,0.9,0.8
1061804,343533,343532,15769,10,10,1,9,0.9,0.8
1066886,376834,376833,16322,10,10,1,9,0.9,0.8
1179078,13531,25461,18330,10,10,1,9,0.9,0.8
1077739,19283,19275,19359,10,10,1,9,0.9,0.8
1078349,17336,17342,19722,10,10,1,9,0.9,0.8
1089484,349715,349714,19774,10,10,1,9,0.9,0.8
1083927,16026,16033,20175,10,10,1,9,0.9,0.8
1269226,396,52763,21161,10,10,1,9,0.9,0.8
1089476,349714,349713,22158,10,10,1,9,0.9,0.8
1093931,18332,18361,23361,10,10,1,9,0.9,0.8
1187888,378108,378107,24299,10,10,1,9,0.9,0.8
1118945,473035,473036,29396,10,10,1,9,0.9,0.8
1126397,2530,2467,30086,10,10,1,9,0.9,0.8
1207205,1846,1815,30115,10,10,1,9,0.9,0.8
