BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1007831,30693.0,30685.0,518
1002261,564.0,30685.0,518
1002130,30691.0,30685.0,518
1007798,30692.0,30685.0,518
1280974,30696.0,30685.0,518
1007799,30691.0,30685.0,518
1002168,30695.0,30685.0,518
1002170,30693.0,30685.0,518
1002171,30695.0,30685.0,518
1001918,552.0,30685.0,518
1011260,30683.0,30685.0,518
1002454,31004.0,30685.0,518
1011264,552.0,30685.0,518
1002455,30697.0,30685.0,518
1002191,564.0,30685.0,518
1096466,30691.0,30685.0,518
1002096,564.0,30685.0,518
1013491,290.0,284.0,525
1005541,280.0,294.0,533
1138315,309.0,305.0,534
1132965,12680.0,12656.0,541
1003924,22739.0,7431.0,547
1001524,19825.0,375.0,557
1001623,19825.0,375.0,557
1001532,766.0,732.0,561
1001994,327.0,342.0,572
1001688,327.0,322.0,574
1001794,157.0,185.0,576
1002070,402.0,399.0,579
1001578,9403.0,19852.0,581
1001582,399.0,390.0,584
1001881,84773.0,385.0,589
1008891,11667.0,24729.0,602
1001664,699.0,697.0,619
1302132,365412.0,365403.0,621
1176152,365411.0,365403.0,621
1280811,365408.0,365403.0,621
1072091,365405.0,365403.0,621
1204972,365408.0,365403.0,621
1001666,365405.0,365403.0,621
1001786,19782.0,227.0,659
1001748,227.0,212.0,665
1001888,274.0,268.0,672
1001764,7721.0,274.0,673
1001789,19831.0,405.0,681
1001797,209597.0,209598.0,684
1001808,87331.0,727.0,688
1001815,428.0,362.0,693
1001824,309.0,305.0,700
1021494,158717.0,158719.0,704
1021495,158717.0,158719.0,704
1021496,158717.0,158719.0,704
1021497,158717.0,158719.0,704
1001829,158717.0,158719.0,704
1021659,158718.0,158719.0,704
1021660,158718.0,158719.0,704
1021661,158718.0,158719.0,704
1019586,158732.0,158719.0,704
1019589,158732.0,158719.0,704
1019982,158731.0,158719.0,704
1019983,158731.0,158719.0,704
1019984,158731.0,158719.0,704
1019985,158731.0,158719.0,704
1020014,158731.0,158719.0,704
1020015,158731.0,158719.0,704
1019886,158732.0,158719.0,704
1019887,158732.0,158719.0,704
1019888,158732.0,158719.0,704
1019889,158732.0,158719.0,704
1020017,158731.0,158719.0,704
1020016,158731.0,158719.0,704
1019902,158732.0,158719.0,704
1024963,158718.0,158719.0,704
1019142,158731.0,158719.0,704
1024966,158718.0,158719.0,704
1024967,158718.0,158719.0,704
1024968,158718.0,158719.0,704
1024969,158718.0,158719.0,704
1001945,294.0,280.0,709
1280972,,428.0,725
1003697,455.0,19855.0,735
1001891,268.0,238.0,736
1052861,376540.0,375330.0,740
1001900,375329.0,375330.0,740
1001902,375329.0,375330.0,740
1001903,375329.0,375330.0,740
1011458,376540.0,375330.0,740
1010822,375329.0,375330.0,740
1002389,375329.0,375330.0,740
1002584,375329.0,375330.0,740
1037155,9300.0,23631.0,753
1127600,178568.0,272956.0,765
1070106,199042.0,199043.0,767
1119594,521055.0,521057.0,770
1076217,521054.0,521057.0,770
1119611,521055.0,521057.0,770
1032004,521054.0,521057.0,770
1119098,521051.0,521057.0,770
1266728,521051.0,521057.0,770
1119099,521051.0,521057.0,770
1266727,521051.0,521057.0,770
1145792,521054.0,521057.0,770
1232474,,521057.0,770
1232499,521053.0,521057.0,770
1306788,525836.0,521057.0,770
1182942,521052.0,521057.0,770
1079331,57883.0,57893.0,774
1003644,19702.0,19707.0,778
1003645,19702.0,19707.0,778
1001984,133420.0,19712.0,790
1280975,530.0,529.0,798
1010831,24712.0,24671.0,808
1010824,24712.0,24671.0,808
1010827,24712.0,24671.0,808
1010828,24712.0,24671.0,808
1002078,489.0,490.0,830
1177958,15673.0,489.0,833
1173931,84123.0,489.0,833
1002092,9403.0,454.0,839
1002164,432.0,427.0,883
1039913,8889.0,8911.0,904
1043504,66530.0,66531.0,906
1046086,66530.0,66531.0,906
1045248,66530.0,66531.0,906
1045249,66530.0,66531.0,906
1045606,66530.0,66531.0,906
1027818,8288.0,8252.0,938
1002282,53724.0,10912.0,947
1002304,648.0,641.0,949
1002364,359725.0,375325.0,959
1135539,359724.0,375325.0,959
1009235,359724.0,375325.0,959
1012740,359724.0,375325.0,959
1052754,359724.0,375325.0,959
1012879,359725.0,375325.0,959
1009388,359725.0,375325.0,959
1052243,359725.0,375325.0,959
1002297,359724.0,375325.0,959
1007501,359725.0,375325.0,959
1012945,359728.0,375325.0,959
1002341,359724.0,375325.0,959
1048630,359725.0,375325.0,959
1095955,359724.0,375325.0,959
1009470,359725.0,375325.0,959
1009472,359725.0,375325.0,959
1095444,391393.0,391390.0,960
1007408,10755.0,24394.0,962
1007742,661.0,650.0,974
1009259,359723.0,359732.0,993
1009220,350229.0,350233.0,1009
1007325,350229.0,350233.0,1009
1009207,350229.0,350233.0,1009
1009208,350229.0,350233.0,1009
1009209,350229.0,350233.0,1009
1003741,350229.0,350233.0,1009
1099283,370422.0,17063.0,1013
1027179,25279.0,12954.0,1023
1048564,25279.0,12954.0,1023
1006286,13083.0,13150.0,1024
1006288,13019.0,13150.0,1024
1006289,13019.0,13150.0,1024
1005975,13019.0,13150.0,1024
1005976,13019.0,13150.0,1024
1135257,13083.0,13150.0,1024
1026462,13083.0,13150.0,1024
1026465,13083.0,13150.0,1024
1136995,13083.0,13150.0,1024
1002451,343741.0,343740.0,1049
1002507,24383.0,10783.0,1073
1002522,56923.0,24178.0,1078
1003622,11542.0,11499.0,1082
1002533,11542.0,11499.0,1082
1002534,11542.0,11499.0,1082
1002536,111980.0,111985.0,1083
1002538,111980.0,111985.0,1083
1002539,111980.0,111985.0,1083
1027825,7365.0,7398.0,1089
1002612,24265.0,10453.0,1096
1007358,10404.0,10453.0,1097
1073407,69412.0,139847.0,1105
1002598,497035.0,535853.0,1115
1096181,497035.0,535853.0,1115
1097321,497035.0,535853.0,1115
1098555,3102.0,3101.0,1139
1002642,3102.0,3101.0,1139
1073869,3102.0,3101.0,1139
1073871,3102.0,3101.0,1139
1048807,12336.0,24922.0,1141
1073538,24877.0,24922.0,1141
1007089,24877.0,24922.0,1141
1018961,24877.0,24922.0,1141
1095240,24963.0,24922.0,1141
1007066,24950.0,24922.0,1141
1024998,12336.0,24922.0,1141
1097707,24877.0,24922.0,1141
1024798,24950.0,24922.0,1141
1002644,24950.0,24922.0,1141
1134034,24963.0,24922.0,1141
1007086,24928.0,24922.0,1141
1002677,20780.0,20760.0,1166
1002678,17682.0,17646.0,1167
1091201,18161.0,18141.0,1169
1090503,18161.0,18141.0,1169
1136959,25613.0,25601.0,1171
1002683,25593.0,25601.0,1171
1115244,25590.0,25601.0,1171
1115245,25590.0,25601.0,1171
1115246,25590.0,25601.0,1171
1115247,25590.0,25601.0,1171
1111117,25613.0,25601.0,1171
1111119,25613.0,25601.0,1171
1111122,25613.0,25601.0,1171
1112683,25593.0,25601.0,1171
1115276,25596.0,25601.0,1171
1115277,25593.0,25601.0,1171
1115278,25593.0,25601.0,1171
1112474,14625.0,25871.0,1172
1116256,14318.0,14342.0,1173
1154875,17430.0,17442.0,1192
