BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1000561,296.0,285.0,25.0,296.0,285.0,25.0,unchanged
1000565,461.0,433.0,29.0,461.0,446.0,29.0,recommendation_changed
1000616,5581.0,5579.0,68.0,5581.0,5579.0,68.0,unchanged
1000622,5565.0,5564.0,72.0,5565.0,5564.0,72.0,unchanged
1000648,153928.0,21901.0,89.0,153928.0,21901.0,89.0,unchanged
1000649,153929.0,21901.0,89.0,153929.0,21901.0,89.0,unchanged
1000655,5573.0,5569.0,91.0,5573.0,5569.0,91.0,unchanged
1000657,5573.0,5569.0,91.0,5573.0,5569.0,91.0,unchanged
1000658,5570.0,5569.0,91.0,5570.0,5569.0,91.0,unchanged
1000661,,,,5558.0,453995.0,93.0,newly_flagged
1000666,5576.0,221438.0,73.0,5576.0,221438.0,73.0,unchanged
1000679,5563.0,5569.0,91.0,5563.0,5569.0,91.0,unchanged
1000680,58523.0,5564.0,72.0,58523.0,5564.0,72.0,unchanged
1000685,5580.0,221438.0,73.0,5580.0,221438.0,73.0,unchanged
1000727,221438.0,5576.0,60.0,221438.0,5576.0,60.0,unchanged
1000734,5522.0,5520.0,136.0,5522.0,5520.0,133.0,unchanged
1000772,19689.0,19690.0,162.0,19689.0,19690.0,159.0,unchanged
1000775,19689.0,19690.0,162.0,19689.0,19690.0,159.0,unchanged
1000779,,,,19840.0,426.0,165.0,newly_flagged
1000782,5504.0,5509.0,170.0,5504.0,5509.0,167.0,unchanged
1000803,236.0,19796.0,186.0,236.0,19796.0,183.0,unchanged
1000804,,,,171195.0,7771.0,184.0,newly_flagged
1000808,19816.0,334.0,190.0,19816.0,334.0,187.0,unchanged
1000816,,,,5507.0,5509.0,167.0,newly_flagged
1000818,5504.0,5509.0,170.0,5504.0,5509.0,167.0,unchanged
1000828,,,,5507.0,5509.0,167.0,newly_flagged
1000832,19676.0,19679.0,205.0,19676.0,19679.0,201.0,unchanged
1000836,19677.0,19676.0,206.0,19677.0,19676.0,202.0,unchanged
1000841,19709.0,5495.0,209.0,19709.0,5495.0,205.0,unchanged
1000851,19688.0,19681.0,214.0,19688.0,19681.0,209.0,unchanged
1000864,19688.0,19681.0,214.0,19688.0,19681.0,209.0,unchanged
1000884,19688.0,19709.0,235.0,19688.0,19709.0,228.0,unchanged
1000885,19688.0,19709.0,235.0,19688.0,19709.0,228.0,unchanged
1000887,19688.0,19709.0,235.0,19688.0,19709.0,228.0,unchanged
1000892,5474.0,5472.0,239.0,5474.0,5472.0,232.0,unchanged
1000893,83807.0,5465.0,224.0,83807.0,5465.0,218.0,unchanged
1000965,350234.0,350204.0,284.0,350234.0,350204.0,271.0,unchanged
1000967,350234.0,350204.0,284.0,350234.0,350204.0,271.0,unchanged
1000970,10502.0,24265.0,288.0,10502.0,24265.0,275.0,unchanged
1000990,19706.0,19708.0,302.0,19706.0,19708.0,288.0,unchanged
1000993,,,,94692.0,296.0,290.0,newly_flagged
1000995,,,,296.0,285.0,25.0,newly_flagged
1000997,,,,443.0,446.0,29.0,newly_flagged
1001016,440.0,433.0,29.0,440.0,446.0,29.0,recommendation_changed
1001018,454.0,441.0,321.0,454.0,441.0,304.0,unchanged
1001049,219.0,218.0,334.0,219.0,218.0,314.0,unchanged
1001052,242.0,219.0,333.0,242.0,219.0,313.0,unchanged
1001054,19802.0,219.0,333.0,19802.0,219.0,313.0,unchanged
1001153,74844.0,19767.0,407.0,74844.0,19767.0,380.0,unchanged
1001187,,,,205.0,238.0,397.0,newly_flagged
1001194,221.0,19785.0,430.0,,,,no_longer_flagged
1001206,,,,19831.0,405.0,405.0,newly_flagged
1001212,,,,19775.0,281919.0,399.0,newly_flagged
1001232,446.0,19848.0,447.0,446.0,19848.0,413.0,unchanged
1001245,268161.0,294.0,193.0,268161.0,294.0,190.0,unchanged
1001247,268161.0,294.0,193.0,268161.0,294.0,190.0,unchanged
1001251,,,,19799.0,282.0,422.0,newly_flagged
1001252,19804.0,290.0,457.0,19804.0,290.0,423.0,unchanged
1001256,268161.0,294.0,193.0,268161.0,294.0,190.0,unchanged
1001258,268161.0,294.0,193.0,268161.0,294.0,190.0,unchanged
1001259,320.0,294.0,193.0,320.0,294.0,190.0,unchanged
1001266,19821.0,19820.0,462.0,19821.0,19820.0,426.0,unchanged
1001280,,,,40284.0,282.0,422.0,newly_flagged
1001281,,,,40284.0,282.0,422.0,newly_flagged
1001282,279.0,19794.0,472.0,279.0,19794.0,432.0,unchanged
1001292,286.0,282.0,481.0,286.0,282.0,441.0,unchanged
1001293,279.0,282.0,482.0,279.0,282.0,422.0,unchanged
1001307,505.0,495.0,488.0,505.0,495.0,447.0,unchanged
1001373,244.0,232.0,523.0,244.0,232.0,482.0,unchanged
1001378,244.0,232.0,524.0,,,,no_longer_flagged
1001379,268161.0,298.0,409.0,268161.0,298.0,382.0,unchanged
1001382,255.0,232.0,523.0,255.0,232.0,482.0,unchanged
1001389,438.0,446.0,529.0,438.0,446.0,29.0,unchanged
1001400,,,,430.0,446.0,494.0,newly_flagged
1001401,302.0,323.0,460.0,302.0,323.0,417.0,unchanged
1001403,440.0,433.0,539.0,440.0,441.0,304.0,recommendation_changed
1001405,438.0,446.0,541.0,438.0,446.0,494.0,unchanged
1001407,19843.0,438.0,543.0,19843.0,438.0,497.0,unchanged
1001409,,,,232.0,244.0,483.0,newly_flagged
1001412,,,,433.0,441.0,304.0,newly_flagged
1001415,,,,433.0,446.0,29.0,newly_flagged
1001427,392.0,238717.0,553.0,392.0,238717.0,507.0,unchanged
1001439,30689.0,30685.0,565.0,30689.0,30685.0,518.0,unchanged
1001462,19819.0,19823.0,463.0,19819.0,19823.0,427.0,unchanged
1001524,19825.0,375.0,608.0,19825.0,375.0,557.0,unchanged
1001532,,,,766.0,732.0,561.0,newly_flagged
1001536,,,,296.0,285.0,25.0,newly_flagged
1001538,,,,296.0,285.0,25.0,newly_flagged
1001551,,,,296.0,285.0,25.0,newly_flagged
1001556,94692.0,296.0,305.0,94692.0,285.0,25.0,recommendation_changed
1001562,221.0,19785.0,430.0,,,,no_longer_flagged
