BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1000521,4,7,3,0,0.5
1000536,1,3,2,0,0.0
1000542,1,3,2,0,0.0
1000547,4,6,2,0,0.6
1000560,1,3,2,0,0.0
1000561,6,11,5,0,0.5
1000565,3,7,4,0,0.3333
1000576,1,2,1,0,0.0
1000580,4,5,1,0,0.75
1000600,1,6,5,0,0.0
1000602,1,2,1,0,0.0
1000659,1,4,3,0,0.0
1000660,2,4,2,0,0.3333
1000661,1,4,3,0,0.0
1000662,2,4,2,0,0.3333
1000675,2,4,2,0,0.3333
1000676,2,4,2,0,0.3333
1000677,2,4,2,0,0.3333
1000699,2,3,1,0,0.5
1000706,1,2,1,0,0.0
1000717,1,2,1,0,0.0
1000779,1,5,4,0,0.0
1000780,1,2,1,0,0.0
1000782,6,10,4,0,0.5556
1000788,1,5,4,0,0.0
1000804,1,2,1,0,0.0
1000816,3,10,7,0,0.2222
1000818,6,10,4,0,0.5556
1000828,3,10,7,0,0.2222
1000829,6,10,4,0,0.5556
1000830,6,10,4,0,0.5556
1000844,1,5,4,0,0.0
1000856,4,5,1,0,0.75
1000868,2,3,1,0,0.5
1000875,2,3,1,0,0.5
1000877,2,4,2,0,0.3333
1000879,2,4,2,0,0.3333
1000880,2,3,1,0,0.5
1000882,1,3,2,0,0.0
1000883,1,3,2,0,0.0
1000907,1,2,1,0,0.0
1000908,1,2,1,0,0.0
1000909,1,2,1,0,0.0
1000910,1,2,1,0,0.0
1000912,5,8,3,0,0.5714
1000913,5,8,3,0,0.5714
1000914,5,8,3,0,0.5714
1000915,5,8,3,0,0.5714
1000917,2,3,1,0,0.5
1000932,1,3,2,0,0.0
1000933,1,3,2,0,0.0
1000934,2,8,6,0,0.1429
1000935,1,3,2,0,0.0
1000938,1,2,1,0,0.0
1000939,1,2,1,0,0.0
1000968,3,4,1,0,0.6667
1000977,2,3,1,0,0.5
1000993,1,3,2,0,0.0
1000995,5,11,6,0,0.4
1000996,1,2,1,0,0.0
1000997,1,7,6,0,0.0
1000999,1,2,1,0,0.0
1001016,3,7,4,0,0.3333
1001017,4,6,2,0,0.6
1001018,4,6,2,0,0.6
1001019,4,6,2,0,0.6
1001029,1,4,3,0,0.0
1001030,1,3,2,0,0.0
1001031,1,4,3,0,0.0
1001044,5,6,1,0,0.8
1001045,5,6,1,0,0.8
1001046,5,6,1,0,0.8
1001047,5,6,1,0,0.8
1001048,6,7,1,0,0.8333
1001052,6,7,1,0,0.8333
1001054,6,7,1,0,0.8333
1001055,6,7,1,0,0.8333
1001068,1,6,5,0,0.0
1001069,4,6,2,0,0.6
1001079,3,5,2,0,0.5
1001080,2,3,1,0,0.5
1001081,1,3,2,0,0.0
1001082,1,5,4,0,0.0
1001083,3,5,2,0,0.5
1001085,1,5,4,0,0.0
1001086,3,5,2,0,0.5
1001089,4,6,2,0,0.6
1001099,5,11,6,0,0.4
1001105,6,7,1,0,0.8333
1001106,6,7,1,0,0.8333
1001112,3,4,1,0,0.6667
1001114,3,4,1,0,0.6667
1001128,1,2,1,0,0.0
1001129,1,2,1,0,0.0
1001130,1,2,1,0,0.0
1001131,1,4,3,0,0.0
1001144,4,5,1,0,0.75
1001147,3,7,4,0,0.3333
1001149,2,3,1,0,0.5
1001151,2,3,1,0,0.5
1001158,3,7,4,0,0.3333
1001163,4,5,1,0,0.75
1001180,3,5,2,0,0.5
1001181,2,5,3,0,0.25
1001182,2,5,3,0,0.25
1001183,3,5,2,0,0.5
1001185,3,5,2,0,0.5
1001187,1,5,4,0,0.0
1001190,2,3,1,0,0.5
1001194,9,10,1,0,0.8889
1001197,4,5,1,0,0.75
1001199,4,5,1,0,0.75
1001200,2,3,1,0,0.5
1001201,3,5,2,0,0.5
1001202,1,3,2,0,0.0
1001203,2,3,1,0,0.5
1001204,1,2,1,0,0.0
1001205,1,2,1,0,0.0
